range,offset,length,pattern,prefix_length,suffix_length,triggers,takes,replayed_bytes,estimated_gain_bits,estimated_gain_bytes
0,0,1047858,1,6,19,251,251,4769,53.5757,6.69696
0,0,1047858,3,6,18,70,70,1260,24.5006,3.06257
0,0,1047858,5,6,2,1540,807,1614,-971.07,-121.384
0,0,1047858,7,22,2,102,101,202,2.09725,0.262156
0,0,1047858,11,6,2,783,519,1038,-411.433,-51.4292
0,0,1047858,12,22,2,49,47,94,0.805333,0.100667
0,0,1047858,13,12,75,2,0,0,-1.58495,-0.198119
0,0,1047858,14,6,7,63,57,399,7.57422,0.946777
0,0,1047858,15,6,5,187,177,885,-9.91996,-1.24
0,0,1047858,19,22,117,48,0,0,-5.61424,-0.70178
0,0,1047858,22,6,2,12,12,24,6.8033,0.850413
0,0,1047858,23,6,3,142,140,420,2.31781,0.289726
0,0,1047858,24,22,2,104,67,134,-51.0147,-6.37683
0,0,1047858,26,6,2,24,12,24,-13.5617,-1.69521
0,0,1047858,29,6,2,12,12,24,-2.64255,-0.330319
0,0,1047858,32,11,5,2,0,0,-1.58495,-0.198119
0,0,1047858,33,6,2,58,58,116,-5.62084,-0.702605
0,0,1047858,34,13,34,4,0,0,-2.32191,-0.290239
0,0,1047858,36,6,2,21,4,8,-11.2648,-1.4081
0,0,1047858,37,6,2,10,10,20,-2.9936,-0.374199
0,0,1047858,40,6,2,64,64,128,1.03978,0.129973
0,0,1047858,43,6,10,10,0,0,-3.45934,-0.432417
0,0,1047858,44,6,2,31,30,60,-7.72576,-0.96572
0,0,1047858,46,15,1,21,21,21,0.815355,0.101919
0,0,1047858,47,6,6,13,12,72,25.1541,3.14426
0,0,1047858,48,6,2,1,1,2,-0.992572,-0.124072
0,0,1047858,51,24,11,37,0,0,-5.24755,-0.655944
0,0,1047858,53,7,1,5,5,5,-2.3463,-0.293287
0,0,1047858,56,11,9,5,0,0,-2.58493,-0.323116
0,0,1047858,59,6,2,33,32,64,0.742255,0.0927819
0,0,1047858,63,6,4,19,15,60,-6.744,-0.843
0,0,1047858,65,7,5,4,4,20,5.95455,0.744319
0,0,1047858,66,24,8,2,0,0,-1.58495,-0.198119
0,0,1047858,70,11,13,3,0,0,-1.99999,-0.249999
0,0,1047858,72,9,3,2,0,0,-1.58495,-0.198119
0,0,1047858,76,6,2,8,8,16,13.4916,1.68645
0,0,1047858,77,15,1,7,0,0,-2.99996,-0.374995
0,0,1047858,78,10,2,1,0,0,-1,-0.125
0,0,1047858,80,11,1,1,1,1,0.600831,0.0751039
0,0,1047858,87,6,2,1,1,2,-0.992411,-0.124051
0,0,1047858,92,6,6,2,0,0,-1.58495,-0.198119
0,0,1047858,94,10,2,1,1,2,0.429788,0.0537235
0,0,1047858,101,6,2,11,11,22,-3.33774,-0.417217
0,0,1047858,107,6,2,3,3,6,2.28538,0.285673
0,0,1047858,108,6,6,4,0,0,-2.32191,-0.290239
0,0,1047858,109,6,2,1,1,2,-0.994851,-0.124356
0,0,1047858,110,6,10,1,0,0,-1,-0.125
0,0,1047858,111,6,2,1,1,2,-0.994573,-0.124322
0,0,1047858,112,6,10,1,0,0,-1,-0.125
0,0,1047858,113,7,1,2,2,2,-1.32831,-0.166039
0,0,1047858,116,13,19,5,0,0,-2.58493,-0.323116
0,0,1047858,118,6,10,1,0,0,-1,-0.125
0,0,1047858,122,7,1,3,3,3,-1.41638,-0.177048
1,1047858,1044254,1,6,19,315,243,4617,-233.665,-29.2081
1,1047858,1044254,3,6,18,82,82,1476,1.07996,0.134995
1,1047858,1044254,5,6,2,2138,1131,2262,-1439.8,-179.974
1,1047858,1044254,7,22,2,117,117,234,-4.67323,-0.584154
1,1047858,1044254,11,6,2,986,624,1248,-534.937,-66.8671
1,1047858,1044254,12,22,2,31,25,50,-17.772,-2.22149
1,1047858,1044254,13,12,75,2,0,0,-1.58495,-0.198119
1,1047858,1044254,14,6,7,77,69,483,-29.2507,-3.65634
1,1047858,1044254,15,6,5,187,174,870,-56.6782,-7.08477
1,1047858,1044254,19,22,117,82,0,0,-6.37425,-0.796781
1,1047858,1044254,22,6,2,97,2,4,-15.2893,-1.91117
1,1047858,1044254,23,6,3,138,136,408,-15.4424,-1.9303
1,1047858,1044254,24,22,2,65,25,50,-33.1067,-4.13833
1,1047858,1044254,26,6,2,27,13,26,-24.1517,-3.01896
1,1047858,1044254,29,6,2,13,12,24,-5.77899,-0.722374
1,1047858,1044254,32,11,5,2,0,0,-1.58495,-0.198119
1,1047858,1044254,33,6,2,50,50,100,-5.51336,-0.68917
1,1047858,1044254,34,13,34,4,0,0,-2.32191,-0.290239
1,1047858,1044254,36,6,2,32,10,20,-17.1808,-2.1476
1,1047858,1044254,37,6,2,1,1,2,-0.96563,-0.120704
1,1047858,1044254,38,6,2,2,2,4,-0.814392,-0.101799
1,1047858,1044254,40,6,2,68,68,136,-5.47736,-0.68467
1,1047858,1044254,43,6,10,1,0,0,-1,-0.125
1,1047858,1044254,44,6,2,29,28,56,-9.44518,-1.18065
1,1047858,1044254,46,15,1,25,25,25,-4.35274,-0.544092
1,1047858,1044254,47,6,6,8,8,48,-1.30701,-0.163377
1,1047858,1044254,48,6,2,7,7,14,-2.95374,-0.369218
1,1047858,1044254,51,24,11,32,0,0,-5.04407,-0.630509
1,1047858,1044254,53,7,1,13,13,13,-3.6595,-0.457438
1,1047858,1044254,56,11,9,13,0,0,-3.80724,-0.475905
1,1047858,1044254,59,6,2,33,32,64,-9.48947,-1.18618
1,1047858,1044254,63,6,4,8,7,28,-5.6277,-0.703462
1,1047858,1044254,65,7,5,38,9,45,-15.4549,-1.93187
1,1047858,1044254,66,24,8,1,0,0,-1,-0.125
1,1047858,1044254,72,9,3,4,0,0,-2.32191,-0.290239
1,1047858,1044254,76,6,2,8,8,16,-2.69407,-0.336759
1,1047858,1044254,77,15,1,4,0,0,-2.32191,-0.290239
1,1047858,1044254,78,10,2,2,1,2,0.178925,0.0223656
1,1047858,1044254,90,6,2,3,3,6,-0.683907,-0.0854883
1,1047858,1044254,91,6,2,3,3,6,-0.586635,-0.0733294
1,1047858,1044254,92,6,6,1,0,0,-1,-0.125
1,1047858,1044254,94,10,2,2,2,4,-0.913091,-0.114136
1,1047858,1044254,97,6,2,1,1,2,-0.986356,-0.123295
1,1047858,1044254,101,6,2,18,18,36,-4.15632,-0.51954
1,1047858,1044254,107,6,2,4,3,6,-3.85371,-0.481714
1,1047858,1044254,108,6,6,2,0,0,-1.58495,-0.198119
1,1047858,1044254,109,6,2,1,1,2,-0.99365,-0.124206
1,1047858,1044254,111,6,2,2,2,4,-1.57059,-0.196323
1,1047858,1044254,112,6,10,1,0,0,-1,-0.125
1,1047858,1044254,113,7,1,1,1,1,-0.954268,-0.119284
1,1047858,1044254,114,24,8,1,1,8,9.03263,1.12908
1,1047858,1044254,116,13,19,3,0,0,-1.99999,-0.249999
1,1047858,1044254,119,13,11,1,0,0,-1,-0.125
1,1047858,1044254,122,7,1,1,1,1,-0.95796,-0.119745
2,2092112,1048143,1,6,19,192,190,3610,-13.0885,-1.63606
2,2092112,1048143,3,6,18,94,94,1692,0.52375,0.0654687
2,2092112,1048143,5,6,2,1870,1066,2132,-1226.73,-153.341
2,2092112,1048143,7,22,2,129,128,256,-11.6006,-1.45008
2,2092112,1048143,11,6,2,826,586,1172,-404.711,-50.5889
2,2092112,1048143,12,22,2,44,37,74,-21.3348,-2.66686
2,2092112,1048143,13,12,75,2,0,0,-1.58495,-0.198119
2,2092112,1048143,14,6,7,58,52,364,-24.1496,-3.01871
2,2092112,1048143,15,6,5,155,144,720,-47.1082,-5.88852
2,2092112,1048143,19,22,117,55,0,0,-5.80681,-0.725852
2,2092112,1048143,22,6,2,16,15,30,-7.91794,-0.989742
2,2092112,1048143,23,6,3,111,107,321,-25.3113,-3.16391
2,2092112,1048143,24,22,2,39,9,18,-13.367,-1.67088
2,2092112,1048143,26,6,2,32,16,32,-23.2153,-2.90192
2,2092112,1048143,29,6,2,16,16,32,-3.03845,-0.379806
2,2092112,1048143,32,11,5,1,0,0,-1,-0.125
2,2092112,1048143,33,6,2,50,50,100,-5.47856,-0.68482
2,2092112,1048143,34,13,34,2,0,0,-1.58495,-0.198119
2,2092112,1048143,36,6,2,19,6,12,-12.102,-1.51275
2,2092112,1048143,37,6,2,5,4,8,-3.10867,-0.388584
2,2092112,1048143,38,6,2,3,0,0,-1.99999,-0.249999
2,2092112,1048143,40,6,2,20,20,40,-4.06196,-0.507745
2,2092112,1048143,43,6,10,7,0,0,-2.99996,-0.374995
2,2092112,1048143,44,6,2,59,58,116,-10.7686,-1.34607
2,2092112,1048143,46,15,1,30,29,29,-8.1056,-1.0132
2,2092112,1048143,47,6,6,27,26,156,-5.30302,-0.662878
2,2092112,1048143,48,6,2,1,1,2,-0.991439,-0.12393
2,2092112,1048143,51,24,11,36,0,0,-5.20909,-0.651137
2,2092112,1048143,53,7,1,16,16,16,-3.91434,-0.489292
2,2092112,1048143,54,6,2,1,1,2,-0.996239,-0.12453
2,2092112,1048143,56,11,9,9,0,0,-3.32185,-0.415232
2,2092112,1048143,57,6,2,1,1,2,-0.99695,-0.124619
2,2092112,1048143,59,6,2,27,26,52,-8.97994,-1.12249
2,2092112,1048143,63,6,4,9,7,28,-6.95262,-0.869078
2,2092112,1048143,70,11,13,2,0,0,-1.58495,-0.198119
2,2092112,1048143,72,9,3,3,0,0,-1.99999,-0.249999
2,2092112,1048143,76,6,2,11,11,22,-3.09247,-0.386558
2,2092112,1048143,77,15,1,3,0,0,-1.99999,-0.249999
2,2092112,1048143,78,10,2,4,2,4,-0.19723,-0.0246538
2,2092112,1048143,80,11,1,2,0,0,-1.58495,-0.198119
2,2092112,1048143,83,6,2,2,2,4,-1.57344,-0.19668
2,2092112,1048143,84,6,2,1,1,2,-0.996503,-0.124563
2,2092112,1048143,92,6,6,2,0,0,-1.58495,-0.198119
2,2092112,1048143,94,10,2,2,2,4,-1.1905,-0.148813
2,2092112,1048143,97,6,2,3,3,6,-1.98575,-0.248219
2,2092112,1048143,101,6,2,13,13,26,-3.74119,-0.467649
2,2092112,1048143,107,6,2,4,2,4,-3.35025,-0.418782
2,2092112,1048143,108,6,6,7,0,0,-2.99996,-0.374995
2,2092112,1048143,109,6,2,1,1,2,-0.996508,-0.124563
2,2092112,1048143,112,6,10,8,0,0,-3.16986,-0.396233
2,2092112,1048143,113,7,1,5,5,5,-2.339,-0.292375
2,2092112,1048143,116,13,19,2,0,0,-1.58495,-0.198119
2,2092112,1048143,120,7,1,2,2,2,-1.44824,-0.18103
2,2092112,1048143,122,7,1,7,7,7,-2.67566,-0.334457
3,3140255,1041394,1,6,19,216,207,3933,-51.8556,-6.48195
3,3140255,1041394,3,6,18,106,106,1908,-0.942214,-0.117777
3,3140255,1041394,5,6,2,1999,1058,2116,-1307.05,-163.381
3,3140255,1041394,7,22,2,101,100,200,-11.2522,-1.40653
3,3140255,1041394,11,6,2,621,385,770,-350.696,-43.837
3,3140255,1041394,12,22,2,36,33,66,-10.9377,-1.36721
3,3140255,1041394,13,12,75,2,0,0,-1.58495,-0.198119
3,3140255,1041394,14,6,7,67,61,427,-19.63,-2.45375
3,3140255,1041394,15,6,5,168,158,790,-45.4518,-5.68148
3,3140255,1041394,19,22,117,52,0,0,-5.72741,-0.715927
3,3140255,1041394,23,6,3,124,119,357,-28.9658,-3.62072
3,3140255,1041394,24,22,2,100,29,58,-51.5171,-6.43964
3,3140255,1041394,32,11,5,1,0,0,-1,-0.125
3,3140255,1041394,33,6,2,45,45,90,-5.38428,-0.673035
3,3140255,1041394,36,6,2,38,10,20,-12.531,-1.56638
3,3140255,1041394,37,6,2,1,0,0,-1,-0.125
3,3140255,1041394,38,6,2,13,13,26,-3.22819,-0.403524
3,3140255,1041394,40,6,2,65,65,130,-5.28564,-0.660705
3,3140255,1041394,43,6,10,5,0,0,-2.58493,-0.323116
3,3140255,1041394,44,6,2,29,29,58,-4.41149,-0.551436
3,3140255,1041394,46,15,1,28,28,28,-4.52796,-0.565995
3,3140255,1041394,47,6,6,10,10,60,-2.56112,-0.32014
3,3140255,1041394,48,6,2,3,3,6,-1.98286,-0.247857
3,3140255,1041394,51,24,11,39,0,0,-5.32154,-0.665192
3,3140255,1041394,53,7,1,4,4,4,-2.28295,-0.285369
3,3140255,1041394,54,6,2,3,3,6,-1.99237,-0.249047
3,3140255,1041394,56,11,9,9,0,0,-3.32185,-0.415232
3,3140255,1041394,57,6,2,1,1,2,-0.9981,-0.124763
3,3140255,1041394,59,6,2,25,23,46,-12.4408,-1.5551
3,3140255,1041394,63,6,4,16,12,48,-11.0453,-1.38067
3,3140255,1041394,66,24,8,1,0,0,-1,-0.125
3,3140255,1041394,67,7,5,2,0,0,-1.58495,-0.198119
3,3140255,1041394,70,11,13,5,0,0,-2.58493,-0.323116
3,3140255,1041394,76,6,2,18,16,32,-11.1001,-1.38751
3,3140255,1041394,77,15,1,4,0,0,-2.32191,-0.290239
