scanned=587138826 triggers=1968713 takes=1288537
online_model=local bits=669415 delta_bytes=0
online_model=line bits=994695 delta_bytes=-40660.1
online_model=band bits=764009 delta_bytes=-11824.3
online_model=global bits=1.11989e+06 delta_bytes=-56309
online_model=line_backoff_2 bits=662932 delta_bytes=810.342
online_model=band_backoff_2 bits=669014 delta_bytes=50.1313
online_model=dual_backoff_2 bits=665520 delta_bytes=486.896
online_model=line_backoff_4 bits=661098 delta_bytes=1039.57
online_model=band_backoff_4 bits=669702 delta_bytes=-35.9072
online_model=dual_backoff_4 bits=664437 delta_bytes=622.269
online_model=line_backoff_8 bits=660234 delta_bytes=1147.63
online_model=band_backoff_8 bits=671367 delta_bytes=-244.024
online_model=dual_backoff_8 bits=663988 delta_bytes=678.37
online_model=line_backoff_16 bits=661148 delta_bytes=1033.39
online_model=band_backoff_16 bits=674378 delta_bytes=-620.44
online_model=dual_backoff_16 bits=664657 delta_bytes=594.731
online_model=line_backoff_32 bits=664651 delta_bytes=595.449
online_model=band_backoff_32 bits=679043 delta_bytes=-1203.55
online_model=dual_backoff_32 bits=666883 delta_bytes=316.481
scanner_wall=10.43 scanner_rss=583240
