pattern,prefix_length,suffix_length,context_kind,context,triggers,takes
1,6,19,global,0,95014,93707
1,6,19,byte_class,0,94164,93707
1,6,19,byte_class,1,772,0
1,6,19,byte_class,2,50,0
1,6,19,byte_class,3,2,0
1,6,19,byte_class,4,10,0
1,6,19,byte_class,6,15,0
1,6,19,byte_class,7,1,0
1,6,19,line_bucket,0,94164,93707
1,6,19,line_bucket,1,36,0
1,6,19,line_bucket,2,370,0
1,6,19,line_bucket,3,181,0
1,6,19,line_bucket,4,165,0
1,6,19,line_bucket,5,32,0
1,6,19,line_bucket,6,66,0
1,6,19,class_line,0,94164,93707
1,6,19,class_line,9,36,0
1,6,19,class_line,10,370,0
1,6,19,class_line,11,180,0
1,6,19,class_line,12,127,0
1,6,19,class_line,13,26,0
1,6,19,class_line,14,33,0
1,6,19,class_line,20,31,0
1,6,19,class_line,21,5,0
1,6,19,class_line,22,14,0
1,6,19,class_line,27,1,0
1,6,19,class_line,30,1,0
1,6,19,class_line,36,7,0
1,6,19,class_line,38,3,0
1,6,19,class_line,53,1,0
1,6,19,class_line,54,14,0
1,6,19,class_line,62,1,0
1,6,19,prev_byte,10,94164,93707
1,6,19,prev_byte,32,772,0
1,6,19,prev_byte,46,1,0
1,6,19,prev_byte,48,8,0
1,6,19,prev_byte,49,5,0
1,6,19,prev_byte,50,4,0
1,6,19,prev_byte,51,3,0
1,6,19,prev_byte,52,3,0
1,6,19,prev_byte,53,14,0
1,6,19,prev_byte,54,2,0
1,6,19,prev_byte,55,4,0
1,6,19,prev_byte,56,4,0
1,6,19,prev_byte,57,3,0
1,6,19,prev_byte,74,1,0
1,6,19,prev_byte,78,1,0
1,6,19,prev_byte,93,15,0
1,6,19,prev_byte,103,2,0
1,6,19,prev_byte,105,3,0
1,6,19,prev_byte,111,1,0
1,6,19,prev_byte,118,2,0
1,6,19,prev_byte,120,2,0
1,6,19,prev2_hash,10,1,0
1,6,19,prev2_hash,19,5,5
1,6,19,prev2_hash,20,83954,83936
1,6,19,prev2_hash,42,157,120
1,6,19,prev2_hash,49,3,3
1,6,19,prev2_hash,51,15,13
1,6,19,prev2_hash,52,1,1
1,6,19,prev2_hash,54,1,1
1,6,19,prev2_hash,56,49,42
1,6,19,prev2_hash,57,2,2
1,6,19,prev2_hash,58,2,1
1,6,19,prev2_hash,60,1,1
1,6,19,prev2_hash,62,2,2
1,6,19,prev2_hash,63,1,1
1,6,19,prev2_hash,64,716,0
1,6,19,prev2_hash,74,2,0
1,6,19,prev2_hash,77,1,0
1,6,19,prev2_hash,81,2,0
1,6,19,prev2_hash,82,1,0
1,6,19,prev2_hash,85,2,0
1,6,19,prev2_hash,87,8,8
1,6,19,prev2_hash,88,789,396
1,6,19,prev2_hash,89,1,0
1,6,19,prev2_hash,92,1000,995
1,6,19,prev2_hash,94,5,0
1,6,19,prev2_hash,96,1,0
1,6,19,prev2_hash,97,2,0
1,6,19,prev2_hash,98,4,0
1,6,19,prev2_hash,99,6,0
1,6,19,prev2_hash,100,3,0
1,6,19,prev2_hash,101,2,0
1,6,19,prev2_hash,102,6,1
1,6,19,prev2_hash,103,8175,8143
1,6,19,prev2_hash,104,7,0
1,6,19,prev2_hash,105,3,0
1,6,19,prev2_hash,106,2,0
1,6,19,prev2_hash,107,3,1
1,6,19,prev2_hash,108,2,0
1,6,19,prev2_hash,109,1,0
1,6,19,prev2_hash,113,2,0
1,6,19,prev2_hash,115,1,0
1,6,19,prev2_hash,117,2,2
1,6,19,prev2_hash,118,1,1
1,6,19,prev2_hash,119,1,1
1,6,19,prev2_hash,121,1,0
1,6,19,prev2_hash,125,3,1
1,6,19,prev2_hash,128,2,1
1,6,19,prev2_hash,137,1,0
1,6,19,prev2_hash,141,4,1
1,6,19,prev2_hash,143,2,0
1,6,19,prev2_hash,145,2,2
1,6,19,prev2_hash,149,1,0
1,6,19,prev2_hash,150,2,1
1,6,19,prev2_hash,151,2,2
1,6,19,prev2_hash,152,1,0
1,6,19,prev2_hash,153,1,1
1,6,19,prev2_hash,155,1,1
1,6,19,prev2_hash,159,1,1
1,6,19,prev2_hash,160,1,0
1,6,19,prev2_hash,162,2,2
1,6,19,prev2_hash,166,1,1
1,6,19,prev2_hash,171,1,1
1,6,19,prev2_hash,174,1,1
1,6,19,prev2_hash,176,1,1
1,6,19,prev2_hash,178,1,1
1,6,19,prev2_hash,183,1,0
1,6,19,prev2_hash,185,1,1
1,6,19,prev2_hash,187,1,1
1,6,19,prev2_hash,196,1,1
1,6,19,prev2_hash,201,1,1
1,6,19,prev2_hash,204,1,1
1,6,19,prev2_hash,205,1,1
1,6,19,prev2_hash,206,1,0
1,6,19,prev2_hash,208,1,1
1,6,19,prev2_hash,210,1,0
1,6,19,prev2_hash,212,1,1
1,6,19,prev2_hash,213,1,0
1,6,19,prev2_hash,215,1,1
1,6,19,prev2_hash,216,1,1
1,6,19,prev2_hash,217,3,3
1,6,19,prev2_hash,223,2,0
1,6,19,prev2_hash,225,2,0
1,6,19,prev2_hash,238,1,0
