scanned=587138826 triggers=1968713 takes=1288537 replayed=8175968 min_prefix=6
online_model=local bits=669415 delta_bytes=0
online_model=line bits=994695 delta_bytes=-40660.1
online_model=band bits=764009 delta_bytes=-11824.3
online_model=global bits=1.11989e+06 delta_bytes=-56309
online_model=line_backoff_2 bits=662932 delta_bytes=810.342
online_model=band_backoff_2 bits=669014 delta_bytes=50.1313
online_model=dual_backoff_2 bits=665520 delta_bytes=486.896
online_model=line_backoff_4 bits=661098 delta_bytes=1039.57
online_model=band_backoff_4 bits=669702 delta_bytes=-35.9072
online_model=dual_backoff_4 bits=664437 delta_bytes=622.269
online_model=line_backoff_8 bits=660234 delta_bytes=1147.63
online_model=band_backoff_8 bits=671367 delta_bytes=-244.024
online_model=dual_backoff_8 bits=663988 delta_bytes=678.37
online_model=line_backoff_16 bits=661148 delta_bytes=1033.39
online_model=band_backoff_16 bits=674378 delta_bytes=-620.44
online_model=dual_backoff_16 bits=664657 delta_bytes=594.731
online_model=line_backoff_32 bits=664651 delta_bytes=595.449
online_model=band_backoff_32 bits=679043 delta_bytes=-1203.55
online_model=dual_backoff_32 bits=666883 delta_bytes=316.481
online_model=blend_local_0.25_global bits=898811 delta_bytes=-28674.5
online_model=blend_local_0.5_global bits=786787 delta_bytes=-14671.6
online_model=blend_local_0.75_global bits=712988 delta_bytes=-5446.61
online_model=blend_local_0.25_byte_class bits=841475 delta_bytes=-21507.5
online_model=blend_local_0.5_byte_class bits=753190 delta_bytes=-10471.9
online_model=blend_local_0.75_byte_class bits=697866 delta_bytes=-3556.44
online_model=blend_local_0.25_line_bucket bits=829384 delta_bytes=-19996.1
online_model=blend_local_0.5_line_bucket bits=749164 delta_bytes=-9968.63
online_model=blend_local_0.75_line_bucket bits=698002 delta_bytes=-3573.38
online_model=blend_local_0.25_class_line bits=812212 delta_bytes=-17849.7
online_model=blend_local_0.5_class_line bits=737471 delta_bytes=-8506.98
online_model=blend_local_0.75_class_line bits=691504 delta_bytes=-2761.15
online_model=blend_local_0.25_prev_byte bits=834701 delta_bytes=-20660.8
online_model=blend_local_0.5_prev_byte bits=749124 delta_bytes=-9963.62
online_model=blend_local_0.75_prev_byte bits=695721 delta_bytes=-3288.31
online_model=blend_local_0.25_prev2_hash bits=813612 delta_bytes=-18024.7
online_model=blend_local_0.5_prev2_hash bits=735935 delta_bytes=-8315.03
online_model=blend_local_0.75_prev2_hash bits=688878 delta_bytes=-2432.87
online_model=blend_local_0.25_stream_band16 bits=806278 delta_bytes=-17107.9
online_model=blend_local_0.5_stream_band16 bits=741342 delta_bytes=-8990.93
online_model=blend_local_0.75_stream_band16 bits=696402 delta_bytes=-3373.42
online_model=blend_local_0.25_stream_band64 bits=722960 delta_bytes=-6693.19
online_model=blend_local_0.5_stream_band64 bits=696938 delta_bytes=-3440.46
online_model=blend_local_0.75_stream_band64 bits=679001 delta_bytes=-1198.27
online_model=blend_local_0.25_band16_line bits=713864 delta_bytes=-5556.12
online_model=blend_local_0.5_band16_line bits=689099 delta_bytes=-2460.6
online_model=blend_local_0.75_band16_line bits=674827 delta_bytes=-676.539
online_model=blend_local_0.25_band64_byte_class bits=664785 delta_bytes=578.665
online_model=blend_local_0.5_band64_byte_class bits=661026 delta_bytes=1048.53
online_model=blend_local_0.75_band64_byte_class bits=661953 delta_bytes=932.711
online_model=backed_line_class_0.25 bits=658055 delta_bytes=1419.93
online_model=backed_line_class_0.5 bits=653960 delta_bytes=1931.88
online_model=backed_line_class_0.75 bits=654143 delta_bytes=1908.97
