pattern,prefix_length,suffix_length,triggers,takes,replayed_bytes,estimated_gain_bits,estimated_gain_bytes
1,6,19,139,139,2641,48.5493,6.06867
3,6,18,117,117,2106,22.9463,2.86828
5,6,2,772,565,1130,-451.476,-56.4345
7,22,2,75,73,146,-5.04762,-0.630952
11,6,2,487,404,808,-201.203,-25.1503
12,22,2,37,31,62,-6.84239,-0.855299
13,12,75,5,0,0,-2.58493,-0.323116
14,6,7,34,32,224,9.9541,1.24426
15,6,5,155,145,725,-12.6418,-1.58022
19,22,117,8,0,0,-3.16986,-0.396233
22,6,2,2,2,4,7.92974,0.991217
23,6,3,31,30,90,3.27592,0.40949
24,22,2,102,64,128,-51.7557,-6.46947
26,6,2,2,0,0,-1.58495,-0.198119
32,11,5,2,0,0,-1.58495,-0.198119
33,6,2,48,48,96,-5.15567,-0.644458
34,13,34,2,0,0,-1.58495,-0.198119
36,6,2,11,2,4,-5.19855,-0.649819
37,6,2,44,44,88,-3.70983,-0.463728
38,6,2,60,42,84,-49.268,-6.15849
40,6,2,34,34,68,1.94382,0.242978
43,6,10,10,0,0,-3.45934,-0.432417
44,6,2,21,21,42,-3.7451,-0.468138
46,15,1,11,11,11,0.748444,0.0935555
47,6,6,42,41,246,18.8996,2.36245
48,6,2,5,5,10,-1.98858,-0.248573
51,24,11,25,0,0,-4.70019,-0.587524
53,7,1,184,184,184,-6.28513,-0.785641
54,6,2,1,1,2,-0.919881,-0.114985
56,11,9,3,0,0,-1.99999,-0.249999
57,6,2,1,1,2,-0.995103,-0.124388
59,6,2,43,43,86,0.927076,0.115885
63,6,4,6,6,24,2.63715,0.329644
65,7,5,341,110,550,-246.919,-30.8648
66,24,8,2,0,0,-1.58495,-0.198119
73,6,2,1,1,2,-0.993289,-0.124161
76,6,2,7,7,14,12.9744,1.62179
77,15,1,1,0,0,-1,-0.125
78,10,2,1,1,2,2.30972,0.288715
82,6,2,1,1,2,-0.99577,-0.124471
87,6,2,14,14,28,-3.67057,-0.458821
88,6,6,7,0,0,-2.99996,-0.374995
92,6,6,11,0,0,-3.58486,-0.448107
94,10,2,27,25,50,-11.207,-1.40087
98,6,2,3,3,6,-1.74231,-0.217789
101,6,2,7,7,14,-2.60305,-0.325381
103,6,6,5,0,0,-2.58493,-0.323116
107,6,2,20,7,14,-11.8212,-1.47765
108,6,6,40,1,6,-6.11964,-0.764955
109,6,2,1,1,2,-0.9935,-0.124188
110,6,10,1,0,0,-1,-0.125
112,6,10,18,0,0,-4.24779,-0.530973
115,6,6,6,0,0,-2.80731,-0.350914
116,13,19,2,0,0,-1.58495,-0.198119
119,13,11,1,0,0,-1,-0.125
120,7,1,5,5,5,-1.95212,-0.244015
122,7,1,14,14,14,-3.25751,-0.407189
128,6,6,1,0,0,-1,-0.125
