range,offset,length,pattern,prefix_length,suffix_length,triggers,takes,replayed_bytes,estimated_gain_bits,estimated_gain_bytes
0,0,1048224,1,6,19,1335,1335,25365,25.453,3.18163
0,0,1048224,3,6,18,1,1,18,35.9215,4.49019
0,0,1048224,5,6,2,18,4,8,-1.98227,-0.247784
0,0,1048224,7,22,2,22,1,2,0.975326,0.121916
0,0,1048224,11,6,2,2,1,2,9.46585,1.18323
0,0,1048224,12,22,2,125,0,0,-6.97604,-0.872005
0,0,1048224,15,6,5,1,1,5,30.5363,3.81704
0,0,1048224,23,6,3,20,19,57,-1.56255,-0.195319
0,0,1048224,24,22,2,1111,0,0,-10.1074,-1.26342
0,0,1048224,32,11,5,1,0,0,-1,-0.125
0,0,1048224,33,6,2,71,71,142,-5.89392,-0.73674
0,0,1048224,34,13,34,4,0,0,-2.32191,-0.290239
0,0,1048224,36,6,2,175,120,240,-107.656,-13.4569
0,0,1048224,38,6,2,3500,3500,7000,5.92065,0.740081
0,0,1048224,40,6,2,5,5,10,-2.52837,-0.316046
0,0,1048224,44,6,2,1,1,2,-0.923675,-0.115459
0,0,1048224,48,6,2,1,1,2,-0.930547,-0.116318
0,0,1048224,51,24,11,40,0,0,-5.35715,-0.669644
0,0,1048224,54,6,2,1,1,2,-0.967512,-0.120939
0,0,1048224,56,11,9,52,0,0,-5.72741,-0.715927
0,0,1048224,70,11,13,2,0,0,-1.58495,-0.198119
0,0,1048224,76,6,2,23,23,46,11.8273,1.47842
0,0,1048224,92,6,6,2,0,0,-2,-0.25
0,0,1048224,108,6,6,1,0,0,-1,-0.125
0,0,1048224,116,13,19,6,0,0,-2.80731,-0.350914
0,0,1048224,119,13,11,1,0,0,-1,-0.125
