source_group,recipient_group,source_start,recipient_start,distance,overlap_windows,source_window_count,recipient_window_count,overlap_fraction,class_match,source_class,recipient_class
0,1,0,1048219,0,346,25701,29893,0.013462511186335162,1,list,list
0,2,0,2097908,1049689,232,25701,30366,0.009026886113380803,1,list,list
1,2,1048219,2097908,0,218,29893,30366,0.007292677215401599,1,list,list
0,3,0,3146668,2098449,9,25701,32164,0.0003501809268121863,1,list,list
1,3,1048219,3146668,1048760,7,29893,32164,0.00023416853443950089,1,list,list
2,3,2097908,3146668,0,156,30366,32164,0.005137324639399328,1,list,list
0,4,0,4195514,3147295,22,25701,31507,0.0008559978210964554,0,list,mixed
1,4,1048219,4195514,2097606,20,29893,31507,0.0006690529555414311,0,list,mixed
2,4,2097908,4195514,1048846,158,30366,31507,0.005203187775801883,0,list,mixed
3,4,3146668,4195514,0,234,32164,31507,0.007426921001682166,0,list,mixed
0,5,0,5243475,4195256,18,25701,28307,0.0007003618536243726,0,list,mixed
1,5,1048219,5243475,3145567,17,29893,28307,0.0006005581658247076,0,list,mixed
2,5,2097908,5243475,2096807,136,30366,28307,0.004804465326597661,0,list,mixed
3,5,3146668,5243475,1047961,188,32164,28307,0.006641466775002649,0,list,mixed
4,5,4195514,5243475,0,242,31507,28307,0.008549122125269369,1,mixed,mixed
0,6,0,6291800,5243581,15,25701,30984,0.0005836348780203105,1,list,list
1,6,1048219,6291800,4193892,12,29893,30984,0.0004014317733248587,1,list,list
2,6,2097908,6291800,3145132,21,30366,30984,0.0006915629322268327,1,list,list
3,6,3146668,6291800,2096286,9,32164,30984,0.0002904725019364833,1,list,list
4,6,4195514,6291800,1048325,20,31507,30984,0.0006454944487477407,0,mixed,list
5,6,5243475,6291800,0,731,28307,30984,0.025824001130462428,0,mixed,list
0,7,0,7342355,6294136,13,25701,32458,0.0005058168942842691,1,list,list
1,7,1048219,7342355,5244447,11,29893,32458,0.0003679791255477871,1,list,list
2,7,2097908,7342355,4195687,15,30366,32458,0.0004939735230191662,1,list,list
3,7,3146668,7342355,3146841,14,32164,32458,0.00043526924511876633,1,list,list
4,7,4195514,7342355,2098880,26,31507,32458,0.0008252134446313518,0,mixed,list
5,7,5243475,7342355,1050555,20,28307,32458,0.0007065390186173032,0,mixed,list
6,7,6291800,7342355,0,81,30984,32458,0.0026142525174283502,1,list,list
0,8,0,8392535,7344316,20,25701,32538,0.000778179837360414,1,list,list
1,8,1048219,8392535,6294627,16,29893,32538,0.0005352423644331449,1,list,list
2,8,2097908,8392535,5245867,20,30366,32538,0.0006586313640255549,1,list,list
3,8,3146668,8392535,4197021,10,32164,32538,0.00031090660365626165,1,list,list
4,8,4195514,8392535,3149060,22,31507,32538,0.0006982575300726822,0,mixed,list
5,8,5243475,8392535,2100735,20,28307,32538,0.0007065390186173032,0,mixed,list
6,8,6291800,8392535,1050180,78,30984,32538,0.002517428350116189,1,list,list
7,8,7342355,8392535,0,227,32458,32538,0.006993653336619631,1,list,list
0,9,0,9447260,8399041,13,25701,32499,0.0005058168942842691,0,list,mixed
1,9,1048219,9447260,7349352,9,29893,32499,0.00030107382999364397,0,list,mixed
2,9,2097908,9447260,6300592,13,30366,32499,0.0004281103866166107,0,list,mixed
3,9,3146668,9447260,5251746,13,32164,32499,0.00040417858475314016,0,list,mixed
4,9,4195514,9447260,4203785,23,31507,32499,0.0007299965087123496,1,mixed,mixed
5,9,5243475,9447260,3155460,22,28307,32499,0.0007771929204790335,1,mixed,mixed
6,9,6291800,9447260,2104905,63,30984,32499,0.0020333075135553834,0,list,mixed
7,9,7342355,9447260,1054725,107,32458,32499,0.0032965678723273152,0,list,mixed
8,9,8392535,9447260,0,128,32538,32499,0.0039385827256223265,0,list,mixed
0,10,0,10494038,9445819,13,25701,32588,0.0005058168942842691,1,list,list
1,10,1048219,10494038,8396130,14,29893,32588,0.00046833706887900177,1,list,list
2,10,2097908,10494038,7347370,21,30366,32588,0.0006915629322268327,1,list,list
3,10,3146668,10494038,6298524,10,32164,32588,0.00031090660365626165,1,list,list
4,10,4195514,10494038,5250563,24,31507,32588,0.000761735487352017,0,mixed,list
5,10,5243475,10494038,4202238,28,28307,32588,0.0009891546260642245,0,mixed,list
6,10,6291800,10494038,3151683,68,30984,32588,0.0021946811257423184,1,list,list
7,10,7342355,10494038,2101503,129,32458,32588,0.00397436687411424,1,list,list
8,10,8392535,10494038,1046778,121,32538,32588,0.0037187288708586883,1,list,list
9,10,9447260,10494038,0,92,32499,32588,0.0028308563340410475,0,mixed,list
0,11,0,11543054,10494835,11,25701,32645,0.0004279989105482277,1,list,list
1,11,1048219,11543054,9445146,9,29893,32645,0.00030107382999364397,1,list,list
2,11,2097908,11543054,8396386,17,30366,32645,0.0005598366594217216,1,list,list
3,11,3146668,11543054,7347540,13,32164,32645,0.00040417858475314016,1,list,list
4,11,4195514,11543054,6299579,18,31507,32645,0.0005713016155140128,0,mixed,list
5,11,5243475,11543054,5251254,18,28307,32645,0.0006358851167555729,0,mixed,list
6,11,6291800,11543054,4200699,50,30984,32645,0.001613736121869352,1,list,list
7,11,7342355,11543054,3150519,83,32458,32645,0.002557150779468852,1,list,list
8,11,8392535,11543054,2095794,95,32538,32645,0.002919663163070871,1,list,list
9,11,9447260,11543054,1049016,89,32499,32645,0.0027385458014092742,0,mixed,list
10,11,10494038,11543054,0,79,32588,32645,0.00242420522891862,1,list,list
0,12,0,12591020,11542801,10,25701,32471,0.000389089918680207,1,list,list
1,12,1048219,12591020,10493112,8,29893,32471,0.00026762118221657246,1,list,list
2,12,2097908,12591020,9444352,15,30366,32471,0.0004939735230191662,1,list,list
3,12,3146668,12591020,8395506,11,32164,32471,0.0003419972640218878,1,list,list
4,12,4195514,12591020,7347545,18,31507,32471,0.0005713016155140128,0,mixed,list
5,12,5243475,12591020,6299220,18,28307,32471,0.0006358851167555729,0,mixed,list
6,12,6291800,12591020,5248665,49,30984,32471,0.0015814613994319649,1,list,list
7,12,7342355,12591020,4198485,132,32458,32471,0.004066794010721548,1,list,list
8,12,8392535,12591020,3143760,144,32538,32471,0.004434726371223554,1,list,list
