recipient_group,rank,source_group,overlap_fraction,overlap_windows,distance,class_match,forced
1,0,0,0.013463,346,0,1,False
2,0,0,0.009027,232,1049689,1,False
2,1,1,0.007293,218,0,1,False
3,0,2,0.005137,156,0,1,False
3,1,0,0.000350,9,2098449,1,False
3,2,1,0.000234,7,1048760,1,False
4,0,3,0.007427,234,0,0,False
4,1,2,0.005203,158,1048846,0,False
4,2,0,0.000856,22,3147295,0,False
4,3,1,0.000669,20,2097606,0,False
5,0,4,0.008549,242,0,1,False
5,1,3,0.006641,188,1047961,0,False
5,2,2,0.004804,136,2096807,0,False
5,3,0,0.000700,18,4195256,0,False
5,4,1,0.000601,17,3145567,0,False
6,0,5,0.025824,731,0,0,False
6,1,2,0.000692,21,3145132,1,False
6,2,4,0.000645,20,1048325,0,False
6,3,0,0.000584,15,5243581,1,False
6,4,1,0.000401,12,4193892,1,False
6,5,3,0.000290,9,2096286,1,False
7,0,6,0.002614,81,0,1,False
7,1,4,0.000825,26,2098880,0,False
7,2,5,0.000707,20,1050555,0,False
7,3,0,0.000506,13,6294136,1,False
7,4,2,0.000494,15,4195687,1,False
7,5,3,0.000435,14,3146841,1,False
7,6,1,0.000368,11,5244447,1,False
8,0,7,0.006994,227,0,1,False
8,1,6,0.002517,78,1050180,1,False
8,2,0,0.000778,20,7344316,1,False
8,3,5,0.000707,20,2100735,0,False
8,4,4,0.000698,22,3149060,0,False
8,5,2,0.000659,20,5245867,1,False
8,6,1,0.000535,16,6294627,1,False
8,7,3,0.000311,10,4197021,1,False
9,0,8,0.003939,128,0,0,False
9,1,7,0.003297,107,1054725,0,False
9,2,6,0.002033,63,2104905,0,False
9,3,5,0.000777,22,3155460,1,False
9,4,4,0.000730,23,4203785,1,False
9,5,0,0.000506,13,8399041,0,False
9,6,2,0.000428,13,6300592,0,False
9,7,3,0.000404,13,5251746,0,False
9,8,1,0.000301,9,7349352,0,False
10,0,7,0.003974,129,2101503,1,False
10,1,8,0.003719,121,1046778,1,False
10,2,9,0.002831,92,0,0,False
10,3,6,0.002195,68,3151683,1,False
10,4,5,0.000989,28,4202238,0,False
10,5,4,0.000762,24,5250563,0,False
10,6,2,0.000692,21,7347370,1,False
10,7,0,0.000506,13,9445819,1,False
10,8,1,0.000468,14,8396130,1,False
10,9,3,0.000311,10,6298524,1,False
11,0,8,0.002920,95,2095794,1,False
11,1,9,0.002739,89,1049016,0,False
11,2,7,0.002557,83,3150519,1,False
11,3,10,0.002424,79,0,1,False
11,4,6,0.001614,50,4200699,1,False
11,5,5,0.000636,18,5251254,0,False
11,6,4,0.000571,18,6299579,0,False
11,7,2,0.000560,17,8396386,1,False
11,8,0,0.000428,11,10494835,1,False
11,9,3,0.000404,13,7347540,1,False
11,10,1,0.000301,9,9445146,1,False
12,0,8,0.004435,144,3143760,1,False
12,1,7,0.004067,132,4198485,1,False
12,2,9,0.003880,126,2096982,0,False
12,3,11,0.003388,110,0,1,False
12,4,10,0.002895,94,1047966,1,False
12,5,6,0.001581,49,5248665,1,False
12,6,5,0.000636,18,6299220,0,False
12,7,4,0.000571,18,7347545,0,False
12,8,2,0.000494,15,9444352,1,False
12,9,0,0.000389,10,11542801,1,False
12,10,3,0.000342,11,8395506,1,False
12,11,1,0.000268,8,10493112,1,False
13,0,12,0.001879,61,0,1,False
13,1,8,0.001721,56,4194342,1,False
13,2,7,0.001633,53,5249067,1,False
13,3,6,0.001356,42,6299247,1,False
13,4,10,0.001350,44,2098548,1,False
13,5,11,0.001195,39,1050582,1,False
13,6,9,0.001108,36,3147564,0,False
13,7,5,0.000636,18,7349802,0,False
13,8,4,0.000635,20,8398127,0,False
13,9,0,0.000545,14,12593383,1,False
13,10,2,0.000461,14,10494934,1,False
13,11,3,0.000404,13,9446088,1,False
13,12,1,0.000368,11,11543694,1,False
14,0,7,0.004005,130,6306680,1,False
14,1,8,0.003903,127,5251955,1,False
14,2,12,0.002864,93,1057613,1,False
14,3,10,0.002394,78,3156161,1,False
14,4,9,0.001846,60,4205177,0,False
14,5,6,0.001711,53,7356860,1,False
14,6,13,0.001654,54,0,1,False
14,7,11,0.001593,52,2108195,1,False
14,8,5,0.000742,21,8407415,0,False
14,9,2,0.000659,20,11552547,1,False
14,10,4,0.000635,20,9455740,0,False
14,11,0,0.000545,14,13650996,1,False
14,12,1,0.000435,13,12601307,1,False
14,13,3,0.000311,10,10503701,1,False
15,0,8,0.006920,224,6302230,1,False
15,1,7,0.006487,210,7356955,1,False
15,2,14,0.005591,181,0,1,False
15,3,12,0.004109,133,2107888,1,False
15,4,10,0.003707,120,4206436,1,False
15,5,9,0.002935,95,5255452,0,False
15,6,11,0.002595,84,3158470,1,False
15,7,13,0.002440,79,1050275,1,False
15,8,6,0.002001,62,8407135,1,False
15,9,4,0.000667,21,10506015,0,False
15,10,0,0.000584,15,14701271,1,False
15,11,5,0.000565,16,9457690,0,False
15,12,2,0.000527,16,12602822,1,False
15,13,1,0.000368,11,13651582,1,False
15,14,3,0.000311,10,11553976,1,False
16,0,15,0.002440,79,0,1,False
16,1,8,0.002244,73,7350599,1,False
16,2,7,0.002033,66,8405324,1,False
16,3,14,0.001502,49,1048369,1,False
16,4,11,0.001318,43,4206839,1,False
16,5,10,0.001227,40,5254805,1,False
16,6,12,0.001201,39,3156257,1,False
16,7,6,0.001130,35,9455504,1,False
16,8,9,0.001108,36,6303821,0,False
16,9,13,0.000919,30,2098644,1,False
16,10,5,0.000636,18,10506059,0,False
16,11,2,0.000593,18,13651191,1,False
16,12,4,0.000540,17,11554384,0,False
16,13,0,0.000467,12,15749640,1,False
16,14,1,0.000401,12,14699951,1,False
16,15,3,0.000373,12,12602345,1,False
17,0,16,0.001256,41,0,1,False
17,1,15,0.000958,31,1046789,1,False
17,2,8,0.000891,29,8397388,1,False
