donor_offset_length,recipients_helped,total_exact_marginal,registration_bytes,ideal_activation_bytes,explicit_net_upper_bound,causal_no_id_upper_bound,break_even_bytes_per_recipient
12032:1024,12,13,5,8,0,8,1.083
12288:1024,10,11,5,7,-1,6,1.200
13056:16384,9,9,5,7,-3,4,1.333
10752:1024,8,8,5,6,-3,3,1.375
12032:16384,8,8,5,6,-3,3,1.375
12544:1024,8,8,5,6,-3,3,1.375
14336:1024,4,6,5,4,-3,1,2.250
11520:1024,5,5,5,5,-5,0,2.000
12032:256,3,5,5,3,-3,0,2.667
12288:16384,5,5,5,5,-5,0,2.000
13056:1024,5,5,5,5,-5,0,2.000
13056:2048,4,5,5,4,-4,0,2.250
13568:1024,4,5,5,4,-4,0,2.250
16128:1024,4,5,5,4,-4,0,2.250
11008:1024,4,4,5,4,-5,-1,2.250
11008:16384,4,4,5,4,-5,-1,2.250
11264:1024,4,4,5,4,-5,-1,2.250
11776:16384,4,4,5,4,-5,-1,2.250
12544:16384,4,4,5,4,-5,-1,2.250
13824:1024,3,4,5,3,-4,-1,2.667
15104:16384,3,4,5,3,-4,-1,2.667
15872:1024,3,4,5,3,-4,-1,2.667
10496:1024,3,3,5,3,-5,-2,2.667
11776:2048,3,3,5,3,-5,-2,2.667
12032:2048,3,3,5,3,-5,-2,2.667
12544:256,2,3,5,2,-4,-2,3.500
12800:1024,3,3,5,3,-5,-2,2.667
12800:16384,3,3,5,3,-5,-2,2.667
14080:1024,3,3,5,3,-5,-2,2.667
15360:16384,3,3,5,3,-5,-2,2.667
15616:1024,2,3,5,2,-4,-2,3.500
16128:2048,2,3,5,2,-4,-2,3.500
10240:1024,2,2,5,2,-5,-3,3.500
103936:1024,2,2,5,2,-5,-3,3.500
10496:16384,2,2,5,2,-5,-3,3.500
105216:1024,2,2,5,2,-5,-3,3.500
105216:2048,2,2,5,2,-5,-3,3.500
10752:16384,2,2,5,2,-5,-3,3.500
11008:512,2,2,5,2,-5,-3,3.500
11264:16384,2,2,5,2,-5,-3,3.500
11776:256,2,2,5,2,-5,-3,3.500
12032:512,2,2,5,2,-5,-3,3.500
12544:2048,2,2,5,2,-5,-3,3.500
13056:256,2,2,5,2,-5,-3,3.500
13056:4096,2,2,5,2,-5,-3,3.500
13312:16384,2,2,5,2,-5,-3,3.500
13568:16384,2,2,5,2,-5,-3,3.500
13568:256,2,2,5,2,-5,-3,3.500
13824:16384,2,2,5,2,-5,-3,3.500
14080:16384,2,2,5,2,-5,-3,3.500
14336:16384,2,2,5,2,-5,-3,3.500
14592:16384,2,2,5,2,-5,-3,3.500
14592:2048,2,2,5,2,-5,-3,3.500
14848:1024,2,2,5,2,-5,-3,3.500
15104:1024,2,2,5,2,-5,-3,3.500
15360:1024,2,2,5,2,-5,-3,3.500
16128:16384,2,2,5,2,-5,-3,3.500
17152:1024,2,2,5,2,-5,-3,3.500
4096:1024,2,2,5,2,-5,-3,3.500
4864:1024,2,2,5,2,-5,-3,3.500
7168:1024,2,2,5,2,-5,-3,3.500
