region,baseline_payload,candidate_payload,assignment_cost,span_cost,copy_cost,candidate_total,saving_bytes,improvement_percent,status
0,208,208,0,0,0,208,0,0.0000,REJECTED_SAVED
1,187,187,0,0,0,187,0,0.0000,REJECTED_SAVED
2,103,103,0,0,0,103,0,0.0000,REJECTED_SAVED
3,46,46,0,0,0,46,0,0.0000,REJECTED_SAVED
4,205,205,0,0,0,205,0,0.0000,REJECTED_SAVED
5,119,119,0,0,0,119,0,0.0000,REJECTED_SAVED
6,96,96,0,0,0,96,0,0.0000,REJECTED_SAVED
7,164,164,0,0,0,164,0,0.0000,REJECTED_SAVED
8,166,166,0,0,0,166,0,0.0000,REJECTED_SAVED
9,66,66,0,0,0,66,0,0.0000,REJECTED_SAVED
10,49,49,0,0,0,49,0,0.0000,REJECTED_SAVED
11,144,144,0,0,0,144,0,0.0000,REJECTED_SAVED
12,76,76,0,0,0,76,0,0.0000,REJECTED_SAVED
13,88,88,0,0,0,88,0,0.0000,REJECTED_SAVED
14,82,82,0,0,0,82,0,0.0000,REJECTED_SAVED
15,97,97,0,0,0,97,0,0.0000,REJECTED_SAVED
16,53,53,0,0,0,53,0,0.0000,REJECTED_SAVED
17,69,69,0,0,0,69,0,0.0000,REJECTED_SAVED
18,348,348,0,0,0,348,0,0.0000,REJECTED_SAVED
19,27,27,0,0,0,27,0,0.0000,REJECTED_SAVED
20,72,72,0,0,0,72,0,0.0000,REJECTED_SAVED
21,37,37,0,0,0,37,0,0.0000,REJECTED_SAVED
22,76,76,0,0,0,76,0,0.0000,REJECTED_SAVED
23,47,47,0,0,0,47,0,0.0000,REJECTED_SAVED
24,289,289,0,0,0,289,0,0.0000,REJECTED_SAVED
25,45,45,0,0,0,45,0,0.0000,REJECTED_SAVED
26,68,68,0,0,0,68,0,0.0000,REJECTED_SAVED
27,282,282,0,0,0,282,0,0.0000,REJECTED_SAVED
28,101,101,0,0,0,101,0,0.0000,REJECTED_SAVED
29,15,15,0,0,0,15,0,0.0000,REJECTED_SAVED
30,148,148,0,0,0,148,0,0.0000,REJECTED_SAVED
31,60,60,0,0,0,60,0,0.0000,REJECTED_SAVED
32,54,54,0,0,0,54,0,0.0000,REJECTED_SAVED
33,78,78,0,0,0,78,0,0.0000,REJECTED_SAVED
34,76,76,0,0,0,76,0,0.0000,REJECTED_SAVED
35,22,22,0,0,0,22,0,0.0000,REJECTED_SAVED
36,60,60,0,0,0,60,0,0.0000,REJECTED_SAVED
37,92,92,0,0,0,92,0,0.0000,REJECTED_SAVED
38,102,102,0,0,0,102,0,0.0000,REJECTED_SAVED
39,77,77,0,0,0,77,0,0.0000,REJECTED_SAVED
40,117,117,0,0,0,117,0,0.0000,REJECTED_SAVED
41,188,188,0,0,0,188,0,0.0000,REJECTED_SAVED
42,42,42,0,0,0,42,0,0.0000,REJECTED_SAVED
43,43,43,0,0,0,43,0,0.0000,REJECTED_SAVED
44,62,62,0,0,0,62,0,0.0000,REJECTED_SAVED
45,106,106,0,0,0,106,0,0.0000,REJECTED_SAVED
46,165,165,0,0,0,165,0,0.0000,REJECTED_SAVED
47,102,102,0,0,0,102,0,0.0000,REJECTED_SAVED
48,89,89,0,0,0,89,0,0.0000,REJECTED_SAVED
49,39,39,0,0,0,39,0,0.0000,REJECTED_SAVED
50,91,91,0,0,0,91,0,0.0000,REJECTED_SAVED
51,34,34,0,0,0,34,0,0.0000,REJECTED_SAVED
52,14,14,0,0,0,14,0,0.0000,REJECTED_SAVED
53,24,24,0,0,0,24,0,0.0000,REJECTED_SAVED
54,7,7,0,0,0,7,0,0.0000,REJECTED_SAVED
55,11,11,0,0,0,11,0,0.0000,REJECTED_SAVED
56,7,7,0,0,0,7,0,0.0000,REJECTED_SAVED
57,5,5,0,0,0,5,0,0.0000,REJECTED_SAVED
58,19,19,0,0,0,19,0,0.0000,REJECTED_SAVED
59,17,17,0,0,0,17,0,0.0000,REJECTED_SAVED
60,13,13,0,0,0,13,0,0.0000,REJECTED_SAVED
61,47,47,0,0,0,47,0,0.0000,REJECTED_SAVED
62,58,58,0,0,0,58,0,0.0000,REJECTED_SAVED
63,25,25,0,0,0,25,0,0.0000,REJECTED_SAVED
64,125,125,0,0,0,125,0,0.0000,REJECTED_SAVED
65,70,70,0,0,0,70,0,0.0000,REJECTED_SAVED
66,104,104,0,0,0,104,0,0.0000,REJECTED_SAVED
67,117,117,0,0,0,117,0,0.0000,REJECTED_SAVED
68,116,116,0,0,0,116,0,0.0000,REJECTED_SAVED
69,96,96,0,0,0,96,0,0.0000,REJECTED_SAVED
70,126,126,0,0,0,126,0,0.0000,REJECTED_SAVED
71,236,236,0,0,0,236,0,0.0000,REJECTED_SAVED
72,12,12,0,0,0,12,0,0.0000,REJECTED_SAVED
73,91,91,0,0,0,91,0,0.0000,REJECTED_SAVED
74,153,153,0,0,0,153,0,0.0000,REJECTED_SAVED
75,93,93,0,0,0,93,0,0.0000,REJECTED_SAVED
76,23,23,0,0,0,23,0,0.0000,REJECTED_SAVED
77,213,213,0,0,0,213,0,0.0000,REJECTED_SAVED
78,167,167,0,0,0,167,0,0.0000,REJECTED_SAVED
79,169,169,0,0,0,169,0,0.0000,REJECTED_SAVED
80,48,48,0,0,0,48,0,0.0000,REJECTED_SAVED
81,108,108,0,0,0,108,0,0.0000,REJECTED_SAVED
82,133,133,0,0,0,133,0,0.0000,REJECTED_SAVED
83,50,50,0,0,0,50,0,0.0000,REJECTED_SAVED
84,61,61,0,0,0,61,0,0.0000,REJECTED_SAVED
85,51,51,0,0,0,51,0,0.0000,REJECTED_SAVED
86,65,65,0,0,0,65,0,0.0000,REJECTED_SAVED
87,104,104,0,0,0,104,0,0.0000,REJECTED_SAVED
88,97,97,0,0,0,97,0,0.0000,REJECTED_SAVED
89,55,55,0,0,0,55,0,0.0000,REJECTED_SAVED
90,27,27,0,0,0,27,0,0.0000,REJECTED_SAVED
91,53,53,0,0,0,53,0,0.0000,REJECTED_SAVED
92,89,89,0,0,0,89,0,0.0000,REJECTED_SAVED
93,30,30,0,0,0,30,0,0.0000,REJECTED_SAVED
94,55,55,0,0,0,55,0,0.0000,REJECTED_SAVED
95,55,55,0,0,0,55,0,0.0000,REJECTED_SAVED
96,78,78,0,0,0,78,0,0.0000,REJECTED_SAVED
97,32,32,0,0,0,32,0,0.0000,REJECTED_SAVED
98,72,72,0,0,0,72,0,0.0000,REJECTED_SAVED
99,46,46,0,0,0,46,0,0.0000,REJECTED_SAVED
100,33,33,0,0,0,33,0,0.0000,REJECTED_SAVED
101,94,94,0,0,0,94,0,0.0000,REJECTED_SAVED
102,33,33,0,0,0,33,0,0.0000,REJECTED_SAVED
103,30,30,0,0,0,30,0,0.0000,REJECTED_SAVED
104,259,259,0,0,0,259,0,0.0000,REJECTED_SAVED
105,79,79,0,0,0,79,0,0.0000,REJECTED_SAVED
106,103,103,0,0,0,103,0,0.0000,REJECTED_SAVED
107,139,139,0,0,0,139,0,0.0000,REJECTED_SAVED
108,86,86,0,0,0,86,0,0.0000,REJECTED_SAVED
109,15,15,0,0,0,15,0,0.0000,REJECTED_SAVED
110,44,44,0,0,0,44,0,0.0000,REJECTED_SAVED
111,49,49,0,0,0,49,0,0.0000,REJECTED_SAVED
112,61,61,0,0,0,61,0,0.0000,REJECTED_SAVED
113,212,212,0,0,0,212,0,0.0000,REJECTED_SAVED
114,48,48,0,0,0,48,0,0.0000,REJECTED_SAVED
115,92,92,0,0,0,92,0,0.0000,REJECTED_SAVED
116,22,22,0,0,0,22,0,0.0000,REJECTED_SAVED
117,166,166,0,0,0,166,0,0.0000,REJECTED_SAVED
118,75,75,0,0,0,75,0,0.0000,REJECTED_SAVED
119,84,84,0,0,0,84,0,0.0000,REJECTED_SAVED
120,116,116,0,0,0,116,0,0.0000,REJECTED_SAVED
121,63,63,0,0,0,63,0,0.0000,REJECTED_SAVED
122,73,73,0,0,0,73,0,0.0000,REJECTED_SAVED
123,250,250,0,0,0,250,0,0.0000,REJECTED_SAVED
124,211,211,0,0,0,211,0,0.0000,REJECTED_SAVED
125,74,74,0,0,0,74,0,0.0000,REJECTED_SAVED
126,79,79,0,0,0,79,0,0.0000,REJECTED_SAVED
127,168,168,0,0,0,168,0,0.0000,REJECTED_SAVED
128,82,82,0,0,0,82,0,0.0000,REJECTED_SAVED
129,75,75,0,0,0,75,0,0.0000,REJECTED_SAVED
130,79,79,0,0,0,79,0,0.0000,REJECTED_SAVED
131,14,14,0,0,0,14,0,0.0000,REJECTED_SAVED
132,78,78,0,0,0,78,0,0.0000,REJECTED_SAVED
133,18,18,0,0,0,18,0,0.0000,REJECTED_SAVED
134,41,41,0,0,0,41,0,0.0000,REJECTED_SAVED
135,53,53,0,0,0,53,0,0.0000,REJECTED_SAVED
136,101,101,0,0,0,101,0,0.0000,REJECTED_SAVED
137,76,76,0,0,0,76,0,0.0000,REJECTED_SAVED
138,162,162,0,0,0,162,0,0.0000,REJECTED_SAVED
139,85,85,0,0,0,85,0,0.0000,REJECTED_SAVED
140,59,59,0,0,0,59,0,0.0000,REJECTED_SAVED
