recipient_region,recipient_offset,candidate_rank,donor_offset,donor_length,phrase_score,source
14,9171,0,7936,256,2,phrase_token
14,9171,0,7936,256,2,phrase_token
14,9171,0,7936,256,2,phrase_token
15,9852,0,5120,256,2,phrase_token
19,13034,0,4608,4096,0,recent_fallback
19,13034,0,4608,4096,0,recent_fallback
20,13560,0,5120,4096,0,recent_fallback
21,14215,0,5888,4096,0,recent_fallback
21,14215,0,5888,4096,0,recent_fallback
22,14792,0,6400,4096,0,recent_fallback
22,14792,0,6400,4096,0,recent_fallback
23,15469,0,7168,4096,0,recent_fallback
24,16004,0,7680,4096,0,recent_fallback
24,16004,0,7680,4096,0,recent_fallback
25,17087,0,8704,4096,0,recent_fallback
26,17642,0,1536,256,1,phrase_token
26,17642,1,8704,256,1,phrase_token
26,17642,2,9216,4096,0,recent_fallback
26,17642,0,1536,256,1,phrase_token
26,17642,1,8704,256,1,phrase_token
26,17642,2,9216,4096,0,recent_fallback
27,18278,0,5120,256,1,phrase_token
27,18278,1,9984,4096,0,recent_fallback
28,19764,0,16128,256,1,phrase_token
28,19764,1,11520,4096,0,recent_fallback
28,19764,0,16128,256,1,phrase_token
28,19764,1,11520,4096,0,recent_fallback
29,20482,0,10752,256,1,phrase_token
29,20482,1,4096,4096,0,recent_fallback
29,20482,2,12288,4096,0,recent_fallback
30,20985,0,4352,4096,0,recent_fallback
30,20985,1,12544,4096,0,recent_fallback
30,20985,0,4352,4096,0,recent_fallback
30,20985,1,12544,4096,0,recent_fallback
31,21933,0,5376,4096,0,recent_fallback
31,21933,1,13568,4096,0,recent_fallback
31,21933,0,5376,4096,0,recent_fallback
31,21933,1,13568,4096,0,recent_fallback
32,22535,0,5120,256,2,phrase_token
32,22535,1,6144,4096,0,recent_fallback
32,22535,2,14336,4096,0,recent_fallback
33,23102,0,6656,4096,0,recent_fallback
33,23102,1,14848,4096,0,recent_fallback
33,23102,0,6656,4096,0,recent_fallback
33,23102,1,14848,4096,0,recent_fallback
34,23797,0,7168,4096,0,recent_fallback
34,23797,1,15360,4096,0,recent_fallback
35,24479,0,7936,4096,0,recent_fallback
35,24479,1,16128,4096,0,recent_fallback
35,24479,0,7936,4096,0,recent_fallback
35,24479,1,16128,4096,0,recent_fallback
36,25026,0,11776,256,2,phrase_token
36,25026,1,11776,1024,2,phrase_token
36,25026,2,8448,4096,0,recent_fallback
36,25026,3,16640,4096,0,recent_fallback
37,25702,0,11776,256,2,phrase_token
37,25702,1,11776,1024,2,phrase_token
37,25702,2,9216,4096,0,recent_fallback
37,25702,3,17408,4096,0,recent_fallback
37,25702,0,11776,256,2,phrase_token
37,25702,1,11776,1024,2,phrase_token
37,25702,2,9216,4096,0,recent_fallback
37,25702,3,17408,4096,0,recent_fallback
38,26377,0,16128,256,1,phrase_token
38,26377,1,9984,4096,0,recent_fallback
38,26377,2,18176,4096,0,recent_fallback
38,26377,0,16128,256,1,phrase_token
38,26377,1,9984,4096,0,recent_fallback
38,26377,2,18176,4096,0,recent_fallback
39,27154,0,16128,256,1,phrase_token
39,27154,1,10752,4096,0,recent_fallback
39,27154,2,18944,4096,0,recent_fallback
40,27875,0,16128,256,1,phrase_token
40,27875,1,11264,4096,0,recent_fallback
40,27875,2,19456,4096,0,recent_fallback
40,27875,0,16128,256,1,phrase_token
40,27875,1,11264,4096,0,recent_fallback
40,27875,2,19456,4096,0,recent_fallback
41,28679,0,4352,256,3,phrase_token
41,28679,1,15616,256,3,phrase_token
41,28679,2,4096,4096,0,recent_fallback
41,28679,3,12288,4096,0,recent_fallback
41,28679,4,20480,4096,0,recent_fallback
42,29816,0,16128,256,1,phrase_token
42,29816,1,27392,256,1,phrase_token
42,29816,2,5120,4096,0,recent_fallback
42,29816,3,13312,4096,0,recent_fallback
42,29816,4,21504,4096,0,recent_fallback
42,29816,0,16128,256,1,phrase_token
42,29816,1,27392,256,1,phrase_token
42,29816,2,5120,4096,0,recent_fallback
42,29816,3,13312,4096,0,recent_fallback
42,29816,4,21504,4096,0,recent_fallback
43,30444,0,11776,256,2,phrase_token
43,30444,1,11776,1024,2,phrase_token
43,30444,2,5632,4096,0,recent_fallback
43,30444,3,13824,4096,0,recent_fallback
43,30444,4,22016,4096,0,recent_fallback
43,30444,0,11776,256,2,phrase_token
43,30444,1,11776,1024,2,phrase_token
43,30444,2,5632,4096,0,recent_fallback
43,30444,3,13824,4096,0,recent_fallback
43,30444,4,22016,4096,0,recent_fallback
44,31078,0,11776,256,2,phrase_token
44,31078,1,11776,1024,2,phrase_token
44,31078,2,6400,4096,0,recent_fallback
44,31078,3,14592,4096,0,recent_fallback
44,31078,4,22784,4096,0,recent_fallback
45,31759,0,7168,4096,0,recent_fallback
45,31759,1,15360,4096,0,recent_fallback
45,31759,2,23552,4096,0,recent_fallback
45,31759,0,7168,4096,0,recent_fallback
45,31759,1,15360,4096,0,recent_fallback
