recipient_region,recipient_offset,profile_donors,removed_donor,profile_donor_count,full_payload_bytes,without_payload_bytes,marginal_gain_bytes,status
14,9171,6912:1024;7168:1024;7168:256,6912:1024,3,81,82,1,helps
14,9171,6912:1024;7168:1024;7168:256,7168:1024,3,81,82,1,helps
14,9171,6912:1024;7168:1024;7168:256,7168:256,3,81,82,1,helps
15,9852,4096:1024;4096:2048;4352:1024;4608:2048;4352:2048,4096:1024,5,96,97,1,helps
15,9852,4096:1024;4096:2048;4352:1024;4608:2048;4352:2048,4096:2048,5,96,97,1,helps
15,9852,4096:1024;4096:2048;4352:1024;4608:2048;4352:2048,4352:1024,5,96,97,1,helps
15,9852,4096:1024;4096:2048;4352:1024;4608:2048;4352:2048,4608:2048,5,96,97,1,helps
15,9852,4096:1024;4096:2048;4352:1024;4608:2048;4352:2048,4352:2048,5,96,97,1,helps
21,14215,4864:1024;4864:256;5120:1024;5120:256;5376:1024;5632:1024,4864:1024,6,36,37,1,helps
21,14215,4864:1024;4864:256;5120:1024;5120:256;5376:1024;5632:1024,4864:256,6,36,37,1,helps
21,14215,4864:1024;4864:256;5120:1024;5120:256;5376:1024;5632:1024,5120:1024,6,36,37,1,helps
21,14215,4864:1024;4864:256;5120:1024;5120:256;5376:1024;5632:1024,5120:256,6,36,37,1,helps
21,14215,4864:1024;4864:256;5120:1024;5120:256;5376:1024;5632:1024,5376:1024,6,36,37,1,helps
21,14215,4864:1024;4864:256;5120:1024;5120:256;5376:1024;5632:1024,5632:1024,6,36,37,1,helps
23,15469,6400:1024;6656:2048,6400:1024,2,46,47,1,helps
23,15469,6400:1024;6656:2048,6656:2048,2,46,47,1,helps
24,16004,7168:1024;7424:1024,7168:1024,2,288,289,1,helps
24,16004,7168:1024;7424:1024,7424:1024,2,288,289,1,helps
25,17087,7680:1024;8192:4096,7680:1024,2,44,45,1,helps
25,17087,7680:1024;8192:4096,8192:4096,2,44,45,1,helps
26,17642,1536:2048;1024:2048,1536:2048,2,67,68,1,helps
26,17642,1536:2048;1024:2048,1024:2048,2,67,68,1,helps
27,18278,4096:1024;4096:4096,4096:1024,2,281,282,1,helps
27,18278,4096:1024;4096:4096,4096:4096,2,281,282,1,helps
28,19764,10496:1024,10496:1024,1,100,101,1,helps
32,22535,13312:256;14080:256;14592:256;15360:256;13568:256,13312:256,5,52,53,1,helps
32,22535,13312:256;14080:256;14592:256;15360:256;13568:256,14080:256,5,52,53,1,helps
32,22535,13312:256;14080:256;14592:256;15360:256;13568:256,14592:256,5,52,53,1,helps
32,22535,13312:256;14080:256;14592:256;15360:256;13568:256,15360:256,5,52,53,1,helps
32,22535,13312:256;14080:256;14592:256;15360:256;13568:256,13568:256,5,52,53,1,helps
33,23102,13824:1024;13824:2048;14080:1024;14080:2048;14592:2048;14592:1024,13824:1024,6,77,78,1,helps
33,23102,13824:1024;13824:2048;14080:1024;14080:2048;14592:2048;14592:1024,13824:2048,6,77,78,1,helps
33,23102,13824:1024;13824:2048;14080:1024;14080:2048;14592:2048;14592:1024,14080:1024,6,77,78,1,helps
33,23102,13824:1024;13824:2048;14080:1024;14080:2048;14592:2048;14592:1024,14080:2048,6,77,78,1,helps
33,23102,13824:1024;13824:2048;14080:1024;14080:2048;14592:2048;14592:1024,14592:2048,6,77,78,1,helps
33,23102,13824:1024;13824:2048;14080:1024;14080:2048;14592:2048;14592:1024,14592:1024,6,77,78,1,helps
34,23797,14336:1024;14592:2048,14336:1024,2,75,76,1,helps
34,23797,14336:1024;14592:2048,14592:2048,2,75,76,1,helps
36,25026,10752:512;11008:512,10752:512,2,59,60,1,helps
36,25026,10752:512;11008:512,11008:512,2,59,60,1,helps
37,25702,10752:1024;11008:1024;11264:1024;11520:1024;11776:2048;11776:4096,10752:1024,6,91,92,1,helps
37,25702,10752:1024;11008:1024;11264:1024;11520:1024;11776:2048;11776:4096,11008:1024,6,91,92,1,helps
37,25702,10752:1024;11008:1024;11264:1024;11520:1024;11776:2048;11776:4096,11264:1024,6,91,92,1,helps
37,25702,10752:1024;11008:1024;11264:1024;11520:1024;11776:2048;11776:4096,11520:1024,6,91,92,1,helps
37,25702,10752:1024;11008:1024;11264:1024;11520:1024;11776:2048;11776:4096,11776:2048,6,91,92,1,helps
37,25702,10752:1024;11008:1024;11264:1024;11520:1024;11776:2048;11776:4096,11776:4096,6,91,92,1,helps
40,27875,10240:1024;10240:16384;10496:1024;10496:16384;10752:1024;10752:16384;11008:1024;11008:16384,10240:1024,8,116,117,1,helps
40,27875,10240:1024;10240:16384;10496:1024;10496:16384;10752:1024;10752:16384;11008:1024;11008:16384,10240:16384,8,116,117,1,helps
40,27875,10240:1024;10240:16384;10496:1024;10496:16384;10752:1024;10752:16384;11008:1024;11008:16384,10496:1024,8,116,117,1,helps
40,27875,10240:1024;10240:16384;10496:1024;10496:16384;10752:1024;10752:16384;11008:1024;11008:16384,10496:16384,8,116,117,1,helps
40,27875,10240:1024;10240:16384;10496:1024;10496:16384;10752:1024;10752:16384;11008:1024;11008:16384,10752:1024,8,116,117,1,helps
40,27875,10240:1024;10240:16384;10496:1024;10496:16384;10752:1024;10752:16384;11008:1024;11008:16384,10752:16384,8,116,117,1,helps
40,27875,10240:1024;10240:16384;10496:1024;10496:16384;10752:1024;10752:16384;11008:1024;11008:16384,11008:1024,8,116,117,1,helps
40,27875,10240:1024;10240:16384;10496:1024;10496:16384;10752:1024;10752:16384;11008:1024;11008:16384,11008:16384,8,116,117,1,helps
41,28679,11264:2048,11264:2048,1,187,188,1,helps
42,29816,12288:1024;12288:16384;12544:1024;12544:16384;12800:1024;12800:16384,12288:1024,6,41,42,1,helps
42,29816,12288:1024;12288:16384;12544:1024;12544:16384;12800:1024;12800:16384,12288:16384,6,41,42,1,helps
42,29816,12288:1024;12288:16384;12544:1024;12544:16384;12800:1024;12800:16384,12544:1024,6,41,42,1,helps
42,29816,12288:1024;12288:16384;12544:1024;12544:16384;12800:1024;12800:16384,12544:16384,6,41,42,1,helps
42,29816,12288:1024;12288:16384;12544:1024;12544:16384;12800:1024;12800:16384,12800:1024,6,41,42,1,helps
42,29816,12288:1024;12288:16384;12544:1024;12544:16384;12800:1024;12800:16384,12800:16384,6,41,42,1,helps
43,30444,11776:2048,11776:2048,1,42,43,1,helps
44,31078,12288:1024,12288:1024,1,61,62,1,helps
45,31759,14336:1024,14336:1024,1,105,106,1,helps
47,33595,16128:1024,16128:1024,1,101,102,1,helps
49,34704,14080:512;14848:512,14080:512,2,38,38,0,neutral
49,34704,14080:512;14848:512,14848:512,2,38,39,1,helps
50,35340,10752:1024;10240:1024,10752:1024,2,90,91,1,helps
50,35340,10752:1024;10240:1024,10240:1024,2,90,91,1,helps
51,35781,11008:512,11008:512,1,33,34,1,helps
54,36918,11264:8192;12288:8192,11264:8192,2,6,6,0,neutral
54,36918,11264:8192;12288:8192,12288:8192,2,6,7,1,helps
55,37258,11520:1024;11520:16384;11776:16384;11776:1024,11520:1024,4,10,11,1,helps
55,37258,11520:1024;11520:16384;11776:16384;11776:1024,11520:16384,4,10,11,1,helps
55,37258,11520:1024;11520:16384;11776:16384;11776:1024,11776:16384,4,10,11,1,helps
55,37258,11520:1024;11520:16384;11776:16384;11776:1024,11776:1024,4,10,11,1,helps
56,37608,12032:16384;12544:1024,12032:16384,2,6,7,1,helps
56,37608,12032:16384;12544:1024,12544:1024,2,6,7,1,helps
58,38291,12800:512,12800:512,1,18,19,1,helps
59,38671,13056:1024;13056:16384;13312:1024;13312:16384;13568:1024;13568:16384,13056:1024,6,16,17,1,helps
59,38671,13056:1024;13056:16384;13312:1024;13312:16384;13568:1024;13568:16384,13056:16384,6,16,17,1,helps
59,38671,13056:1024;13056:16384;13312:1024;13312:16384;13568:1024;13568:16384,13312:1024,6,16,17,1,helps
59,38671,13056:1024;13056:16384;13312:1024;13312:16384;13568:1024;13568:16384,13312:16384,6,16,17,1,helps
59,38671,13056:1024;13056:16384;13312:1024;13312:16384;13568:1024;13568:16384,13568:1024,6,16,17,1,helps
59,38671,13056:1024;13056:16384;13312:1024;13312:16384;13568:1024;13568:16384,13568:16384,6,16,17,1,helps
60,39157,13568:1024;14336:1024,13568:1024,2,11,13,2,helps
60,39157,13568:1024;14336:1024,14336:1024,2,11,13,2,helps
61,39512,11008:16384,11008:16384,1,46,47,1,helps
62,40113,10752:1024;11008:1024;11776:16384;11776:256,10752:1024,4,57,58,1,helps
62,40113,10752:1024;11008:1024;11776:16384;11776:256,11008:1024,4,57,58,1,helps
62,40113,10752:1024;11008:1024;11776:16384;11776:256,11776:16384,4,57,58,1,helps
62,40113,10752:1024;11008:1024;11776:16384;11776:256,11776:256,4,57,58,1,helps
63,40824,15104:1024;15104:16384;15360:1024;15360:16384;15616:1024;15872:1024;15872:16384;15616:16384,15104:1024,8,24,24,0,neutral
63,40824,15104:1024;15104:16384;15360:1024;15360:16384;15616:1024;15872:1024;15872:16384;15616:16384,15104:16384,8,24,25,1,helps
63,40824,15104:1024;15104:16384;15360:1024;15360:16384;15616:1024;15872:1024;15872:16384;15616:16384,15360:1024,8,24,24,0,neutral
63,40824,15104:1024;15104:16384;15360:1024;15360:16384;15616:1024;15872:1024;15872:16384;15616:16384,15360:16384,8,24,25,1,helps
63,40824,15104:1024;15104:16384;15360:1024;15360:16384;15616:1024;15872:1024;15872:16384;15616:16384,15616:1024,8,24,24,0,neutral
63,40824,15104:1024;15104:16384;15360:1024;15360:16384;15616:1024;15872:1024;15872:16384;15616:16384,15872:1024,8,24,25,1,helps
63,40824,15104:1024;15104:16384;15360:1024;15360:16384;15616:1024;15872:1024;15872:16384;15616:16384,15872:16384,8,24,25,1,helps
63,40824,15104:1024;15104:16384;15360:1024;15360:16384;15616:1024;15872:1024;15872:16384;15616:16384,15616:16384,8,24,25,1,helps
64,41359,11264:1024,11264:1024,1,124,125,1,helps
65,42166,17152:8192,17152:8192,1,69,70,1,helps
66,42862,13824:1024;14080:1024;14336:1024;14592:16384;14848:1024,13824:1024,5,103,105,2,helps
66,42862,13824:1024;14080:1024;14336:1024;14592:16384;14848:1024,14080:1024,5,103,104,1,helps
66,42862,13824:1024;14080:1024;14336:1024;14592:16384;14848:1024,14336:1024,5,103,105,2,helps
66,42862,13824:1024;14080:1024;14336:1024;14592:16384;14848:1024,14592:16384,5,103,104,1,helps
66,42862,13824:1024;14080:1024;14336:1024;14592:16384;14848:1024,14848:1024,5,103,104,1,helps
67,43593,10752:1024;27136:16384,10752:1024,2,116,116,0,neutral
67,43593,10752:1024;27136:16384,27136:16384,2,116,117,1,helps
68,44338,10496:1024;10496:16384;10752:1024;11520:1024,10496:1024,4,114,115,1,helps
68,44338,10496:1024;10496:16384;10752:1024;11520:1024,10496:16384,4,114,115,1,helps
68,44338,10496:1024;10496:16384;10752:1024;11520:1024,10752:1024,4,114,115,1,helps
68,44338,10496:1024;10496:16384;10752:1024;11520:1024,11520:1024,4,114,115,1,helps
69,45197,11008:16384;11264:16384,11008:16384,2,95,96,1,helps
69,45197,11008:16384;11264:16384,11264:16384,2,95,96,1,helps
70,45914,12032:1024;12288:1024;12544:16384,12032:1024,3,125,126,1,helps
70,45914,12032:1024;12288:1024;12544:16384,12288:1024,3,125,126,1,helps
70,45914,12032:1024;12288:1024;12544:16384,12544:16384,3,125,126,1,helps
71,46703,13056:16384,13056:16384,1,235,236,1,helps
73,48360,14336:16384;15104:16384,14336:16384,2,90,91,1,helps
73,48360,14336:16384;15104:16384,15104:16384,2,90,91,1,helps
75,49980,12544:1024,12544:1024,1,92,93,1,helps
76,50739,16896:1024;17152:1024;16896:16384,16896:1024,3,22,23,1,helps
76,50739,16896:1024;17152:1024;16896:16384,17152:1024,3,22,23,1,helps
76,50739,16896:1024;17152:1024;16896:16384,16896:16384,3,22,23,1,helps
77,51244,13824:256;13568:1024,13824:256,2,212,213,1,helps
77,51244,13824:256;13568:1024,13568:1024,2,212,213,1,helps
78,52278,10752:1024;11264:256,10752:1024,2,166,167,1,helps
78,52278,10752:1024;11264:256,11264:256,2,166,167,1,helps
79,53212,14592:32768,14592:32768,1,168,169,1,helps
80,54253,20224:16384;20480:1024;20480:16384;20736:1024;20736:16384;20992:1024;20992:16384;21248:1024,20224:16384,8,47,48,1,helps
80,54253,20224:16384;20480:1024;20480:16384;20736:1024;20736:16384;20992:1024;20992:16384;21248:1024,20480:1024,8,47,48,1,helps
80,54253,20224:16384;20480:1024;20480:16384;20736:1024;20736:16384;20992:1024;20992:16384;21248:1024,20480:16384,8,47,48,1,helps
80,54253,20224:16384;20480:1024;20480:16384;20736:1024;20736:16384;20992:1024;20992:16384;21248:1024,20736:1024,8,47,48,1,helps
80,54253,20224:16384;20480:1024;20480:16384;20736:1024;20736:16384;20992:1024;20992:16384;21248:1024,20736:16384,8,47,48,1,helps
80,54253,20224:16384;20480:1024;20480:16384;20736:1024;20736:16384;20992:1024;20992:16384;21248:1024,20992:1024,8,47,48,1,helps
80,54253,20224:16384;20480:1024;20480:16384;20736:1024;20736:16384;20992:1024;20992:16384;21248:1024,20992:16384,8,47,48,1,helps
80,54253,20224:16384;20480:1024;20480:16384;20736:1024;20736:16384;20992:1024;20992:16384;21248:1024,21248:1024,8,47,48,1,helps
81,55002,12800:1024;30208:256,12800:1024,2,107,107,0,neutral
81,55002,12800:1024;30208:256,30208:256,2,107,108,1,helps
82,55840,13824:16384;14080:16384;14336:16384;14848:1024;14592:16384,13824:16384,5,132,133,1,helps
82,55840,13824:16384;14080:16384;14336:16384;14848:1024;14592:16384,14080:16384,5,132,133,1,helps
82,55840,13824:16384;14080:16384;14336:16384;14848:1024;14592:16384,14336:16384,5,132,133,1,helps
82,55840,13824:16384;14080:16384;14336:16384;14848:1024;14592:16384,14848:1024,5,132,133,1,helps
82,55840,13824:16384;14080:16384;14336:16384;14848:1024;14592:16384,14592:16384,5,132,133,1,helps
84,57397,15616:1024;16128:2048;15872:1024;15872:2048,15616:1024,4,59,61,2,helps
84,57397,15616:1024;16128:2048;15872:1024;15872:2048,16128:2048,4,59,61,2,helps
84,57397,15616:1024;16128:2048;15872:1024;15872:2048,15872:1024,4,59,61,2,helps
84,57397,15616:1024;16128:2048;15872:1024;15872:2048,15872:2048,4,59,60,1,helps
85,58053,17152:1024,17152:1024,1,50,51,1,helps
86,58707,17664:16384;25856:512,17664:16384,2,64,64,0,neutral
86,58707,17664:16384;25856:512,25856:512,2,64,65,1,helps
87,59381,15104:1024;15360:1024;15616:1024;15872:1024;16128:1024;16128:16384,15104:1024,6,103,104,1,helps
87,59381,15104:1024;15360:1024;15616:1024;15872:1024;16128:1024;16128:16384,15360:1024,6,103,104,1,helps
87,59381,15104:1024;15360:1024;15616:1024;15872:1024;16128:1024;16128:16384,15616:1024,6,103,104,1,helps
87,59381,15104:1024;15360:1024;15616:1024;15872:1024;16128:1024;16128:16384,15872:1024,6,103,104,1,helps
87,59381,15104:1024;15360:1024;15616:1024;15872:1024;16128:1024;16128:16384,16128:1024,6,103,104,1,helps
87,59381,15104:1024;15360:1024;15616:1024;15872:1024;16128:1024;16128:16384,16128:16384,6,103,104,1,helps
88,60311,15104:1024;15104:16384;15360:1024;16128:1024;15360:16384,15104:1024,5,96,97,1,helps
88,60311,15104:1024;15104:16384;15360:1024;16128:1024;15360:16384,15104:16384,5,96,98,2,helps
88,60311,15104:1024;15104:16384;15360:1024;16128:1024;15360:16384,15360:1024,5,96,97,1,helps
88,60311,15104:1024;15104:16384;15360:1024;16128:1024;15360:16384,16128:1024,5,96,98,2,helps
88,60311,15104:1024;15104:16384;15360:1024;16128:1024;15360:16384,15360:16384,5,96,97,1,helps
89,61178,16128:2048;16128:16384,16128:2048,2,54,55,1,helps
89,61178,16128:2048;16128:16384,16128:16384,2,54,55,1,helps
92,63195,10752:1024;11264:1024,10752:1024,2,88,89,1,helps
92,63195,10752:1024;11264:1024,11264:1024,2,88,89,1,helps
93,63879,13568:1024;13568:16384;13824:1024;13824:16384;14080:1024;14080:16384,13568:1024,6,29,30,1,helps
93,63879,13568:1024;13568:16384;13824:1024;13824:16384;14080:1024;14080:16384,13568:16384,6,29,30,1,helps
93,63879,13568:1024;13568:16384;13824:1024;13824:16384;14080:1024;14080:16384,13824:1024,6,29,30,1,helps
93,63879,13568:1024;13568:16384;13824:1024;13824:16384;14080:1024;14080:16384,13824:16384,6,29,30,1,helps
93,63879,13568:1024;13568:16384;13824:1024;13824:16384;14080:1024;14080:16384,14080:1024,6,29,30,1,helps
93,63879,13568:1024;13568:16384;13824:1024;13824:16384;14080:1024;14080:16384,14080:16384,6,29,30,1,helps
94,64438,10752:1024;11008:1024;11264:1024;11520:1024;11776:16384;11776:256,10752:1024,6,54,55,1,helps
94,64438,10752:1024;11008:1024;11264:1024;11520:1024;11776:16384;11776:256,11008:1024,6,54,55,1,helps
94,64438,10752:1024;11008:1024;11264:1024;11520:1024;11776:16384;11776:256,11264:1024,6,54,55,1,helps
94,64438,10752:1024;11008:1024;11264:1024;11520:1024;11776:16384;11776:256,11520:1024,6,54,55,1,helps
94,64438,10752:1024;11008:1024;11264:1024;11520:1024;11776:16384;11776:256,11776:16384,6,54,55,1,helps
94,64438,10752:1024;11008:1024;11264:1024;11520:1024;11776:16384;11776:256,11776:256,6,54,55,1,helps
96,65896,16128:1024,16128:1024,1,77,78,1,helps
97,66623,16128:1024;33792:32768,16128:1024,2,31,31,0,neutral
97,66623,16128:1024;33792:32768,33792:32768,2,31,32,1,helps
98,67196,12032:1024;12544:1024,12032:1024,2,71,72,1,helps
98,67196,12032:1024;12544:1024,12544:1024,2,71,72,1,helps
99,67986,43264:256,43264:256,1,45,46,1,helps
100,68605,15360:16384,15360:16384,1,32,33,1,helps
101,69220,10752:16384;11008:16384;11264:16384;11520:16384;11776:16384;11776:2048,10752:16384,6,93,94,1,helps
101,69220,10752:16384;11008:16384;11264:16384;11520:16384;11776:16384;11776:2048,11008:16384,6,93,94,1,helps
101,69220,10752:16384;11008:16384;11264:16384;11520:16384;11776:16384;11776:2048,11264:16384,6,93,94,1,helps
101,69220,10752:16384;11008:16384;11264:16384;11520:16384;11776:16384;11776:2048,11520:16384,6,93,93,0,neutral
101,69220,10752:16384;11008:16384;11264:16384;11520:16384;11776:16384;11776:2048,11776:16384,6,93,94,1,helps
101,69220,10752:16384;11008:16384;11264:16384;11520:16384;11776:16384;11776:2048,11776:2048,6,93,94,1,helps
102,69953,11520:1024;11520:512;12032:512;11776:512,11520:1024,4,32,33,1,helps
102,69953,11520:1024;11520:512;12032:512;11776:512,11520:512,4,32,33,1,helps
102,69953,11520:1024;11520:512;12032:512;11776:512,12032:512,4,32,33,1,helps
102,69953,11520:1024;11520:512;12032:512;11776:512,11776:512,4,32,33,1,helps
103,70504,12032:1024;12288:1024;12544:1024;13056:16384;12800:1024,12032:1024,5,29,30,1,helps
103,70504,12032:1024;12288:1024;12544:1024;13056:16384;12800:1024,12288:1024,5,29,30,1,helps
103,70504,12032:1024;12288:1024;12544:1024;13056:16384;12800:1024,12544:1024,5,29,30,1,helps
103,70504,12032:1024;12288:1024;12544:1024;13056:16384;12800:1024,13056:16384,5,29,30,1,helps
103,70504,12032:1024;12288:1024;12544:1024;13056:16384;12800:1024,12800:1024,5,29,30,1,helps
104,71108,23040:1024;23040:16384;23296:1024;23552:16384;23552:1024,23040:1024,5,258,259,1,helps
104,71108,23040:1024;23040:16384;23296:1024;23552:16384;23552:1024,23040:16384,5,258,259,1,helps
104,71108,23040:1024;23040:16384;23296:1024;23552:16384;23552:1024,23296:1024,5,258,259,1,helps
104,71108,23040:1024;23040:16384;23296:1024;23552:16384;23552:1024,23552:16384,5,258,259,1,helps
104,71108,23040:1024;23040:16384;23296:1024;23552:16384;23552:1024,23552:1024,5,258,259,1,helps
105,72343,13056:1024;13056:16384;13056:2048;13056:256;39168:2048;39424:2048;39424:32768,13056:1024,7,78,79,1,helps
105,72343,13056:1024;13056:16384;13056:2048;13056:256;39168:2048;39424:2048;39424:32768,13056:16384,7,78,79,1,helps
105,72343,13056:1024;13056:16384;13056:2048;13056:256;39168:2048;39424:2048;39424:32768,13056:2048,7,78,79,1,helps
105,72343,13056:1024;13056:16384;13056:2048;13056:256;39168:2048;39424:2048;39424:32768,13056:256,7,78,79,1,helps
105,72343,13056:1024;13056:16384;13056:2048;13056:256;39168:2048;39424:2048;39424:32768,39168:2048,7,78,79,1,helps
105,72343,13056:1024;13056:16384;13056:2048;13056:256;39168:2048;39424:2048;39424:32768,39424:2048,7,78,79,1,helps
105,72343,13056:1024;13056:16384;13056:2048;13056:256;39168:2048;39424:2048;39424:32768,39424:32768,7,78,79,1,helps
106,73189,12032:32768;64768:1024,12032:32768,2,102,102,0,neutral
106,73189,12032:32768;64768:1024,64768:1024,2,102,103,1,helps
107,73982,12032:256;12032:2048;13056:2048,12032:256,3,138,140,2,helps
107,73982,12032:256;12032:2048;13056:2048,12032:2048,3,138,139,1,helps
107,73982,12032:256;12032:2048;13056:2048,13056:2048,3,138,139,1,helps
108,74774,12032:1024;12032:16384;12544:16384,12032:1024,3,85,86,1,helps
108,74774,12032:1024;12032:16384;12544:16384,12032:16384,3,85,86,1,helps
108,74774,12032:1024;12032:16384;12544:16384,12544:16384,3,85,86,1,helps
109,75478,25088:1024;25088:16384;25344:16384;25344:1024,25088:1024,4,14,15,1,helps
109,75478,25088:1024;25088:16384;25344:16384;25344:1024,25088:16384,4,14,15,1,helps
109,75478,25088:1024;25088:16384;25344:16384;25344:1024,25344:16384,4,14,15,1,helps
109,75478,25088:1024;25088:16384;25344:16384;25344:1024,25344:1024,4,14,15,1,helps
110,76015,12032:1024;12032:16384;12288:16384;12288:1024,12032:1024,4,43,44,1,helps
110,76015,12032:1024;12032:16384;12288:16384;12288:1024,12032:16384,4,43,44,1,helps
110,76015,12032:1024;12032:16384;12288:16384;12288:1024,12288:16384,4,43,44,1,helps
110,76015,12032:1024;12032:16384;12288:16384;12288:1024,12288:1024,4,43,44,1,helps
111,76667,20224:256;20480:256,20224:256,2,47,48,1,helps
111,76667,20224:256;20480:256,20480:256,2,47,48,1,helps
112,77289,12032:16384;13056:16384;36096:256;36096:32768;36096:512;37120:256;44288:2048;52480:2048,12032:16384,8,60,61,1,helps
112,77289,12032:16384;13056:16384;36096:256;36096:32768;36096:512;37120:256;44288:2048;52480:2048,13056:16384,8,60,61,1,helps
112,77289,12032:16384;13056:16384;36096:256;36096:32768;36096:512;37120:256;44288:2048;52480:2048,36096:256,8,60,60,0,neutral
112,77289,12032:16384;13056:16384;36096:256;36096:32768;36096:512;37120:256;44288:2048;52480:2048,36096:32768,8,60,61,1,helps
112,77289,12032:16384;13056:16384;36096:256;36096:32768;36096:512;37120:256;44288:2048;52480:2048,36096:512,8,60,61,1,helps
112,77289,12032:16384;13056:16384;36096:256;36096:32768;36096:512;37120:256;44288:2048;52480:2048,37120:256,8,60,61,1,helps
112,77289,12032:16384;13056:16384;36096:256;36096:32768;36096:512;37120:256;44288:2048;52480:2048,44288:2048,8,60,61,1,helps
112,77289,12032:16384;13056:16384;36096:256;36096:32768;36096:512;37120:256;44288:2048;52480:2048,52480:2048,8,60,61,1,helps
113,77962,41216:32768,41216:32768,1,211,212,1,helps
114,79052,12032:1024;12288:1024;12544:1024;13056:1024,12032:1024,4,47,48,1,helps
114,79052,12032:1024;12288:1024;12544:1024;13056:1024,12288:1024,4,47,48,1,helps
114,79052,12032:1024;12288:1024;12544:1024;13056:1024,12544:1024,4,47,48,1,helps
114,79052,12032:1024;12288:1024;12544:1024;13056:1024,13056:1024,4,47,48,1,helps
115,79773,22272:256;22272:1024,22272:256,2,91,92,1,helps
115,79773,22272:256;22272:1024,22272:1024,2,91,92,1,helps
116,80501,23040:512,23040:512,1,21,22,1,helps
117,81030,12032:1024;12288:1024;12288:16384,12032:1024,3,165,166,1,helps
117,81030,12032:1024;12288:1024;12288:16384,12288:1024,3,165,167,2,helps
117,81030,12032:1024;12288:1024;12288:16384,12288:16384,3,165,166,1,helps
118,82123,12032:256,12032:256,1,74,75,1,helps
119,82936,38656:16384;39680:16384,38656:16384,2,83,83,0,neutral
119,82936,38656:16384;39680:16384,39680:16384,2,83,84,1,helps
120,83728,13056:1024;42752:256,13056:1024,2,115,115,0,neutral
120,83728,13056:1024;42752:256,42752:256,2,115,116,1,helps
121,84665,39680:1024;4864:32768,39680:1024,2,62,62,0,neutral
121,84665,39680:1024;4864:32768,4864:32768,2,62,63,1,helps
122,85246,13056:16384;44032:4096,13056:16384,2,72,72,0,neutral
122,85246,13056:16384;44032:4096,44032:4096,2,72,73,1,helps
124,87301,12032:1024;12032:2048;12544:2048,12032:1024,3,210,212,2,helps
124,87301,12032:1024;12032:2048;12544:2048,12032:2048,3,210,211,1,helps
124,87301,12032:1024;12032:2048;12544:2048,12544:2048,3,210,211,1,helps
126,89219,12032:256;13568:256,12032:256,2,78,78,0,neutral
126,89219,12032:256;13568:256,13568:256,2,78,79,1,helps
127,90027,12032:1024;12032:16384;12288:1024;12288:16384;12800:16384;12544:16384,12032:1024,6,167,168,1,helps
127,90027,12032:1024;12032:16384;12288:1024;12288:16384;12800:16384;12544:16384,12032:16384,6,167,168,1,helps
127,90027,12032:1024;12032:16384;12288:1024;12288:16384;12800:16384;12544:16384,12288:1024,6,167,167,0,neutral
127,90027,12032:1024;12032:16384;12288:1024;12288:16384;12800:16384;12544:16384,12288:16384,6,167,168,1,helps
127,90027,12032:1024;12032:16384;12288:1024;12288:16384;12800:16384;12544:16384,12800:16384,6,167,168,1,helps
127,90027,12032:1024;12032:16384;12288:1024;12288:16384;12800:16384;12544:16384,12544:16384,6,167,168,1,helps
128,91130,12032:2048;12032:256;12288:2048;13056:2048;13056:256;12544:256;12544:2048;12800:2048,12032:2048,8,80,81,1,helps
128,91130,12032:2048;12032:256;12288:2048;13056:2048;13056:256;12544:256;12544:2048;12800:2048,12032:256,8,80,82,2,helps
128,91130,12032:2048;12032:256;12288:2048;13056:2048;13056:256;12544:256;12544:2048;12800:2048,12288:2048,8,80,82,2,helps
128,91130,12032:2048;12032:256;12288:2048;13056:2048;13056:256;12544:256;12544:2048;12800:2048,13056:2048,8,80,82,2,helps
128,91130,12032:2048;12032:256;12288:2048;13056:2048;13056:256;12544:256;12544:2048;12800:2048,13056:256,8,80,80,0,neutral
128,91130,12032:2048;12032:256;12288:2048;13056:2048;13056:256;12544:256;12544:2048;12800:2048,12544:256,8,80,82,2,helps
128,91130,12032:2048;12032:256;12288:2048;13056:2048;13056:256;12544:256;12544:2048;12800:2048,12544:2048,8,80,81,1,helps
128,91130,12032:2048;12032:256;12288:2048;13056:2048;13056:256;12544:256;12544:2048;12800:2048,12800:2048,8,80,81,1,helps
128,91130,12032:2048;12032:256;12288:2048;13056:2048;12544:256;12544:2048;12800:2048,12032:2048,7,80,81,1,helps
