recipient_region,recipient_offset,trial_id,stage,depth,donor_count,donors,baseline_payload_bytes,trial_payload_bytes,gain_bytes,marginal_gain_bytes,status
14,9171,1,single,1,1,7936:256,82,82,0,0,near
14,9171,2,length,1,1,7936:512,82,82,0,0,near
14,9171,3,length,1,1,7936:1024,82,82,0,0,near
14,9171,4,local,1,1,6912:1024,82,82,0,0,near
14,9171,5,local,1,1,7168:1024,82,82,0,0,near
14,9171,6,local,1,1,7424:1024,82,82,0,0,near
14,9171,7,local,1,1,7680:1024,82,82,0,0,near
14,9171,8,local,1,1,6912:256,82,82,0,0,near
14,9171,9,local,1,1,7168:256,82,82,0,0,near
14,9171,10,local,1,1,7424:256,82,82,0,0,near
14,9171,11,local,1,1,7680:256,82,82,0,0,near
14,9171,12,local,1,1,8192:256,82,82,0,0,near
14,9171,13,local,1,1,8448:256,82,82,0,0,near
14,9171,14,local,1,1,8704:256,82,82,0,0,near
14,9171,15,pair,2,2,6912:1024;6912:256,82,82,0,0,near
14,9171,16,pair,2,2,6912:1024;7168:1024,82,82,0,0,near
14,9171,17,pair,2,2,6912:1024;7168:256,82,82,0,0,near
14,9171,18,pair,2,2,6912:1024;7424:1024,82,82,0,0,near
14,9171,19,pair,2,2,6912:1024;7424:256,82,82,0,0,near
14,9171,20,pair,2,2,6912:1024;7680:1024,82,82,0,0,near
14,9171,21,pair,2,2,6912:1024;7680:256,82,82,0,0,near
14,9171,22,pair,2,2,6912:256;6912:1024,82,82,0,0,near
14,9171,23,pair,2,2,6912:256;7168:1024,82,82,0,0,near
14,9171,24,pair,2,2,6912:256;7168:256,82,82,0,0,near
14,9171,25,pair,2,2,6912:256;7424:1024,82,82,0,0,near
14,9171,26,pair,2,2,6912:256;7424:256,82,82,0,0,near
14,9171,27,pair,2,2,6912:256;7680:1024,82,82,0,0,near
14,9171,28,pair,2,2,6912:256;7680:256,82,82,0,0,near
14,9171,29,pair,2,2,7168:1024;6912:1024,82,82,0,0,near
14,9171,30,pair,2,2,7168:1024;6912:256,82,82,0,0,near
14,9171,31,pair,2,2,7168:1024;7168:256,82,82,0,0,near
14,9171,32,pair,2,2,7168:1024;7424:1024,82,82,0,0,near
14,9171,33,pair,2,2,7168:1024;7424:256,82,82,0,0,near
14,9171,34,pair,2,2,7168:1024;7680:1024,82,82,0,0,near
14,9171,35,pair,2,2,7168:1024;7680:256,82,82,0,0,near
14,9171,36,pair,2,2,7168:256;6912:1024,82,82,0,0,near
14,9171,37,pair,2,2,7168:256;6912:256,82,82,0,0,near
14,9171,38,pair,2,2,7168:256;7168:1024,82,82,0,0,near
14,9171,39,pair,2,2,7168:256;7424:1024,82,82,0,0,near
14,9171,40,pair,2,2,7168:256;7424:256,82,82,0,0,near
14,9171,41,pair,2,2,7168:256;7680:1024,82,82,0,0,near
14,9171,42,pair,2,2,7168:256;7680:256,82,82,0,0,near
14,9171,43,pair,2,2,7424:1024;6912:1024,82,82,0,0,near
14,9171,44,pair,2,2,7424:1024;6912:256,82,82,0,0,near
14,9171,45,pair,2,2,7424:1024;7168:1024,82,82,0,0,near
14,9171,46,pair,2,2,7424:1024;7168:256,82,82,0,0,near
14,9171,47,pair,2,2,7424:1024;7424:256,82,82,0,0,near
14,9171,48,pair,2,2,7424:1024;7680:1024,82,82,0,0,near
14,9171,49,pair,2,2,7424:1024;7680:256,82,82,0,0,near
14,9171,50,pair,2,2,7424:256;6912:1024,82,82,0,0,near
14,9171,51,pair,2,2,7424:256;6912:256,82,82,0,0,near
14,9171,52,pair,2,2,7424:256;7168:1024,82,82,0,0,near
14,9171,53,pair,2,2,7424:256;7168:256,82,82,0,0,near
14,9171,54,pair,2,2,7424:256;7424:1024,82,82,0,0,near
14,9171,55,pair,2,2,7424:256;7680:1024,82,82,0,0,near
14,9171,56,pair,2,2,7424:256;7680:256,82,82,0,0,near
14,9171,57,pair,2,2,7680:1024;6912:1024,82,82,0,0,near
14,9171,58,pair,2,2,7680:1024;6912:256,82,82,0,0,near
14,9171,59,pair,2,2,7680:1024;7168:1024,82,82,0,0,near
14,9171,60,pair,2,2,7680:1024;7168:256,82,82,0,0,near
14,9171,61,pair,2,2,7680:1024;7424:1024,82,82,0,0,near
14,9171,62,pair,2,2,7680:1024;7424:256,82,82,0,0,near
14,9171,63,pair,2,2,7680:1024;7680:256,82,82,0,0,near
14,9171,64,pair,2,2,7680:256;6912:1024,82,82,0,0,near
14,9171,65,pair,2,2,7680:256;6912:256,82,82,0,0,near
14,9171,66,pair,2,2,7680:256;7168:1024,82,82,0,0,near
14,9171,67,pair,2,2,7680:256;7168:256,82,82,0,0,near
14,9171,68,pair,2,2,7680:256;7424:1024,82,82,0,0,near
14,9171,69,pair,2,2,7680:256;7424:256,82,82,0,0,near
14,9171,70,pair,2,2,7680:256;7680:1024,82,82,0,0,near
14,9171,71,beam,3,3,6912:1024;6912:256;7168:1024,82,82,0,0,near
14,9171,72,beam,3,3,6912:1024;6912:256;7168:256,82,82,0,0,near
14,9171,73,beam,3,3,6912:1024;6912:256;7424:1024,82,82,0,0,near
14,9171,74,beam,3,3,6912:1024;6912:256;7424:256,82,82,0,0,near
14,9171,75,beam,3,3,6912:1024;6912:256;7680:1024,82,82,0,0,near
14,9171,76,beam,3,3,6912:1024;6912:256;7680:256,82,82,0,0,near
14,9171,77,beam,3,3,6912:1024;7168:1024;6912:256,82,82,0,0,near
14,9171,78,beam,3,3,6912:1024;7168:1024;7168:256,82,81,1,1,winner
14,9171,79,beam,3,3,6912:1024;7168:1024;7424:1024,82,82,0,0,near
14,9171,80,beam,3,3,6912:1024;7168:1024;7424:256,82,82,0,0,near
14,9171,81,beam,3,3,6912:1024;7168:1024;7680:1024,82,82,0,0,near
14,9171,82,beam,3,3,6912:1024;7168:1024;7680:256,82,82,0,0,near
14,9171,83,beam,3,3,6912:1024;7168:256;6912:256,82,82,0,0,near
14,9171,84,beam,3,3,6912:1024;7168:256;7168:1024,82,82,0,0,near
14,9171,85,beam,3,3,6912:1024;7168:256;7424:1024,82,82,0,0,near
14,9171,86,beam,3,3,6912:1024;7168:256;7424:256,82,82,0,0,near
14,9171,87,beam,3,3,6912:1024;7168:256;7680:1024,82,82,0,0,near
14,9171,88,beam,3,3,6912:1024;7168:256;7680:256,82,82,0,0,near
14,9171,89,beam,3,3,6912:1024;7424:1024;6912:256,82,82,0,0,near
14,9171,90,beam,3,3,6912:1024;7424:1024;7168:1024,82,82,0,0,near
14,9171,91,beam,3,3,6912:1024;7424:1024;7168:256,82,82,0,0,near
14,9171,92,beam,3,3,6912:1024;7424:1024;7424:256,82,82,0,0,near
14,9171,93,beam,3,3,6912:1024;7424:1024;7680:1024,82,82,0,0,near
14,9171,94,beam,3,3,6912:1024;7424:1024;7680:256,82,82,0,0,near
14,9171,95,beam,4,4,6912:1024;7168:1024;7168:256;6912:256,82,82,0,-1,near
14,9171,96,beam,4,4,6912:1024;7168:1024;7168:256;7424:1024,82,82,0,-1,near
14,9171,97,beam,4,4,6912:1024;7168:1024;7168:256;7424:256,82,82,0,-1,near
14,9171,98,beam,4,4,6912:1024;7168:1024;7168:256;7680:1024,82,82,0,-1,near
14,9171,99,beam,4,4,6912:1024;7168:1024;7168:256;7680:256,82,82,0,-1,near
14,9171,100,beam,4,4,6912:1024;6912:256;7168:1024;7168:256,82,82,0,0,near
14,9171,101,beam,4,4,6912:1024;6912:256;7168:1024;7424:1024,82,82,0,0,near
14,9171,102,beam,4,4,6912:1024;6912:256;7168:1024;7424:256,82,82,0,0,near
