recipient_region,recipient_offset,baseline_payload_bytes,selected_payload_bytes,gain_bytes,net_gain_bytes,donor_count,donors,candidate_count,exact_trials
0,30,208,208,0,0,0,-,0,0
1,352,187,187,0,0,0,-,0,0
2,872,103,103,0,0,0,-,0,0
3,1473,46,46,0,0,0,-,0,0
4,2026,205,205,0,0,0,-,0,0
5,2895,119,119,0,0,0,-,0,0
6,3576,96,96,0,0,0,-,0,0
7,4234,164,164,0,0,0,-,0,0
8,5043,166,166,0,0,0,-,0,0
9,5907,66,66,0,0,0,-,0,0
10,6545,49,49,0,0,0,-,0,0
11,7098,144,144,0,0,0,-,0,0
12,7851,76,76,0,0,0,-,0,0
13,8487,88,88,0,0,0,-,0,0
14,9171,82,82,0,0,0,-,1,104
15,9852,97,97,0,0,0,-,1,161
16,10495,53,53,0,0,0,-,0,0
17,11088,69,69,0,0,0,-,0,0
18,11687,348,348,0,0,0,-,0,0
19,13034,27,27,0,0,0,-,1,130
20,13560,72,72,0,0,0,-,1,162
21,14215,37,37,0,0,0,-,1,154
22,14792,76,76,0,0,0,-,1,19
23,15469,47,47,0,0,0,-,1,162
24,16004,289,289,0,0,0,-,1,43
25,17087,45,45,0,0,0,-,1,162
26,17642,68,68,0,0,0,-,3,79
27,18278,282,282,0,0,0,-,2,168
28,19764,101,101,0,0,0,-,2,113
29,20482,15,15,0,0,0,-,3,172
30,20985,148,148,0,0,0,-,2,154
31,21933,60,60,0,0,0,-,2,23
32,22535,54,54,0,0,0,-,3,175
33,23102,78,78,0,0,0,-,2,70
34,23797,76,76,0,0,0,-,2,169
35,24479,22,22,0,0,0,-,2,112
36,25026,60,60,0,0,0,-,4,167
37,25702,92,92,0,0,0,-,4,146
38,26377,102,102,0,0,0,-,3,24
39,27154,77,77,0,0,0,-,3,175
40,27875,117,117,0,0,0,-,3,70
41,28679,188,188,0,0,0,-,5,183
42,29816,42,42,0,0,0,-,5,134
43,30444,43,43,0,0,0,-,5,6
44,31078,62,62,0,0,0,-,5,169
45,31759,106,106,0,0,0,-,3,47
46,32598,165,165,0,0,0,-,4,168
47,33595,102,102,0,0,0,-,3,87
48,34362,89,89,0,0,0,-,3,172
49,34704,39,39,0,0,0,-,5,142
50,35340,91,91,0,0,0,-,3,18
51,35781,34,34,0,0,0,-,3,176
52,36188,14,14,0,0,0,-,3,70
53,36530,24,24,0,0,0,-,3,176
54,36918,7,7,0,0,0,-,4,130
55,37258,11,11,0,0,0,-,4,14
56,37608,7,7,0,0,0,-,4,184
57,37949,5,5,0,0,0,-,4,83
58,38291,19,19,0,0,0,-,4,184
59,38671,17,17,0,0,0,-,4,151
60,39157,13,13,0,0,0,-,4,38
61,39512,47,47,0,0,0,-,7,172
62,40113,58,58,0,0,0,-,6,81
63,40824,25,25,0,0,0,-,4,184
64,41359,125,125,0,0,0,-,6,143
65,42166,70,70,0,0,0,-,6,18
66,42862,104,104,0,0,0,-,6,179
67,43593,117,117,0,0,0,-,6,83
68,44338,116,116,0,0,0,-,4,184
69,45197,96,96,0,0,0,-,7,141
70,45914,126,126,0,0,0,-,7,28
71,46703,236,236,0,0,0,-,7,187
72,47859,12,12,0,0,0,-,7,89
73,48360,91,91,0,0,0,-,5,187
74,49083,153,153,0,0,0,-,7,149
75,49980,93,93,0,0,0,-,7,38
76,50739,23,23,0,0,0,-,5,185
77,51244,213,213,0,0,0,-,7,112
78,52278,167,167,0,0,0,-,7,172
79,53212,169,169,0,0,0,-,7,173
80,54253,48,48,0,0,0,-,6,60
81,55002,108,108,0,0,0,-,7,188
82,55840,133,133,0,0,0,-,7,143
83,56706,50,50,0,0,0,-,7,32
84,57397,61,61,0,0,0,-,7,186
85,58053,51,51,0,0,0,-,7,108
86,58707,65,65,0,0,0,-,6,188
