recipient_region,recipient_offset,span_rank,span_offset,emitted_bytes
0,30,0,30,208
1,352,0,352,187
2,872,0,872,103
3,1473,0,1473,46
4,2026,0,2026,205
5,2895,0,2895,119
6,3576,0,3576,96
7,4234,0,4234,164
8,5043,0,5043,166
9,5907,0,5907,66
10,6545,0,6545,49
11,7098,0,7098,144
12,7851,0,7851,76
13,8487,0,8487,88
14,9171,0,9171,82
14,9171,0,9171,82
14,9171,0,9171,82
15,9852,0,9852,97
16,10495,0,10495,53
17,11088,0,11088,69
18,11687,0,11687,348
19,13034,0,13034,27
19,13034,0,13034,27
20,13560,0,13560,72
21,14215,0,14215,37
21,14215,0,14215,37
22,14792,0,14792,76
22,14792,0,14792,76
23,15469,0,15469,47
24,16004,0,16004,289
24,16004,0,16004,289
25,17087,0,17087,45
26,17642,0,17642,68
26,17642,0,17642,68
27,18278,0,18278,282
28,19764,0,19764,101
28,19764,0,19764,101
29,20482,0,20482,15
30,20985,0,20985,148
30,20985,0,20985,148
31,21933,0,21933,60
31,21933,0,21933,60
32,22535,0,22535,54
33,23102,0,23102,78
33,23102,0,23102,78
34,23797,0,23797,76
35,24479,0,24479,22
35,24479,0,24479,22
36,25026,0,25026,60
37,25702,0,25702,92
37,25702,0,25702,92
38,26377,0,26377,102
38,26377,0,26377,102
39,27154,0,27154,77
40,27875,0,27875,117
40,27875,0,27875,117
41,28679,0,28679,188
42,29816,0,29816,42
42,29816,0,29816,42
43,30444,0,30444,43
43,30444,0,30444,43
44,31078,0,31078,62
45,31759,0,31759,106
45,31759,0,31759,106
46,32598,0,32598,165
47,33595,0,33595,102
47,33595,0,33595,102
48,34362,0,34362,89
49,34704,0,34704,39
49,34704,0,34704,39
50,35340,0,35340,91
50,35340,0,35340,91
51,35781,0,35781,34
52,36188,0,36188,14
52,36188,0,36188,14
53,36530,0,36530,24
54,36918,0,36918,7
54,36918,0,36918,7
55,37258,0,37258,11
55,37258,0,37258,11
56,37608,0,37608,7
57,37949,0,37949,5
57,37949,0,37949,5
58,38291,0,38291,19
59,38671,0,38671,17
59,38671,0,38671,17
60,39157,0,39157,13
60,39157,0,39157,13
61,39512,0,39512,47
62,40113,0,40113,58
62,40113,0,40113,58
63,40824,0,40824,25
64,41359,0,41359,125
64,41359,0,41359,125
65,42166,0,42166,70
65,42166,0,42166,70
66,42862,0,42862,104
67,43593,0,43593,117
67,43593,0,43593,117
68,44338,0,44338,116
69,45197,0,45197,96
69,45197,0,45197,96
70,45914,0,45914,126
70,45914,0,45914,126
71,46703,0,46703,236
72,47859,0,47859,12
72,47859,0,47859,12
