recipient_region,recipient_offset,trial_id,stage,depth,donor_count,donors,baseline_payload_bytes,trial_payload_bytes,gain_bytes,marginal_gain_bytes,status
19,13034,320,length,1,1,4608:256,27,28,-1,-1,near
19,13034,322,length,1,1,4608:1024,27,28,-1,-1,near
19,13034,323,length,1,1,4608:2048,27,28,-1,-1,near
19,13034,326,local,1,1,3840:4096,27,28,-1,-1,near
19,13034,329,local,1,1,4864:4096,27,28,-1,-1,near
19,13034,330,local,1,1,5120:4096,27,28,-1,-1,near
19,13034,334,local,1,1,3840:512,27,28,-1,-1,near
19,13034,337,local,1,1,4864:512,27,28,-1,-1,near
19,13034,338,local,1,1,5120:512,27,28,-1,-1,near
19,13034,339,local,1,1,5376:512,27,28,-1,-1,near
19,13034,345,pair,2,2,3584:4096;4352:512,27,28,-1,-1,near
19,13034,346,pair,2,2,3584:4096;4608:4096,27,28,-1,-1,near
19,13034,349,pair,2,2,3584:512;4096:4096,27,28,-1,-1,near
19,13034,352,pair,2,2,3584:512;4352:512,27,28,-1,-1,near
19,13034,354,pair,2,2,3584:512;4608:512,27,28,-1,-1,near
19,13034,356,pair,2,2,4096:4096;3584:512,27,28,-1,-1,near
19,13034,357,pair,2,2,4096:4096;4096:512,27,28,-1,-1,near
19,13034,358,pair,2,2,4096:4096;4352:4096,27,28,-1,-1,near
19,13034,360,pair,2,2,4096:4096;4608:4096,27,28,-1,-1,near
19,13034,361,pair,2,2,4096:4096;4608:512,27,28,-1,-1,near
19,13034,362,pair,2,2,4096:512;3584:4096,27,28,-1,-1,near
19,13034,363,pair,2,2,4096:512;3584:512,27,28,-1,-1,near
19,13034,365,pair,2,2,4096:512;4352:4096,27,28,-1,-1,near
19,13034,367,pair,2,2,4096:512;4608:4096,27,28,-1,-1,near
19,13034,368,pair,2,2,4096:512;4608:512,27,28,-1,-1,near
19,13034,369,pair,2,2,4352:4096;3584:4096,27,28,-1,-1,near
19,13034,371,pair,2,2,4352:4096;4096:4096,27,28,-1,-1,near
19,13034,373,pair,2,2,4352:4096;4352:512,27,28,-1,-1,near
19,13034,376,pair,2,2,4352:512;3584:4096,27,28,-1,-1,near
19,13034,382,pair,2,2,4352:512;4608:512,27,28,-1,-1,near
19,13034,383,pair,2,2,4608:4096;3584:4096,27,28,-1,-1,near
19,13034,385,pair,2,2,4608:4096;4096:4096,27,28,-1,-1,near
19,13034,387,pair,2,2,4608:4096;4352:4096,27,28,-1,-1,near
19,13034,388,pair,2,2,4608:4096;4352:512,27,28,-1,-1,near
19,13034,389,pair,2,2,4608:4096;4608:512,27,28,-1,-1,near
19,13034,390,pair,2,2,4608:512;3584:4096,27,28,-1,-1,near
19,13034,391,pair,2,2,4608:512;3584:512,27,28,-1,-1,near
19,13034,394,pair,2,2,4608:512;4352:4096,27,28,-1,-1,near
19,13034,395,pair,2,2,4608:512;4352:512,27,28,-1,-1,near
19,13034,398,beam,3,3,3584:4096;3584:512;4096:512,27,28,-1,-1,near
19,13034,400,beam,3,3,3584:4096;3584:512;4352:512,27,28,-1,-1,near
19,13034,403,beam,3,3,3584:4096;4096:4096;3584:512,27,28,-1,-1,near
19,13034,405,beam,3,3,3584:4096;4096:4096;4352:4096,27,28,-1,-1,near
19,13034,409,beam,3,3,3584:4096;4096:512;3584:512,27,28,-1,-1,near
19,13034,411,beam,3,3,3584:4096;4096:512;4352:4096,27,28,-1,-1,near
19,13034,412,beam,3,3,3584:4096;4096:512;4352:512,27,28,-1,-1,near
19,13034,413,beam,3,3,3584:4096;4096:512;4608:4096,27,28,-1,-1,near
19,13034,415,beam,3,3,3584:4096;4352:4096;3584:512,27,28,-1,-1,near
19,13034,416,beam,3,3,3584:4096;4352:4096;4096:4096,27,28,-1,-1,near
19,13034,417,beam,3,3,3584:4096;4352:4096;4096:512,27,28,-1,-1,near
19,13034,420,beam,3,3,3584:4096;4352:4096;4608:512,27,28,-1,-1,near
19,13034,422,beam,4,4,3584:4096;3584:512;4096:4096;4352:4096,27,28,-1,-1,near
19,13034,426,beam,4,4,3584:4096;3584:512;4352:4096;4096:4096,27,28,-1,-1,near
19,13034,428,beam,4,4,3584:4096;3584:512;4352:4096;4352:512,27,28,-1,-1,near
19,13034,429,beam,4,4,3584:4096;3584:512;4352:4096;4608:4096,27,28,-1,-1,near
19,13034,435,beam,4,4,3584:4096;3584:512;4608:4096;4608:512,27,28,-1,-1,near
19,13034,436,beam,4,4,3584:4096;3584:512;4608:512;4096:4096,27,28,-1,-1,near
19,13034,440,beam,4,4,3584:4096;3584:512;4608:512;4608:4096,27,28,-1,-1,near
19,13034,442,beam,5,5,3584:4096;3584:512;4096:4096;4096:512;4352:512,27,28,-1,-1,near
19,13034,444,beam,5,5,3584:4096;3584:512;4096:4096;4096:512;4608:512,27,28,-1,-1,near
19,13034,445,beam,5,5,3584:4096;3584:512;4096:4096;4352:512;4096:512,27,28,-1,-1,near
19,13034,446,beam,5,5,3584:4096;3584:512;4096:4096;4352:512;4352:4096,27,28,-1,-1,near
19,13034,447,beam,5,5,3584:4096;3584:512;4096:4096;4352:512;4608:4096,27,28,-1,-1,near
19,13034,448,beam,5,5,3584:4096;3584:512;4096:4096;4352:512;4608:512,27,28,-1,-1,near
19,13034,449,beam,5,5,3584:4096;3584:512;4096:4096;4608:4096;4096:512,27,28,-1,-1,near
19,13034,454,beam,5,5,3584:4096;3584:512;4096:4096;4608:512;4352:4096,27,28,-1,-1,near
19,13034,455,beam,5,5,3584:4096;3584:512;4096:4096;4608:512;4352:512,27,28,-1,-1,near
19,13034,456,beam,5,5,3584:4096;3584:512;4096:4096;4608:512;4608:4096,27,28,-1,-1,near
19,13034,458,beam,6,6,3584:4096;3584:512;4096:4096;4096:512;4352:4096;4608:4096,27,28,-1,-1,near
19,13034,461,beam,6,6,3584:4096;3584:512;4096:4096;4096:512;4608:4096;4352:512,27,28,-1,-1,near
19,13034,469,beam,7,7,3584:4096;3584:512;4096:4096;4096:512;4352:4096;4352:512;4608:4096,27,28,-1,-1,near
19,13034,475,beam,7,7,3584:4096;3584:512;4096:4096;4096:512;4608:4096;4608:512;4352:4096,27,28,-1,-1,near
19,13034,479,beam,8,8,3584:4096;3584:512;4096:4096;4096:512;4352:4096;4608:512;4608:4096;4352:512,27,28,-1,-1,near
19,13034,480,beam,8,8,3584:4096;3584:512;4096:4096;4096:512;4608:4096;4352:4096;4352:512;4608:512,27,28,-1,-1,near
20,13560,481,single,1,1,5120:4096,72,73,-1,-1,near
20,13560,482,length,1,1,5120:256,72,73,-1,-1,near
20,13560,486,length,1,1,5120:8192,72,73,-1,-1,near
20,13560,490,local,1,1,4864:1024,72,73,-1,-1,near
20,13560,491,local,1,1,5376:1024,72,73,-1,-1,near
20,13560,492,local,1,1,5632:1024,72,73,-1,-1,near
20,13560,495,local,1,1,4096:2048,72,73,-1,-1,near
20,13560,498,local,1,1,4864:2048,72,73,-1,-1,near
20,13560,504,pair,2,2,4096:1024;4352:2048,72,73,-1,-1,near
20,13560,505,pair,2,2,4096:1024;4608:1024,72,73,-1,-1,near
20,13560,507,pair,2,2,4096:1024;5120:1024,72,73,-1,-1,near
20,13560,510,pair,2,2,4352:1024;4096:1024,72,73,-1,-1,near
20,13560,511,pair,2,2,4352:1024;4352:2048,72,73,-1,-1,near
20,13560,512,pair,2,2,4352:1024;4608:1024,72,73,-1,-1,near
20,13560,513,pair,2,2,4352:1024;4608:2048,72,73,-1,-1,near
20,13560,514,pair,2,2,4352:1024;5120:1024,72,73,-1,-1,near
20,13560,517,pair,2,2,4352:2048;4096:1024,72,73,-1,-1,near
20,13560,518,pair,2,2,4352:2048;4352:1024,72,73,-1,-1,near
20,13560,521,pair,2,2,4352:2048;5120:1024,72,73,-1,-1,near
20,13560,523,pair,2,2,4352:2048;5120:512,72,73,-1,-1,near
20,13560,527,pair,2,2,4608:1024;4608:2048,72,73,-1,-1,near
20,13560,533,pair,2,2,4608:2048;4352:2048,72,73,-1,-1,near
20,13560,535,pair,2,2,4608:2048;5120:1024,72,73,-1,-1,near
20,13560,537,pair,2,2,4608:2048;5120:512,72,73,-1,-1,near
20,13560,538,pair,2,2,5120:1024;4096:1024,72,73,-1,-1,near
20,13560,539,pair,2,2,5120:1024;4352:1024,72,73,-1,-1,near
20,13560,541,pair,2,2,5120:1024;4608:1024,72,73,-1,-1,near
20,13560,552,pair,2,2,5120:512;4096:1024,72,73,-1,-1,near
20,13560,554,pair,2,2,5120:512;4352:2048,72,73,-1,-1,near
20,13560,559,beam,3,3,4096:1024;4352:1024;4352:2048,72,73,-1,-1,near
20,13560,560,beam,3,3,4096:1024;4352:1024;4608:1024,72,73,-1,-1,near
20,13560,562,beam,3,3,4096:1024;4352:1024;5120:1024,72,73,-1,-1,near
20,13560,570,beam,3,3,4096:1024;4608:2048;5120:512,72,73,-1,-1,near
20,13560,578,beam,3,3,4096:1024;5120:512;4352:2048,72,73,-1,-1,near
20,13560,579,beam,3,3,4096:1024;5120:512;4608:1024,72,73,-1,-1,near
20,13560,580,beam,3,3,4096:1024;5120:512;4608:2048,72,73,-1,-1,near
