recipient_region,recipient_offset,trial_id,stage,depth,donor_count,donors,baseline_payload_bytes,trial_payload_bytes,gain_bytes,marginal_gain_bytes,status
14,9171,78,beam,3,3,6912:1024;7168:1024;7168:256,82,81,1,1,winner
15,9852,161,local,1,1,4352:1024,97,96,1,1,winner
15,9852,164,local,1,1,5376:1024,97,96,1,1,winner
15,9852,184,pair,2,2,5376:1024;4096:1024,97,96,1,0,winner
15,9852,189,pair,2,2,5376:1024;4864:1024,97,96,1,0,winner
15,9852,197,pair,2,2,4096:2048;4352:1024,97,96,1,1,winner
15,9852,233,beam,3,3,4096:2048;4352:1024;4096:1024,97,96,1,0,winner
15,9852,285,beam,5,5,4096:1024;4096:2048;4352:1024;4608:2048;4352:2048,97,96,1,1,winner
21,14215,644,length,1,1,5888:256,37,36,1,1,winner
21,14215,669,pair,2,2,5888:256;5376:1024,37,36,1,0,winner
21,14215,683,pair,2,2,4864:256;5376:1024,37,36,1,1,winner
21,14215,770,beam,5,5,4864:1024;4864:256;5120:1024;5376:1024;5120:256,37,36,1,1,winner
21,14215,786,beam,6,6,4864:1024;4864:256;5120:1024;5120:256;5376:1024;5632:1024,37,36,1,1,winner
21,14215,790,beam,6,6,4864:1024;4864:256;5120:1024;5120:256;5632:1024;5888:256,37,36,1,1,winner
23,15469,987,local,1,1,6912:2048,47,46,1,1,winner
23,15469,989,local,1,1,7680:2048,47,46,1,1,winner
23,15469,998,pair,2,2,6912:2048;6656:2048,47,46,1,0,winner
23,15469,1026,pair,2,2,6400:1024;6656:2048,47,46,1,1,winner
23,15469,1028,pair,2,2,6400:2048;7680:2048,47,46,1,1,winner
23,15469,1032,pair,2,2,6400:2048;6656:1024,47,46,1,1,winner
23,15469,1039,pair,2,2,6656:1024;6400:2048,47,46,1,1,winner
23,15469,1100,beam,5,5,6400:1024;6656:2048;6144:1024;6656:1024;6912:2048,47,46,1,1,winner
23,15469,1112,beam,6,6,6400:1024;6656:2048;6144:1024;6144:2048;6400:2048;7680:2048,47,46,1,1,winner
24,16004,1187,pair,2,2,7168:1024;7424:1024,289,288,1,1,winner
25,17087,1294,single,1,1,8704:4096,45,44,1,1,winner
25,17087,1300,local,1,1,7680:4096,45,44,1,1,winner
25,17087,1314,local,1,1,9472:1024,45,44,1,1,winner
25,17087,1316,pair,2,2,7680:4096;8704:4096,45,44,1,0,winner
25,17087,1320,pair,2,2,7680:4096;7936:4096,45,44,1,0,winner
25,17087,1322,pair,2,2,7680:4096;8192:4096,45,44,1,0,winner
25,17087,1335,pair,2,2,9472:1024;8192:1024,45,44,1,0,winner
25,17087,1336,pair,2,2,9472:1024;8192:4096,45,44,1,0,winner
25,17087,1338,pair,2,2,7680:1024;8704:4096,45,44,1,1,winner
25,17087,1343,pair,2,2,7680:1024;8192:4096,45,44,1,1,winner
25,17087,1362,pair,2,2,8192:1024;7936:1024,45,44,1,1,winner
