pack_id,recipient_offset,recipient_length,candidate_rank,donor_offset,donor_length,phrase_score,signature_hits,recipient_class,donor_class
1,1048219,1049689,0,982528,65536,482,80,9,9
1,1048219,1049689,1,491264,65536,457,75,9,9
1,1048219,1049689,2,0,65536,290,50,9,9
1,1048219,1049689,3,1031680,16384,208,34,9,9
1,1048219,1049689,4,0,16384,159,29,9,9
1,1048219,1049689,5,0,4096,120,26,9,9
1,1048219,1049689,6,515840,16384,66,10,9,9
1,1048219,1049689,7,521984,4096,51,13,9,9
1,1048219,1049689,8,523520,1024,42,16,9,9
1,1048219,1049689,9,523776,256,31,11,9,9
1,1048219,1049689,10,1043968,4096,22,6,9,9
1,1048219,1049689,11,0,1024,21,7,9,9
1,1048219,1049689,12,1047040,1024,21,7,9,9
2,2097908,1048760,0,1048320,65536,215,35,9,9
2,2097908,1048760,1,982528,65536,126,20,9,9
2,2097908,1048760,2,1540096,65536,125,21,9,9
2,2097908,1048760,3,491264,65536,114,18,9,9
2,2097908,1048760,4,0,65536,90,14,9,9
2,2097908,1048760,5,0,16384,74,14,9,9
2,2097908,1048760,6,0,4096,67,13,9,9
2,2097908,1048760,7,0,1024,43,9,9,9
2,2097908,1048760,8,1031680,16384,36,6,9,9
2,2097908,1048760,9,523520,1024,29,13,9,9
2,2097908,1048760,10,1048320,4096,22,4,9,9
2,2097908,1048760,11,1048320,16384,22,4,9,9
2,2097908,1048760,12,523776,256,21,9,9,9
2,2097908,1048760,13,521984,4096,15,3,9,9
2,2097908,1048760,14,1564672,16384,15,3,9,9
2,2097908,1048760,15,1570816,4096,5,1,9,9
2,2097908,1048760,16,1043968,4096,3,1,9,9
2,2097908,1048760,17,1047040,1024,3,1,9,9
2,2097908,1048760,18,1048320,256,3,1,9,9
2,2097908,1048760,19,1048320,1024,3,1,9,9
3,3146668,1048846,0,1048320,65536,48,8,9,9
3,3146668,1048846,1,1540096,65536,48,8,9,9
3,3146668,1048846,2,2097920,16384,48,8,9,9
3,3146668,1048846,3,3080960,65536,42,6,9,9
3,3146668,1048846,4,0,1024,12,2,9,9
3,3146668,1048846,5,3130112,16384,42,6,9,9
3,3146668,1048846,6,0,4096,12,2,9,9
3,3146668,1048846,7,0,16384,12,2,9,9
5,5243475,1048325,0,5177856,65536,96,14,10,10
5,5243475,1048325,1,4195584,256,29,7,10,10
5,5243475,1048325,2,4195584,1024,29,7,10,10
5,5243475,1048325,3,5239296,4096,8,2,10,10
6,6291800,1050555,0,1048320,65536,33,5,9,9
6,6291800,1050555,1,1540096,65536,33,5,9,9
6,6291800,1050555,2,2097920,16384,33,5,9,9
6,6291800,1050555,3,4129792,65536,33,5,9,9
6,6291800,1050555,4,523520,1024,3,1,9,9
6,6291800,1050555,5,523776,256,3,1,9,9
7,7342355,1050180,0,1048320,65536,31,5,9,9
7,7342355,1050180,1,1540096,65536,31,5,9,9
7,7342355,1050180,2,2097920,16384,31,5,9,9
7,7342355,1050180,3,4129792,65536,31,5,9,9
7,7342355,1050180,4,3080960,65536,15,3,9,9
7,7342355,1050180,5,523520,1024,6,2,9,9
7,7342355,1050180,6,523776,256,6,2,9,9
8,8392535,1054725,0,8326912,65536,84,12,9,9
8,8392535,1054725,1,1048320,65536,39,7,9,9
8,8392535,1054725,2,1540096,65536,39,7,9,9
8,8392535,1054725,3,2097920,16384,39,7,9,9
8,8392535,1054725,4,4129792,65536,39,7,9,9
8,8392535,1054725,5,7834624,65536,39,7,9,9
8,8392535,1054725,6,523520,1024,6,2,9,9
8,8392535,1054725,7,8391424,1024,3,1,9,9
8,8392535,1054725,8,523776,256,6,2,9,9
8,8392535,1054725,9,1047040,1024,3,1,9,9
8,8392535,1054725,10,8392192,256,3,1,9,9
9,9447260,1046778,0,5759488,16384,22,4,10,10
10,10494038,1049016,0,8326912,65536,63,9,9,9
10,10494038,1049016,1,3080960,65536,48,8,9,9
10,10494038,1049016,2,7865344,4096,20,4,9,9
10,10494038,1049016,3,7859200,16384,12,2,9,9
10,10494038,1049016,4,8391424,1024,3,1,9,9
10,10494038,1049016,5,8392192,256,3,1,9,9
11,11543054,1047966,0,7834624,65536,46,8,9,9
11,11543054,1047966,1,1048320,65536,36,6,9,9
11,11543054,1047966,2,1540096,65536,36,6,9,9
11,11543054,1047966,3,2097920,16384,36,6,9,9
11,11543054,1047966,4,4129792,65536,36,6,9,9
11,11543054,1047966,5,3080960,65536,21,3,9,9
11,11543054,1047966,6,8326912,65536,21,3,9,9
11,11543054,1047966,7,10494208,65536,21,3,9,9
11,11543054,1047966,8,8392704,16384,12,2,9,9
11,11543054,1047966,9,7865344,4096,5,1,9,9
