pack_id,recipient_offset,recipient_length,candidate_rank,donor_offset,donor_length,phrase_score,signature_hits,recipient_class,donor_class
2,2097908,1048760,0,1048320,65536,215,35,9,9
2,2097908,1048760,1,982528,65536,126,20,9,9
2,2097908,1048760,2,1540096,65536,125,21,9,9
2,2097908,1048760,3,491264,65536,114,18,9,9
3,3146668,1048846,0,1048320,65536,48,8,9,9
3,3146668,1048846,1,1540096,65536,48,8,9,9
5,5243475,1048325,0,4195584,1024,1,0,10,10
6,6291800,1050555,0,1048320,65536,33,5,9,9
6,6291800,1050555,1,1540096,65536,33,5,9,9
6,6291800,1050555,2,2097920,16384,33,5,9,9
7,7342355,1050180,0,1540096,65536,31,5,9,9
7,7342355,1050180,1,2097920,16384,31,5,9,9
7,7342355,1050180,2,4129792,65536,31,5,9,9
7,7342355,1050180,3,3080960,65536,15,3,9,9
8,8392535,1054725,0,1048320,65536,39,6,9,9
8,8392535,1054725,1,2097920,16384,39,6,9,9
8,8392535,1054725,2,4129792,65536,39,6,9,9
8,8392535,1054725,3,7834624,65536,39,6,9,9
10,10494038,1049016,0,3080960,65536,48,8,9,9
10,10494038,1049016,1,7865344,4096,20,4,9,9
10,10494038,1049016,2,7859200,16384,12,2,9,9
11,11543054,1047966,0,1048320,65536,36,6,9,9
11,11543054,1047966,1,1540096,65536,36,6,9,9
11,11543054,1047966,2,2097920,16384,36,6,9,9
11,11543054,1047966,3,4129792,65536,36,6,9,9
