recipient_region,recipient_offset,candidate_rank,donor_offset,donor_length,phrase_score,source
2,2097908,0,1048320,65536,215,phrase_token
2,2097908,1,982528,65536,126,phrase_token
2,2097908,2,1540096,65536,125,phrase_token
2,2097908,3,491264,65536,114,phrase_token
3,3146668,0,1048320,65536,48,phrase_token
3,3146668,1,1540096,65536,48,phrase_token
3,3146668,2,3130112,4096,0,recent_fallback
3,3146668,3,3138304,4096,0,recent_fallback
4,4195514,0,4162560,4096,0,recent_fallback
4,4195514,1,4170752,4096,0,recent_fallback
4,4195514,2,4178944,4096,0,recent_fallback
4,4195514,3,4187136,4096,0,recent_fallback
6,6291800,0,1048320,65536,33,phrase_token
6,6291800,1,1540096,65536,33,phrase_token
6,6291800,2,2097920,16384,33,phrase_token
6,6291800,3,6283520,4096,0,recent_fallback
7,7342355,0,1540096,65536,31,phrase_token
7,7342355,1,2097920,16384,31,phrase_token
7,7342355,2,4129792,65536,31,phrase_token
7,7342355,3,3080960,65536,15,phrase_token
8,8392535,0,1048320,65536,39,phrase_token
8,8392535,1,2097920,16384,39,phrase_token
8,8392535,2,4129792,65536,39,phrase_token
8,8392535,3,7834624,65536,39,phrase_token
9,9447260,0,9414400,4096,0,recent_fallback
9,9447260,1,9422592,4096,0,recent_fallback
9,9447260,2,9430784,4096,0,recent_fallback
9,9447260,3,9438976,4096,0,recent_fallback
10,10494038,0,3080960,65536,48,phrase_token
10,10494038,1,7865344,4096,20,phrase_token
10,10494038,2,7859200,16384,12,phrase_token
10,10494038,3,10485760,4096,0,recent_fallback
11,11543054,0,1048320,65536,36,phrase_token
11,11543054,1,1540096,65536,36,phrase_token
11,11543054,2,2097920,16384,36,phrase_token
11,11543054,3,4129792,65536,36,phrase_token
