recipient_region,recipient_offset,span_rank,span_offset,emitted_bytes
2,2097908,0,2384628,1639
2,2097908,1,2401012,1593
2,2097908,2,2396916,1557
2,2097908,3,3072756,1548
2,2097908,4,2388724,1529
2,2097908,5,2392820,1513
2,2097908,6,2405108,1383
2,2097908,7,2417396,1326
3,3146668,0,3625900,1387
3,3146668,1,3629996,1160
3,3146668,2,3167148,1105
3,3146668,3,3576748,1098
3,3146668,4,3380140,1084
3,3146668,5,4174764,1070
3,3146668,6,3220396,1049
3,3146668,7,3613612,945
4,4195514,0,4678842,1485
4,4195514,1,4793530,1468
4,4195514,2,4785338,1452
4,4195514,3,4789434,1452
4,4195514,4,4891834,1443
4,4195514,5,4203706,1403
4,4195514,6,4199610,1393
4,4195514,7,4990138,1390
6,6291800,0,6607192,1520
6,6291800,1,6455640,1434
6,6291800,2,6656344,1419
6,6291800,3,7266648,1414
6,6291800,4,7045464,1411
6,6291800,5,7053656,1410
6,6291800,6,7057752,1408
6,6291800,7,7258456,1383
7,7342355,0,7620883,1403
7,7342355,1,7608595,1342
7,7342355,2,7489811,1338
7,7342355,3,7391507,1334
7,7342355,4,7436563,1287
7,7342355,5,8358163,1284
7,7342355,6,7395603,1283
7,7342355,7,7457043,1283
8,8392535,0,8736599,1330
8,8392535,1,8732503,1263
8,8392535,2,8650583,1216
8,8392535,3,9244503,1211
8,8392535,4,8908631,1209
8,8392535,5,8822615,1207
8,8392535,6,9437015,1200
8,8392535,7,8482647,1196
9,9447260,0,9865052,1321
9,9447260,1,9520988,1306
9,9447260,2,10274652,1301
9,9447260,3,10434396,1300
9,9447260,4,9512796,1266
9,9447260,5,10409820,1264
9,9447260,6,10401628,1262
9,9447260,7,9914204,1234
10,10494038,0,11071574,1391
10,10494038,1,11378774,1357
10,10494038,2,10924118,1301
10,10494038,3,11206742,1296
10,10494038,4,10932310,1276
10,10494038,5,11051094,1270
10,10494038,6,10944598,1268
10,10494038,7,11128918,1256
11,11543054,0,11584014,1527
11,11543054,1,11829774,1436
11,11543054,2,11575822,1405
11,11543054,3,11825678,1383
11,11543054,4,11743758,1379
11,11543054,5,11596302,1342
11,11543054,6,11735566,1295
11,11543054,7,12562958,1265
