recipient_region,recipient_offset,trial_id,stage,depth,donor_count,donors,baseline_payload_bytes,trial_payload_bytes,gain_bytes,marginal_gain_bytes,status
2,2097908,1,single_inplace,1,1,1048320:65536,140911,140927,-16,-16,near
2,2097908,2,single_inplace,1,1,982528:65536,140911,140927,-16,-16,near
2,2097908,3,single_inplace,1,1,1540096:65536,140911,140921,-10,-10,near
2,2097908,4,single_inplace,1,1,491264:65536,140911,140930,-19,-19,near
3,3146668,5,single_inplace,1,1,1048320:65536,116668,116673,-5,-5,near
3,3146668,6,single_inplace,1,1,1540096:65536,116668,116674,-6,-6,near
3,3146668,7,single_inplace,1,1,3130112:4096,116668,116672,-4,-4,near
3,3146668,8,single_inplace,1,1,3138304:4096,116668,116673,-5,-5,near
4,4195514,9,single_inplace,1,1,4162560:4096,219317,219319,-2,-2,near
4,4195514,10,single_inplace,1,1,4170752:4096,219317,219324,-7,-7,near
4,4195514,11,single_inplace,1,1,4178944:4096,219317,219326,-9,-9,near
4,4195514,12,single_inplace,1,1,4187136:4096,219317,219320,-3,-3,near
6,6291800,13,single_inplace,1,1,1048320:65536,233266,233275,-9,-9,near
6,6291800,14,single_inplace,1,1,1540096:65536,233266,233273,-7,-7,near
6,6291800,15,single_inplace,1,1,2097920:16384,233266,233271,-5,-5,near
6,6291800,16,single_inplace,1,1,6283520:4096,233266,233270,-4,-4,near
7,7342355,17,single_inplace,1,1,1540096:65536,218742,218750,-8,-8,near
7,7342355,18,single_inplace,1,1,2097920:16384,218742,218746,-4,-4,near
7,7342355,19,single_inplace,1,1,4129792:65536,218742,218747,-5,-5,near
7,7342355,20,single_inplace,1,1,3080960:65536,218742,218752,-10,-10,near
8,8392535,21,single_inplace,1,1,1048320:65536,202918,202929,-11,-11,near
8,8392535,22,single_inplace,1,1,2097920:16384,202918,202924,-6,-6,near
8,8392535,23,single_inplace,1,1,4129792:65536,202918,202923,-5,-5,near
8,8392535,24,single_inplace,1,1,7834624:65536,202918,202944,-26,-26,near
9,9447260,25,single_inplace,1,1,9414400:4096,232154,232154,0,0,near
9,9447260,26,single_inplace,1,1,9422592:4096,232154,232156,-2,-2,near
9,9447260,27,single_inplace,1,1,9430784:4096,232154,232159,-5,-5,near
9,9447260,28,single_inplace,1,1,9438976:4096,232154,232155,-1,-1,near
10,10494038,29,single_inplace,1,1,3080960:65536,238541,238552,-11,-11,near
10,10494038,30,single_inplace,1,1,7865344:4096,238541,238545,-4,-4,near
10,10494038,31,single_inplace,1,1,7859200:16384,238541,238554,-13,-13,near
10,10494038,32,single_inplace,1,1,10485760:4096,238541,238543,-2,-2,near
11,11543054,33,single_inplace,1,1,1048320:65536,245758,245774,-16,-16,near
11,11543054,34,single_inplace,1,1,1540096:65536,245758,245770,-12,-12,near
11,11543054,35,single_inplace,1,1,2097920:16384,245758,245765,-7,-7,near
11,11543054,36,single_inplace,1,1,4129792:65536,245758,245767,-9,-9,near
