recipient_region,recipient_offset,candidate_rank,donor_offset,donor_length,phrase_score,source
2,2097908,0,1048320,65536,215,phrase_token
2,2097908,1,982528,65536,126,phrase_token
2,2097908,2,1540096,65536,125,phrase_token
2,2097908,3,491264,65536,114,phrase_token
3,3146668,0,1048320,65536,48,phrase_token
3,3146668,1,1540096,65536,48,phrase_token
3,3146668,2,3130112,4096,0,recent_fallback
3,3146668,3,3138304,4096,0,recent_fallback
4,4195514,0,4162560,4096,0,recent_fallback
4,4195514,1,4170752,4096,0,recent_fallback
4,4195514,2,4178944,4096,0,recent_fallback
4,4195514,3,4187136,4096,0,recent_fallback
5,5243475,0,4195584,1024,1,phrase_token
5,5243475,1,5218816,4096,0,recent_fallback
5,5243475,2,5227008,4096,0,recent_fallback
5,5243475,3,5235200,4096,0,recent_fallback
6,6291800,0,1048320,65536,33,phrase_token
6,6291800,1,1540096,65536,33,phrase_token
6,6291800,2,2097920,16384,33,phrase_token
6,6291800,3,6283520,4096,0,recent_fallback
