recipient_region,recipient_offset,span_rank,span_offset,emitted_bytes
2,2097908,0,2384628,1639
2,2097908,1,2401012,1593
2,2097908,2,2396916,1557
2,2097908,3,3072756,1548
2,2097908,4,2388724,1529
2,2097908,5,2392820,1513
2,2097908,6,2405108,1383
2,2097908,7,2417396,1326
3,3146668,0,3625900,1387
3,3146668,1,3629996,1160
3,3146668,2,3167148,1105
3,3146668,3,3576748,1098
3,3146668,4,3380140,1084
3,3146668,5,4174764,1070
3,3146668,6,3220396,1049
3,3146668,7,3613612,945
4,4195514,0,4678842,1485
4,4195514,1,4793530,1468
4,4195514,2,4785338,1452
4,4195514,3,4789434,1452
4,4195514,4,4891834,1443
4,4195514,5,4203706,1403
4,4195514,6,4199610,1393
4,4195514,7,4990138,1390
5,5243475,0,5993043,1171
5,5243475,1,5825107,1109
5,5243475,2,5313107,1097
5,5243475,3,5960275,1090
5,5243475,4,5821011,1045
5,5243475,5,5526099,1039
5,5243475,6,6034003,1028
5,5243475,7,5571155,1025
