recipient_region,recipient_offset,trial_id,stage,depth,donor_count,donors,baseline_payload_bytes,trial_payload_bytes,gain_bytes,marginal_gain_bytes,status
2,2097908,1,single_inplace,1,1,1048320:65536,140911,141040,-129,-129,loss
2,2097908,2,single_inplace,1,1,982528:65536,140911,141040,-129,-129,loss
2,2097908,3,single_inplace,1,1,1540096:65536,140911,141040,-129,-129,loss
2,2097908,4,single_inplace,1,1,491264:65536,140911,141040,-129,-129,loss
3,3146668,5,single_inplace,1,1,1048320:65536,116668,116787,-119,-119,loss
3,3146668,6,single_inplace,1,1,1540096:65536,116668,116788,-120,-120,loss
3,3146668,7,single_inplace,1,1,3130112:4096,116668,116788,-120,-120,loss
3,3146668,8,single_inplace,1,1,3138304:4096,116668,116788,-120,-120,loss
4,4195514,9,single_inplace,1,1,4162560:4096,219317,219611,-294,-294,loss
4,4195514,10,single_inplace,1,1,4170752:4096,219317,219610,-293,-293,loss
4,4195514,11,single_inplace,1,1,4178944:4096,219317,219610,-293,-293,loss
4,4195514,12,single_inplace,1,1,4187136:4096,219317,219611,-294,-294,loss
5,5243475,13,single_inplace,1,1,4195584:1024,117224,117361,-137,-137,loss
5,5243475,14,single_inplace,1,1,5218816:4096,117224,117362,-138,-138,loss
5,5243475,15,single_inplace,1,1,5227008:4096,117224,117362,-138,-138,loss
5,5243475,16,single_inplace,1,1,5235200:4096,117224,117361,-137,-137,loss
