pack_id,recipient_offset,recipient_length,candidate_rank,donor_offset,donor_length,phrase_score,signature_hits,recipient_class,donor_class
1,1048219,1049689,0,982528,65536,482,80,9,9
1,1048219,1049689,1,491264,65536,457,75,9,9
1,1048219,1049689,2,0,65536,290,50,9,9
1,1048219,1049689,3,1031680,16384,208,34,9,9
1,1048219,1049689,4,0,16384,159,29,9,9
1,1048219,1049689,5,0,4096,120,26,9,9
1,1048219,1049689,6,515840,16384,66,10,9,9
1,1048219,1049689,7,521984,4096,51,13,9,9
1,1048219,1049689,8,523520,1024,42,16,9,9
1,1048219,1049689,9,523776,256,31,11,9,9
1,1048219,1049689,10,1043968,4096,22,6,9,9
1,1048219,1049689,11,0,1024,21,7,9,9
1,1048219,1049689,12,1047040,1024,21,7,9,9
2,2097908,1048760,0,1048320,65536,215,35,9,9
2,2097908,1048760,1,982528,65536,126,20,9,9
2,2097908,1048760,2,1540096,65536,125,21,9,9
2,2097908,1048760,3,491264,65536,114,18,9,9
2,2097908,1048760,4,0,65536,90,14,9,9
2,2097908,1048760,5,0,16384,74,14,9,9
2,2097908,1048760,6,0,4096,67,13,9,9
2,2097908,1048760,7,0,1024,43,9,9,9
2,2097908,1048760,8,1031680,16384,36,6,9,9
2,2097908,1048760,9,523520,1024,29,13,9,9
2,2097908,1048760,10,1048320,4096,22,4,9,9
2,2097908,1048760,11,1048320,16384,22,4,9,9
2,2097908,1048760,12,523776,256,21,9,9,9
2,2097908,1048760,13,521984,4096,15,3,9,9
2,2097908,1048760,14,1564672,16384,15,3,9,9
2,2097908,1048760,15,1570816,4096,5,1,9,9
2,2097908,1048760,16,1043968,4096,3,1,9,9
2,2097908,1048760,17,1047040,1024,3,1,9,9
2,2097908,1048760,18,1048320,256,3,1,9,9
2,2097908,1048760,19,1048320,1024,3,1,9,9
3,3146668,1048846,0,1048320,65536,48,8,9,9
3,3146668,1048846,1,1540096,65536,48,8,9,9
3,3146668,1048846,2,2097920,16384,48,8,9,9
3,3146668,1048846,3,3080960,65536,42,6,9,9
3,3146668,1048846,4,0,1024,12,2,9,9
3,3146668,1048846,5,3130112,16384,42,6,9,9
3,3146668,1048846,6,0,4096,12,2,9,9
3,3146668,1048846,7,0,16384,12,2,9,9
