pack_id,recipient_offset,recipient_length,candidate_rank,donor_offset,donor_length,phrase_score,signature_hits,recipient_class,donor_class
1,1048219,1049689,0,982528,65536,608,100,9,9
1,1048219,1049689,1,491264,65536,571,93,9,9
1,1048219,1049689,2,0,65536,380,64,9,9
1,1048219,1049689,3,1031680,16384,244,40,9,9
1,1048219,1049689,4,523520,1024,71,29,9,9
2,2097908,1048760,0,982528,65536,608,100,9,9
2,2097908,1048760,1,491264,65536,571,93,9,9
2,2097908,1048760,2,0,65536,380,64,9,9
2,2097908,1048760,3,1048320,65536,263,43,9,9
2,2097908,1048760,4,1031680,16384,244,40,9,9
2,2097908,1048760,5,1540096,65536,173,29,9,9
2,2097908,1048760,6,523520,1024,71,29,9,9
3,3146668,1048846,0,982528,65536,608,100,9,9
3,3146668,1048846,1,491264,65536,571,93,9,9
3,3146668,1048846,2,0,65536,380,64,9,9
3,3146668,1048846,3,1048320,65536,263,43,9,9
3,3146668,1048846,4,1031680,16384,244,40,9,9
3,3146668,1048846,5,1540096,65536,173,29,9,9
3,3146668,1048846,6,523520,1024,71,29,9,9
