pack_id,recipient_offset,recipient_length,candidate_rank,donor_offset,donor_length,phrase_score,signature_hits,recipient_class,donor_class
1,1048219,1049689,0,982528,65536,608,100,9,9
1,1048219,1049689,1,491264,65536,571,93,9,9
1,1048219,1049689,2,0,65536,380,64,9,9
1,1048219,1049689,3,1031680,16384,244,40,9,9
2,2097908,1048760,0,982528,65536,608,100,9,9
2,2097908,1048760,1,491264,65536,571,93,9,9
2,2097908,1048760,2,0,65536,380,64,9,9
2,2097908,1048760,3,1048320,65536,327,53,9,9
2,2097908,1048760,4,1031680,16384,244,40,9,9
2,2097908,1048760,5,1540096,65536,237,39,9,9
3,3146668,1048846,0,982528,65536,608,100,9,9
3,3146668,1048846,1,491264,65536,571,93,9,9
3,3146668,1048846,2,0,65536,380,64,9,9
3,3146668,1048846,3,1048320,65536,327,53,9,9
3,3146668,1048846,4,1031680,16384,244,40,9,9
3,3146668,1048846,5,1540096,65536,237,39,9,9
3,3146668,1048846,6,2097920,16384,112,18,9,9
5,5243475,1048325,0,5177856,65536,96,14,10,10
5,5243475,1048325,1,4195584,256,29,7,10,10
5,5243475,1048325,2,5239296,4096,8,2,10,10
6,6291800,1050555,0,982528,65536,608,100,9,9
6,6291800,1050555,1,491264,65536,571,93,9,9
6,6291800,1050555,2,0,65536,380,64,9,9
6,6291800,1050555,3,1048320,65536,327,53,9,9
6,6291800,1050555,4,1031680,16384,244,40,9,9
6,6291800,1050555,5,1540096,65536,237,39,9,9
6,6291800,1050555,6,2097920,16384,112,18,9,9
7,7342355,1050180,0,982528,65536,608,100,9,9
7,7342355,1050180,1,491264,65536,571,93,9,9
7,7342355,1050180,2,0,65536,380,64,9,9
7,7342355,1050180,3,1048320,65536,327,53,9,9
7,7342355,1050180,4,1031680,16384,244,40,9,9
7,7342355,1050180,5,1540096,65536,237,39,9,9
7,7342355,1050180,6,2097920,16384,112,18,9,9
