pack_id,recipient_offset,candidate_rank,source_group,source_start,donor_offset,donor_length,phrase_score,signature_hits,overlap_windows,overlap_fraction,class_match,screen_score
1,1048219,0,0,0,982528,65536,482,80,346,0.013462511,1,518718.511186
1,1048219,1,0,0,491264,65536,457,75,346,0.013462511,1,492478.511186
2,2097908,0,1,1048219,1048320,65536,215,35,218,0.007292677,1,232868.677215
2,2097908,1,0,0,982528,65536,126,20,232,0.009026886,1,141602.886113
2,2097908,2,1,1048219,1540096,65536,125,21,218,0.007292677,1,138916.677215
2,2097908,3,0,0,491264,65536,114,18,232,0.009026886,1,129058.886113
3,3146668,0,2,2097908,2097920,16384,48,8,156,0.005137325,1,56001.324639
3,3146668,1,1,1048219,1048320,65536,48,8,7,0.000234169,1,50502.168534
3,3146668,2,0,0,0,1024,12,2,9,0.000350181,1,12994.180927
3,3146668,3,2,2097908,3080960,65536,42,6,156,0.005137325,1,49601.324639
3,3146668,4,1,1048219,1540096,65536,48,8,7,0.000234169,1,50502.168534
3,3146668,5,0,0,0,4096,12,2,9,0.000350181,1,12994.180927
5,5243475,0,4,4195514,5177856,65536,96,14,242,0.008549122,1,109677.122125
5,5243475,1,4,4195514,4195584,256,29,7,242,0.008549122,1,40173.122125
6,6291800,0,2,2097908,2097920,16384,33,5,21,0.000691563,1,35271.562932
6,6291800,1,1,1048219,1048320,65536,33,5,12,0.000401432,1,34945.431773
6,6291800,2,3,3146668,4129792,65536,33,5,9,0.000290473,1,34822.472502
6,6291800,3,0,0,523520,1024,3,1,15,0.000583635,1,3907.634878
6,6291800,4,1,1048219,1540096,65536,33,5,12,0.000401432,1,34945.431773
6,6291800,5,0,0,523776,256,3,1,15,0.000583635,1,3907.634878
7,7342355,0,2,2097908,2097920,16384,31,5,15,0.000493974,1,33001.973523
7,7342355,1,3,3146668,4129792,65536,31,5,14,0.000435269,1,32939.269245
7,7342355,2,1,1048219,1048320,65536,31,5,11,0.000367979,1,32859.979126
7,7342355,3,0,0,523520,1024,6,2,13,0.000505817,1,7021.816894
7,7342355,4,2,2097908,3080960,65536,15,3,15,0.000493974,1,16361.973523
7,7342355,5,1,1048219,1540096,65536,31,5,11,0.000367979,1,32859.979126
7,7342355,6,0,0,523776,256,6,2,13,0.000505817,1,7021.816894
8,8392535,0,7,7342355,8326912,65536,84,12,227,0.006993653,1,95517.653337
8,8392535,1,2,2097908,2097920,16384,39,7,20,0.000658631,1,41634.631364
8,8392535,2,1,1048219,1048320,65536,39,7,16,0.000535242,1,41495.242364
8,8392535,3,3,3146668,4129792,65536,39,7,10,0.000310907,1,41246.906604
8,8392535,4,0,0,523520,1024,6,2,20,0.000778180,1,7322.179837
8,8392535,5,7,7342355,7834624,65536,39,7,227,0.006993653,1,48797.653337
8,8392535,6,1,1048219,1540096,65536,39,7,16,0.000535242,1,41495.242364
8,8392535,7,0,0,523776,256,6,2,20,0.000778180,1,7322.179837
9,9447260,0,5,5243475,5759488,16384,22,4,22,0.000777193,1,23969.192920
10,10494038,0,7,7342355,8326912,65536,63,9,129,0.003974367,1,70218.366874
10,10494038,1,2,2097908,3080960,65536,48,8,21,0.000691563,1,51015.562932
10,10494038,2,7,7342355,7865344,4096,20,4,129,0.003974367,1,25546.366874
11,11543054,0,7,7342355,7834624,65536,46,8,83,0.002557151,1,51081.150779
11,11543054,1,2,2097908,2097920,16384,36,6,17,0.000559837,1,38323.836659
11,11543054,2,3,3146668,4129792,65536,36,6,13,0.000404179,1,38152.178585
11,11543054,3,1,1048219,1048320,65536,36,6,9,0.000301074,1,38033.073830
11,11543054,4,10,10494038,10494208,65536,21,3,79,0.002424205,1,24692.205229
11,11543054,5,8,8392535,8392704,16384,12,2,95,0.002919663,1,15907.663163
11,11543054,6,7,7342355,8326912,65536,21,3,83,0.002557151,1,24841.150779
11,11543054,7,2,2097908,3080960,65536,21,3,17,0.000559837,1,22579.836659
11,11543054,8,1,1048219,1540096,65536,36,6,9,0.000301074,1,38033.073830
12,12591020,0,7,7342355,7834624,65536,90,14,132,0.004066794,1,98610.794011
12,12591020,1,8,8392535,8392704,65536,73,13,144,0.004434726,1,81490.726371
12,12591020,2,2,2097908,3080960,65536,21,3,15,0.000493974,1,22505.973523
12,12591020,3,3,3146668,4129792,65536,12,2,11,0.000341997,1,12993.997264
12,12591020,4,1,1048219,1048320,65536,12,2,8,0.000267621,1,12907.621182
12,12591020,5,7,7342355,8326912,65536,54,8,132,0.004066794,1,60978.794011
12,12591020,6,8,8392535,8392704,16384,5,1,144,0.004434726,1,10322.726371
12,12591020,7,2,2097908,2097920,16384,12,2,15,0.000493974,1,13161.973523
12,12591020,8,1,1048219,1540096,65536,12,2,8,0.000267621,1,12907.621182
13,13641602,0,2,2097908,2097920,16384,24,4,14,0.000461042,1,25669.041955
13,13641602,1,3,3146668,4129792,65536,24,4,13,0.000404179,1,25608.178585
13,13641602,2,1,1048219,1048320,65536,24,4,11,0.000367979,1,25563.979126
13,13641602,3,7,7342355,7859200,16384,12,2,53,0.001632879,1,14452.879413
13,13641602,4,0,0,523520,1024,6,2,14,0.000544726,1,7064.725886
13,13641602,5,11,11543054,11543296,256,3,1,39,0.001194670,1,4614.669934
13,13641602,6,1,1048219,1540096,65536,24,4,11,0.000367979,1,25563.979126
13,13641602,7,7,7342355,7865344,4096,12,2,53,0.001632879,1,14452.879413
13,13641602,8,0,0,523776,256,6,2,14,0.000544726,1,7064.725886
14,14699215,0,2,2097908,2097920,16384,60,10,20,0.000658631,1,63522.631364
14,14699215,1,1,1048219,1048320,65536,60,10,13,0.000434884,1,63270.884421
14,14699215,2,3,3146668,4129792,65536,60,10,10,0.000310907,1,63134.906604
14,14699215,3,7,7342355,8326912,65536,42,6,130,0.004005176,1,48365.175920
14,14699215,4,12,12591020,12591104,65536,41,7,93,0.002864094,1,46180.094115
14,14699215,5,13,13641602,13641728,16384,42,6,54,0.001654158,1,45710.158370
14,14699215,6,6,6291800,7276800,65536,21,3,53,0.001710560,1,23874.560289
14,14699215,7,8,8392535,8392704,65536,16,2,127,0.003903129,1,21115.128650
14,14699215,8,2,2097908,3080960,65536,42,6,20,0.000658631,1,44578.631364
14,14699215,9,1,1048219,1540096,65536,60,10,13,0.000434884,1,63270.884421
14,14699215,10,8,8392535,8392704,16384,15,3,127,0.003903129,1,20219.128650
15,15749490,0,7,7342355,8326912,65536,63,9,210,0.006487288,1,73055.288005
15,15749490,1,13,13641602,13641728,16384,57,9,79,0.002440456,1,62340.455964
15,15749490,2,6,6291800,7276800,65536,45,7,62,0.002001033,1,49289.032791
15,15749490,3,2,2097908,3080960,65536,45,7,16,0.000526905,1,47630.905091
15,15749490,4,8,8392535,8392704,16384,24,4,224,0.006919774,1,32967.773872
15,15749490,5,12,12591020,12591104,65536,21,3,133,0.004108616,1,26592.615736
15,15749490,6,0,0,523520,1024,11,5,15,0.000583635,1,12611.634878
15,15749490,7,7,7342355,7865344,4096,25,5,210,0.006487288,1,33631.288005
15,15749490,8,6,6291800,7325952,16384,5,1,62,0.002001033,1,7561.032791
15,15749490,9,8,8392535,8392704,65536,21,3,224,0.006919774,1,29767.773872
15,15749490,10,0,0,523776,256,11,5,15,0.000583635,1,12611.634878
16,16797859,0,2,2097908,2097920,16384,57,9,18,0.000592768,1,60248.768228
16,16797859,1,1,1048219,1048320,65536,57,9,12,0.000401432,1,60033.431773
16,16797859,2,3,3146668,4129792,65536,57,9,12,0.000373088,1,60005.087924
16,16797859,3,15,15749490,16271616,4096,20,4,79,0.002440456,1,23812.455964
16,16797859,4,13,13641602,13641728,16384,12,2,30,0.000919371,1,13647.371150
16,16797859,5,8,8392535,8392704,16384,8,2,73,0.002243531,1,11047.530641
16,16797859,6,0,0,1047040,1024,3,1,12,0.000466908,1,3778.907902
16,16797859,7,1,1048219,1540096,65536,57,9,12,0.000401432,1,60033.431773
16,16797859,8,15,15749490,15749632,4096,8,2,79,0.002440456,1,11268.455964
17,17844648,0,7,7342355,7859200,16384,15,3,22,0.000677799,1,16573.799002
17,17844648,1,16,16797859,16797952,4096,10,2,41,0.001256474,1,11980.473905
17,17844648,2,7,7342355,7865344,4096,15,3,22,0.000677799,1,16573.799002
18,18895671,0,13,13641602,13641728,16384,104,16,36,0.001101490,1,109853.490071
18,18895671,1,2,2097908,3080960,65536,87,13,19,0.000625700,1,91517.699796
18,18895671,2,3,3146668,4129792,65536,66,10,10,0.000310907,1,69278.906604
18,18895671,3,1,1048219,1048320,65536,66,10,8,0.000267621,1,69227.621182
18,18895671,4,16,16797859,16797952,4096,31,7,31,0.000950017,1,33778.016855
18,18895671,5,15,15749490,16271616,4096,13,3,44,0.001359241,1,15295.241296
18,18895671,6,2,2097908,2097920,16384,66,10,19,0.000625700,1,69629.699796
18,18895671,7,1,1048219,1540096,65536,66,10,8,0.000267621,1,69227.621182
18,18895671,8,16,16797859,16797952,16384,17,3,31,0.000950017,1,18930.016855
18,18895671,9,15,15749490,16797440,256,1,1,44,0.001359241,1,2751.241296
19,19943395,0,13,13641602,13641728,16384,46,8,22,0.000673978,1,48953.978310
19,19943395,1,2,2097908,3080960,65536,46,8,18,0.000592768,1,48856.768228
19,19943395,2,1,1048219,1048320,65536,36,6,16,0.000535242,1,38295.242364
19,19943395,3,3,3146668,4129792,65536,36,6,11,0.000341997,1,38081.997264
19,19943395,4,16,16797859,16797952,4096,18,4,25,0.000766143,1,19874.142625
19,19943395,5,17,17844648,18368000,4096,8,2,23,0.000704614,1,9308.613688
19,19943395,6,2,2097908,2097920,16384,36,6,18,0.000592768,1,38360.768228
19,19943395,7,1,1048219,1540096,65536,36,6,16,0.000535242,1,38295.242364
20,20990874,0,7,7342355,7834624,65536,59,9,74,0.002279869,1,64207.869370
20,20990874,1,12,12591020,13575936,65536,54,8,144,0.004434726,1,61394.726371
20,20990874,2,16,16797859,16797952,4096,47,13,26,0.000799459,1,50759.458828
20,20990874,3,13,13641602,13641728,16384,39,7,38,0.001168440,1,42216.439825
20,20990874,4,15,15749490,16271616,4096,28,8,84,0.002594915,1,32690.915202
20,20990874,5,19,19943395,19943424,16384,24,4,35,0.001076195,1,26368.194576
20,20990874,6,2,2097908,3080960,65536,24,4,15,0.000493974,1,25705.973523
20,20990874,7,8,8392535,8392704,65536,21,3,99,0.003044093,1,25392.093229
20,20990874,8,1,1048219,1048320,65536,12,2,11,0.000367979,1,13019.979126
20,20990874,9,3,3146668,4129792,65536,12,2,10,0.000310907,1,12958.906604
20,20990874,10,0,0,523520,1024,3,1,15,0.000583635,1,3907.634878
20,20990874,11,7,7342355,7865344,4096,13,3,74,0.002279869,1,16335.869370
20,20990874,12,12,12591020,12591104,65536,21,3,144,0.004434726,1,26962.726371
20,20990874,13,16,16797859,16797952,16384,15,3,26,0.000799459,1,16711.458828
20,20990874,14,19,19943395,19943424,256,1,1,35,0.001076195,1,2432.194576
20,20990874,15,2,2097908,2097920,16384,12,2,15,0.000493974,1,13161.973523
20,20990874,16,1,1048219,1540096,65536,12,2,11,0.000367979,1,13019.979126
20,20990874,17,0,0,523776,256,3,1,15,0.000583635,1,3907.634878
21,22039791,0,13,13641602,13641728,16384,50,8,44,0.001362735,1,53826.735382
21,22039791,1,8,8392535,8392704,65536,42,6,80,0.002477701,1,46637.700694
21,22039791,2,12,12591020,12591104,65536,42,6,68,0.002106046,1,46218.045590
21,22039791,3,15,15749490,16732160,65536,37,7,92,0.002849356,1,42065.355798
21,22039791,4,7,7342355,8326912,65536,37,7,80,0.002477701,1,41645.700694
21,22039791,5,2,2097908,2097920,16384,39,7,15,0.000493974,1,41449.973523
21,22039791,6,1,1048219,1048320,65536,39,7,9,0.000301074,1,41233.073830
21,22039791,7,3,3146668,4129792,65536,39,7,9,0.000279816,1,41211.815943
21,22039791,8,16,16797859,16797952,4096,31,7,35,0.001083994,1,33927.994054
21,22039791,9,11,11543054,11543296,256,4,2,46,0.001424678,1,6024.677899
21,22039791,10,0,0,1047040,1024,4,2,5,0.000194545,1,4630.544959
21,22039791,11,8,8392535,9381632,65536,12,2,80,0.002477701,1,15405.700694
21,22039791,12,15,15749490,16271616,4096,5,1,92,0.002849356,1,8529.355798
21,22039791,13,7,7342355,7834624,65536,12,2,80,0.002477701,1,15405.700694
21,22039791,14,2,2097908,3080960,65536,21,3,15,0.000493974,1,22505.973523
21,22039791,15,1,1048219,1540096,65536,39,7,9,0.000301074,1,41233.073830
21,22039791,16,16,16797859,16797952,16384,29,5,35,0.001083994,1,31623.994054
22,23094528,0,2,2097908,2097920,16384,108,18,21,0.000691563,1,113735.562932
22,23094528,1,1,1048219,1048320,65536,108,18,13,0.000434884,1,113446.884421
22,23094528,2,3,3146668,4129792,65536,108,18,12,0.000373088,1,113381.087924
22,23094528,3,13,13641602,13641728,16384,50,10,32,0.000984403,1,53656.403359
22,23094528,4,16,16797859,16797952,16384,29,7,45,0.001384317,1,32220.317224
22,23094528,5,21,22039791,22534400,65536,24,4,100,0.003097126,1,28649.125867
22,23094528,6,12,12591020,12591104,65536,21,3,131,0.004034369,1,26510.369129
22,23094528,7,8,8392535,8392704,65536,21,3,100,0.003076260,1,25428.260498
22,23094528,8,15,15749490,16732160,65536,21,3,95,0.002934726,1,25266.725526
22,23094528,9,7,7342355,8326912,65536,21,3,87,0.002680387,1,24980.386962
22,23094528,10,0,0,0,256,3,1,13,0.000505817,1,3821.816894
22,23094528,11,19,19943395,19943424,256,1,1,28,0.000861353,1,2189.352939
22,23094528,12,2,2097908,3080960,65536,21,3,21,0.000691563,1,22727.562932
22,23094528,13,1,1048219,1540096,65536,108,18,13,0.000434884,1,113446.884421
22,23094528,14,16,16797859,16797952,4096,10,2,45,0.001384317,1,12124.317224
22,23094528,15,21,22039791,23090432,4096,20,4,100,0.003097126,1,24553.125867
22,23094528,16,15,15749490,16271616,4096,5,1,95,0.002934726,1,8626.725526
22,23094528,17,7,7342355,7865344,4096,16,4,87,0.002680387,1,19988.386962
23,24139211,0,15,15749490,16732160,65536,66,10,116,0.003583454,1,72975.454326
23,24139211,1,13,13641602,13641728,16384,53,9,35,0.001067464,1,56695.463706
23,24139211,2,7,7342355,8326912,65536,45,7,109,0.003358186,1,50834.185963
23,24139211,3,16,16797859,16797952,4096,39,9,42,0.001287120,1,42607.119610
23,24139211,4,2,2097908,3080960,65536,33,5,16,0.000526905,1,35086.905091
23,24139211,5,21,22039791,22534400,65536,24,4,76,0.002353816,1,27809.815659
23,24139211,6,8,8392535,8392704,65536,21,3,111,0.003411396,1,25807.395906
23,24139211,7,1,1048219,1048320,65536,21,3,10,0.000334526,1,22326.526478
23,24139211,8,3,3146668,4129792,65536,21,3,10,0.000310907,1,22302.906604
23,24139211,9,12,12591020,12591104,256,7,3,96,0.002956484,1,10956.484247
23,24139211,10,0,0,1047040,1024,4,2,13,0.000505817,1,4973.816894
23,24139211,11,15,15749490,16781312,16384,21,3,116,0.003583454,1,25999.454326
23,24139211,12,16,16797859,16797952,16384,20,4,42,0.001287120,1,22511.119610
23,24139211,13,2,2097908,2097920,16384,21,3,16,0.000526905,1,22542.905091
23,24139211,14,8,8392535,8911616,16384,15,3,111,0.003411396,1,19663.395906
23,24139211,15,1,1048219,1540096,65536,21,3,10,0.000334526,1,22326.526478
23,24139211,16,12,12591020,12591104,1024,7,3,96,0.002956484,1,10956.484247
23,24139211,17,0,0,523520,1024,3,1,13,0.000505817,1,3821.816894
24,25193445,0,13,13641602,13641728,16384,83,13,37,0.001132850,1,88000.849576
24,25193445,1,2,2097908,2097920,16384,54,8,21,0.000691563,1,57159.562932
24,25193445,2,1,1048219,1048320,65536,54,8,15,0.000501790,1,56945.789717
24,25193445,3,3,3146668,4129792,65536,54,8,12,0.000373088,1,56805.087924
