rank,source_group,source_start,source_length,source_class,candidate_recipients,recipient_classes,aggregate_phrase_score,aggregate_overlap_windows,best_recipient_score
0,40,41986401,1048172,mixed,205,1,13309,5258,672557.7423312883
1,136,142635942,1048683,mixed,121,1,6384,2499,643820.4241893076
2,2,2097908,1048760,list,106,1,6679,2556,523607.58796100045
3,16,16797859,1046789,list,106,1,5837,1925,346721.9396592153
4,115,120628164,1047845,list,88,1,5371,2117,424079.3590504451
5,13,13641602,1057613,list,83,1,7189,1688,779311.5421788894
6,1,1048219,1049689,list,81,1,4708,1511,248371.22148998093
7,246,257912791,1047837,mixed,73,1,4530,1933,178382.57670234216
8,44,46176335,1051863,url,65,1,3339,1423,208011.87969924812
9,39,40937191,1049210,url,65,1,3366,1402,208488.85518143183
10,3,3146668,1048846,list,65,1,3554,977,248027.66069815963
11,59,61910108,1051779,mixed,62,1,4612,1480,765575.8597721297
12,45,47228198,1048609,url,62,1,2911,1324,138845.41328017175
13,63,66113270,1048925,mixed,59,1,2176,1397,116878.17514472226
14,41,43034573,1047746,mixed,59,1,1660,1318,76647.0851884094
15,50,52478164,1048664,mixed,53,1,1524,1386,76644.18454869174
16,53,55623067,1050822,mixed,53,1,4404,1230,765105.6476774759
17,5,5243475,1048325,mixed,47,1,1516,1285,242139.80852792595
18,15,15749490,1048369,list,45,1,1291,1259,97710.50091863108
19,100,104910507,1052545,url,44,1,1662,890,109198.09698719326
20,166,174073824,1037472,list,43,1,2048,825,168395.9828071369
21,199,208625786,1049940,mixed,42,1,2530,964,241872.03105206744
22,95,99667131,1048501,mixed,41,1,2329,1141,166013.1158392435
23,113,118538560,1041394,url,41,1,1686,851,139058.23373419672
24,116,121676009,1048337,mixed,40,1,2013,947,108730.74313755559
25,169,177194672,1049078,list,40,1,2094,770,168559.83831712836
26,224,234819972,1047842,mixed,40,1,2123,717,120127.599654022
27,427,447690326,1052195,prose,37,1,14303,42629,911716.7434245433
28,430,450839473,1048996,prose,37,1,15365,41235,885166.9110707804
29,64,67162195,1048801,mixed,37,1,2188,898,160408.44853618118
30,163,170930787,1044859,list,37,1,2329,862,190663.17293612723
31,248,260009461,1049560,mixed,37,1,1895,745,91800.48809231525
32,26,27289725,1049665,list,36,1,1025,847,97956.48117584779
33,78,81846058,1049627,mixed,36,1,1869,811,134829.65335324127
34,102,107006226,1047887,url,36,1,1630,767,137622.77187719996
35,90,94428006,1047516,mixed,35,1,2119,835,151424.29015801917
36,111,116446163,1044254,url,35,1,1462,743,139090.87814932168
37,69,72413180,1048830,url,35,1,1268,743,118385.43493308015
38,141,147886989,1046933,mixed,35,1,2080,656,120197.38144075127
39,328,343975157,1042296,mixed,35,1,2298,634,169361.26576019777
40,431,451888469,1048228,prose,34,1,15278,45077,1076820.9489880998
41,99,103862041,1048466,url,34,1,1844,841,137872.1175199827
42,195,204438665,1048128,mixed,34,1,2460,594,141510.9541963712
43,83,87087641,1048959,mixed,33,1,2091,697,181351.44108498195
44,159,166741011,1051639,list,33,1,1801,696,168041.7459442914
45,67,70308921,1050169,mixed,33,1,1113,653,104411.94515349065
46,86,90235200,1048918,mixed,33,1,1171,545,63080.043058239025
47,214,224346187,1047114,mixed,32,1,1815,625,120197.38144075127
48,119,124811593,1048069,mixed,32,1,1700,539,108384.52773171182
49,274,287299757,1055750,mixed,31,1,1737,799,167569.3298835705
50,213,223297502,1048685,mixed,31,1,1833,713,120302.05412084518
51,247,258960628,1048833,mixed,31,1,1739,694,91764.48239113126
52,206,215970965,1044906,url,31,1,1117,656,139231.95956108987
53,207,217015871,1047427,url,31,1,1151,599,138949.42370802024
54,245,256863920,1048871,mixed,30,1,1615,751,95569.92541024365
55,93,97572014,1047722,mixed,30,1,1711,720,135110.50242627846
56,312,327181691,1047663,mixed,30,1,1767,599,169252.47411779172
57,221,231673695,1047074,mixed,30,1,1746,450,119918.3001019494
58,27,28339390,1043373,list,29,1,1484,701,248308.78099212158
59,219,229584458,1043218,mixed,29,1,1013,590,76609.22000309646
60,190,199197219,1048394,mixed,29,1,1730,552,120197.38144075127
61,84,88136600,1048261,mixed,29,1,1820,462,108386.37037037036
62,61,64013943,1049996,mixed,28,1,1113,676,241799.06856790202
63,109,114355709,1042596,url,28,1,1245,501,138813.31904805885
64,145,152070567,1048142,list,28,1,1515,437,167972.20003058572
65,347,363867419,1046794,mixed,27,1,2103,648,208224.97937794766
66,264,276803120,1051271,url,27,1,1313,499,208048.57012095457
67,148,155214816,1048578,list,26,1,730,515,59635.71432940817
68,440,461325735,1048384,prose,25,1,8524,33264,593129.8885957415
69,33,34637194,1045396,list,25,1,995,524,148084.78099212158
70,42,44082319,1047797,list,24,1,1238,620,248415.4245268311
71,66,69260290,1048631,mixed,24,1,1017,538,151459.3962921488
72,299,313551825,1048713,mixed,24,1,1311,471,113883.84499890976
73,0,0,1048219,list,23,1,744,952,518718.5111863352
74,387,405741416,1048692,mixed,23,1,2621,747,269707.140846052
75,81,84989531,1048734,mixed,23,1,1004,463,151283.86562150056
76,292,306213617,1058085,mixed,23,1,1231,363,91840.94589575338
77,289,303058980,1048563,mixed,23,1,1248,347,91596.28129255911
78,79,82895685,1048835,list,22,1,1161,398,248594.63939450803
79,284,297815604,1048908,url,22,1,1249,394,207975.18927754168
80,132,138449376,1039752,list,22,1,938,362,107513.26489923151
81,290,304107543,1056502,list,22,1,1182,297,107524.82631887276
82,322,337672152,1046807,mixed,21,1,1132,732,101888.39724680432
83,243,254771951,1044928,mixed,21,1,1344,466,169565.12480019673
