rank,pack_id,recipient_offset,recipient_length,best_phrase_score,best_signature_hits,candidate_count
0,505,529462376,1048479,2316,422,12
1,520,545046632,1048587,808,146,12
2,506,530510855,1048352,743,127,12
3,508,532607853,1048529,768,130,12
4,511,535752479,1045767,729,127,12
5,510,534703985,1048494,642,105,12
6,115,120628164,1047845,262,51,19
7,298,312501489,1050336,170,26,12
8,403,422496780,1048698,198,34,12
9,211,221201293,1047999,132,22,18
10,201,210723012,1051312,160,28,12
11,503,527365185,1048580,596,106,12
12,114,119579954,1048210,131,21,20
13,65,68210996,1049294,111,17,11
14,394,413070506,1049673,87,19,12
15,178,186621099,1049227,95,23,12
16,387,405741416,1048692,161,30,12
17,37,38839404,1047692,105,17,5
18,23,24139211,1054234,66,10,18
19,277,290456928,1049059,104,16,16
20,392,410974471,1049607,102,20,12
21,244,255816879,1047041,114,20,12
22,97,101762496,1047087,172,34,15
23,204,213871707,1048295,97,19,18
24,195,204438665,1048128,103,19,12
25,174,182438310,1048420,166,32,12
26,241,252671310,1046905,118,22,12
27,432,452936697,1048802,961,151,12
28,440,461325735,1048384,943,153,19
29,67,70308921,1050169,153,23,13
30,179,187670326,1039704,181,33,12
31,326,341876811,1050510,87,15,12
32,185,193947734,1051812,107,17,12
33,90,94428006,1047516,124,24,17
34,108,113303579,1052130,112,20,15
35,96,100715632,1046864,107,17,16
36,117,122724346,1039846,88,16,16
37,107,112256143,1047436,64,12,16
38,188,197095732,1052115,93,17,12
39,360,377443478,1050959,198,36,12
40,451,472849548,1048439,767,129,19
41,433,453985499,1048967,332,54,12
42,205,214920002,1050963,135,21,12
43,116,121676009,1048337,105,17,13
44,184,192900101,1047633,91,17,13
45,75,78698950,1050159,99,17,16
46,119,124811593,1048069,59,13,17
47,216,226442019,1046400,125,23,12
48,196,205486793,1041362,101,19,13
49,275,288355507,1053024,153,27,12
50,247,258960628,1048833,90,16,12
51,297,311453368,1048121,102,18,12
52,209,219110557,1046057,57,11,17
53,400,419351577,1048012,85,17,12
54,319,334529865,1047954,84,15,12
55,105,110158158,1049924,102,18,16
56,445,466568071,1042648,422,66,12
57,225,235867814,1050750,89,15,12
58,149,156263394,1050649,102,18,16
59,361,378494437,1047727,132,26,12
60,242,253718215,1053736,107,20,12
61,91,95475522,1047783,98,18,18
62,425,445586519,1055183,134,24,12
63,189,198147847,1049372,78,14,17
64,156,163601184,1044809,89,21,15
65,369,386863527,1045288,107,23,12
66,402,421448568,1048212,87,15,16
67,151,158360441,1048546,70,16,14
68,441,462374119,1047493,574,91,19
69,163,170930787,1044859,92,14,13
70,43,45130116,1046219,95,21,21
71,121,126906949,1049127,63,9,16
72,300,314600538,1047272,108,20,12
73,1,1048219,1049689,482,80,2
74,480,503265454,1048905,568,100,12
75,310,325085342,1046292,72,15,12
76,325,340808487,1068324,112,20,12
77,323,338718959,1044495,138,22,12
78,157,164645993,1046364,74,12,14
79,426,446641702,1048624,181,35,12
80,165,173025176,1048648,105,17,12
81,314,329292599,1047152,90,14,12
82,348,364914213,1049699,106,20,12
83,246,257912791,1047837,132,32,12
84,512,536798246,1049206,232,40,12
85,398,417255805,1048044,56,10,12
86,296,310405045,1048323,46,8,12
87,401,420399589,1048979,100,23,12
88,237,248479027,1046582,99,18,12
89,354,371185449,1028861,55,11,12
90,381,399446860,1048161,85,15,12
91,263,275758173,1044947,136,22,12
92,391,409923593,1050878,169,27,12
93,481,504314359,1048508,163,25,12
94,484,507459891,1047773,443,69,12
95,366,383725790,1040959,97,19,12
96,489,512699987,1048981,432,72,12
97,507,531559207,1048646,726,120,12
98,424,444541495,1045024,71,17,12
99,140,146842039,1044950,74,14,17
100,444,465519446,1048625,604,105,21
101,437,458179200,1048395,437,71,12
102,446,467610719,1049050,346,62,12
103,99,103862041,1048466,54,8,11
104,364,381629630,1049905,52,10,12
105,430,450839473,1048996,593,89,12
106,78,81846058,1049627,104,18,20
107,130,136352001,1050287,91,15,17
108,465,487540246,1047893,880,148,13
109,485,508507664,1048084,541,93,12
110,170,178243750,1052178,69,11,12
111,363,380587074,1042556,150,48,12
112,431,451888469,1048228,595,103,14
113,226,236918564,1043149,85,15,12
114,408,427733402,1055352,86,14,14
115,372,390012994,1038573,84,16,12
116,349,365963912,1044354,93,19,12
117,447,468659769,1048306,567,101,12
118,159,166741011,1051639,87,13,12
119,70,73462010,1043106,114,18,19
120,457,479152114,1046738,385,59,12
121,443,464470470,1048976,688,106,20
122,371,388958357,1054637,85,16,12
123,86,90235200,1048918,91,17,17
124,388,406790108,1048822,142,26,12
125,264,276803120,1051271,51,11,16
126,335,351277904,1048299,91,17,12
127,477,500120061,1048419,685,113,12
128,470,492781013,1047740,1013,164,12
129,436,457131352,1047848,467,71,13
130,418,438220351,1064821,111,19,12
131,171,179295928,1047324,72,16,15
132,420,440330985,1048630,149,25,10
133,150,157314043,1046398,66,14,16
134,478,501168480,1047973,786,128,12
135,461,483344345,1048184,639,99,15
136,454,476005114,1048830,766,124,18
137,483,506411119,1048772,607,95,12
138,475,498023217,1048878,417,74,12
139,12,12591020,1050582,90,14,9
140,173,181386073,1052237,123,21,12
141,251,263175200,1050600,90,14,12
142,380,398394903,1051957,125,25,12
143,320,335577819,1043567,81,17,12
144,375,393152014,1051028,77,13,12
145,501,525271199,1046106,229,35,12
146,177,185575336,1045763,46,10,13
147,449,470755850,1045649,638,108,18
148,20,20990874,1048917,59,13,18
149,141,147886989,1046933,57,9,13
150,284,297815604,1048908,49,10,14
151,213,223297502,1048685,115,19,12
152,27,28339390,1043373,87,15,16
153,435,456082902,1048450,274,50,12
154,345,361781130,1038604,60,14,12
155,434,455034466,1048436,214,40,12
156,490,513748968,1047901,657,103,12
157,471,493828753,1049457,983,149,12
158,459,481246748,1048413,509,81,17
159,452,473897987,1059005,712,112,18
160,482,505362867,1048252,455,74,12
161,469,491732832,1048181,540,96,12
162,21,22039791,1054737,50,8,17
163,111,116446163,1044254,60,10,18
164,255,267368621,1046053,64,16,12
165,472,494878210,1048247,819,135,12
166,455,477053944,1049318,545,93,17
167,492,515845125,1049095,760,118,12
168,460,482295161,1049184,696,108,17
169,439,460276478,1049257,625,95,18
170,450,471801499,1048049,454,70,12
171,488,511651677,1048310,518,88,12
172,155,162553906,1047278,60,12,14
173,167,175111296,1052652,78,12,12
174,260,272612496,1050255,108,16,12
175,509,533656382,1047603,596,98,12
176,414,434027024,1049104,54,8,12
177,142,148933922,1051128,63,9,18
178,373,391051567,1050407,51,11,13
179,491,514796869,1048256,747,117,12
180,466,488588139,1047723,579,93,12
181,473,495926457,1048643,723,111,12
182,468,490684771,1048061,831,131,12
183,463,485442897,1047962,573,99,14
184,486,509555748,1047394,413,71,12
185,467,489635862,1048909,496,76,12
186,519,544000072,1046560,103,17,12
187,522,547143784,1048619,3279,617,4
188,397,416216119,1039686,66,10,15
189,377,395251046,1046860,51,9,12
190,35,36735523,1050153,66,14,18
191,332,348133198,1044800,51,11,12
192,493,516894220,1049390,734,114,12
193,474,496975100,1048117,628,102,12
194,464,486490859,1049387,765,121,14
195,487,510603142,1048535,615,97,12
196,448,469708075,1047775,588,88,19
197,523,548192403,1048565,3029,605,6
198,456,478103262,1048852,160,28,12
199,399,418303849,1047728,34,8,16
200,404,423545478,1042307,103,17,12
201,83,87087641,1048959,78,14,18
202,95,99667131,1048501,72,16,14
203,64,67162195,1048801,96,22,12
204,233,244274074,1052550,84,14,12
205,494,517943610,1047909,965,161,12
206,496,520039711,1049031,932,156,12
207,497,521088742,1048925,814,136,12
208,462,484392529,1050368,586,102,14
209,476,499072095,1047966,658,106,12
210,524,549240968,1048632,3250,644,8
211,514,538902052,946727,81,13,13
212,199,208625786,1049940,62,14,12
213,72,75550861,1049284,66,10,15
214,227,237961713,1046633,54,9,17
215,194,203389689,1048976,67,15,12
216,350,367008266,1045634,38,8,12
217,182,190806814,1045886,57,13,12
218,479,502216453,1049001,702,111,12
219,498,522137667,1048041,682,102,12
220,458,480198852,1047896,408,66,18
221,525,550289600,1048564,3610,706,10
222,513,537847452,1054600,41,7,12
223,517,542108161,900155,244,58,15
224,428,448742521,1048964,190,28,15
225,515,539848779,1020241,12,2,10
226,24,25193445,1048781,83,13,17
227,77,80797080,1048978,85,21,19
228,197,206528155,1049722,93,17,12
