stream_class,profile_rank,donor_offset,donor_length,recipient_mentions,phrase_score,signature_hits
0,0,451355648,16384,33,14118,2416
0,1,451888640,65536,31,13323,2075
0,2,447690496,65536,33,12298,1912
0,3,448183552,65536,26,9456,1516
0,4,485934080,65536,13,7111,1173
0,5,452870912,65536,11,6823,1061
0,6,493272064,65536,14,6577,1055
1,0,528935936,4096,9,22724,4426
1,1,529445888,16384,9,18665,3439
1,2,528929792,16384,9,14486,2780
1,3,547143936,4096,7,10299,2261
1,4,548188160,4096,7,9042,2224
1,5,546617344,4096,5,8399,1739
1,6,529458176,4096,9,7974,1574
6,0,40937216,16384,76,3619,633
6,1,46694144,16384,74,3567,623
6,2,48260352,16384,56,2390,416
6,3,46669568,65536,48,2187,381
6,4,118538752,16384,45,1797,313
6,5,47719680,65536,43,1721,273
6,6,73457664,4096,64,1653,375
8,0,91284224,1024,1,27,5
9,0,13641728,16384,107,7687,1305
9,1,1048320,65536,125,6906,1206
9,2,16797952,4096,117,6300,1424
9,3,3080960,65536,77,4596,734
9,4,4129792,65536,94,4201,727
9,5,121671680,4096,87,3732,862
9,6,2097920,16384,75,3630,626
10,0,42968832,65536,141,8752,1536
10,1,42508288,4096,136,8362,1910
10,2,56115712,65536,144,7853,1261
10,3,62403072,65536,138,7700,1238
10,4,143680512,4096,130,7244,1678
10,5,456082944,16384,12,5290,932
10,6,43556352,4096,190,5008,1148
