rank,pack_id,recipient_offset,recipient_length,best_phrase_score,best_signature_hits,candidate_count
0,525,550289600,1048564,3610,706,32
1,526,551338164,1048610,3492,674,32
2,528,553435380,1048533,3428,642,32
3,522,547143784,1048619,3279,617,26
4,524,549240968,1048632,3250,618,32
5,521,546095219,1048565,3115,595,12
6,523,548192403,1048565,3029,569,32
7,527,552386774,1048606,3029,563,32
8,505,529462376,1048479,2316,422,32
9,529,554483913,383400,1344,250,32
10,470,492781013,1047740,1013,159,32
11,471,493828753,1049457,983,149,32
12,494,517943610,1047909,965,161,32
13,432,452936697,1048802,961,151,32
14,440,461325735,1048384,943,153,32
15,496,520039711,1049031,932,156,32
16,465,487540246,1047893,880,148,32
17,468,490684771,1048061,831,129,32
18,472,494878210,1048247,819,135,32
19,497,521088742,1048925,814,136,32
20,520,545046632,1048587,808,146,32
21,478,501168480,1047973,786,128,32
22,508,532607853,1048529,768,130,32
23,451,472849548,1048439,767,129,32
24,454,476005114,1048830,766,124,32
25,464,486490859,1049387,765,119,32
26,492,515845125,1049095,760,118,32
27,491,514796869,1048256,747,117,32
28,506,530510855,1048352,743,127,32
29,493,516894220,1049390,734,114,32
30,511,535752479,1045767,729,127,32
31,507,531559207,1048646,726,120,32
32,473,495926457,1048643,723,111,32
33,499,523185708,1047713,722,112,32
34,452,473897987,1059005,712,112,32
35,479,502216453,1049001,702,110,32
36,460,482295161,1049184,696,108,32
37,443,464470470,1048976,688,106,32
38,477,500120061,1048419,685,113,32
39,498,522137667,1048041,682,102,32
40,500,524233421,1037778,660,102,32
41,476,499072095,1047966,658,106,32
42,490,513748968,1047901,657,103,32
43,495,518991519,1048192,652,112,32
44,510,534703985,1048494,642,104,32
45,461,483344345,1048184,639,99,32
46,449,470755850,1045649,638,108,32
47,474,496975100,1048117,628,102,32
48,439,460276478,1049257,625,95,32
49,487,510603142,1048535,615,97,32
50,483,506411119,1048772,607,95,32
51,444,465519446,1048625,604,92,32
52,503,527365185,1048580,596,106,32
53,509,533656382,1047603,596,98,32
54,431,451888469,1048228,595,103,32
55,430,450839473,1048996,593,89,28
56,448,469708075,1047775,588,88,32
57,462,484392529,1050368,586,102,32
58,466,488588139,1047723,579,93,32
59,441,462374119,1047493,574,90,32
60,463,485442897,1047962,573,99,32
61,480,503265454,1048905,568,100,32
62,447,468659769,1048306,567,101,32
63,455,477053944,1049318,545,93,32
64,485,508507664,1048084,541,85,32
65,469,491732832,1048181,540,96,32
66,453,474956992,1048122,530,86,32
67,488,511651677,1048310,518,88,32
68,459,481246748,1048413,509,81,32
69,467,489635862,1048909,496,76,32
70,1,1048219,1049689,482,80,13
71,436,457131352,1047848,467,71,32
72,438,459227595,1048883,465,71,32
73,482,505362867,1048252,455,71,32
74,450,471801499,1048049,454,70,32
75,484,507459891,1047773,443,69,32
76,437,458179200,1048395,437,71,32
77,489,512699987,1048981,432,72,32
78,445,466568071,1042648,422,66,32
79,475,498023217,1048878,417,63,32
80,486,509555748,1047394,413,71,32
81,458,480198852,1047896,408,66,32
82,457,479152114,1046738,385,59,32
83,446,467610719,1049050,346,62,32
84,433,453985499,1048967,332,54,32
85,442,463421612,1048858,322,50,32
86,502,526317305,1047880,301,49,32
87,435,456082902,1048450,274,50,32
88,115,120628164,1047845,262,44,32
89,517,542108161,900155,244,58,32
90,512,536798246,1049206,232,40,32
91,501,525271199,1046106,229,35,32
92,2,2097908,1048760,215,35,21
93,434,455034466,1048436,214,40,32
94,360,377443478,1050959,198,36,32
95,403,422496780,1048698,198,34,32
96,428,448742521,1048964,190,28,32
97,38,39887096,1050095,182,30,32
98,426,446641702,1048624,181,35,32
99,179,187670326,1039704,181,33,32
100,97,101762496,1047087,172,34,32
101,298,312501489,1050336,170,26,32
102,391,409923593,1050878,169,27,32
103,174,182438310,1048420,166,32,32
104,481,504314359,1048508,163,25,32
105,387,405741416,1048692,161,27,32
106,201,210723012,1051312,160,28,32
107,456,478103262,1048852,160,28,32
108,275,288355507,1053024,153,27,32
109,67,70308921,1050169,153,23,17
110,363,380587074,1042556,150,48,32
111,420,440330985,1048630,149,25,15
112,427,447690326,1052195,143,25,15
113,388,406790108,1048822,142,26,32
114,323,338718959,1044495,138,22,32
115,54,56673889,1049159,136,24,10
116,263,275758173,1044947,136,22,32
117,205,214920002,1050963,135,21,32
118,425,445586519,1055183,134,24,32
119,246,257912791,1047837,132,32,32
120,361,378494437,1047727,132,26,32
121,211,221201293,1047999,132,22,32
122,518,543008316,991756,132,20,12
123,114,119579954,1048210,131,21,27
124,380,398394903,1051957,125,25,32
125,216,226442019,1046400,125,23,32
126,90,94428006,1047516,124,24,32
127,173,181386073,1052237,123,21,32
128,241,252671310,1046905,118,22,32
129,282,295717238,1048109,117,21,32
130,274,287299757,1055750,117,19,32
131,429,449791485,1047988,117,17,32
132,262,274710082,1048091,116,20,32
133,213,223297502,1048685,115,19,32
134,244,255816879,1047041,114,20,32
135,70,73462010,1043106,114,18,23
136,108,113303579,1052130,112,20,18
137,325,340808487,1068324,112,20,32
138,421,441379615,1058817,111,23,32
139,418,438220351,1064821,111,19,32
140,65,68210996,1049294,111,17,14
141,300,314600538,1047272,108,20,32
142,22,23094528,1044683,108,18,18
143,260,272612496,1050255,108,16,32
144,369,386863527,1045288,107,23,32
145,96,100715632,1046864,107,17,32
146,185,193947734,1051812,107,17,32
147,242,253718215,1053736,107,17,32
148,348,364914213,1049699,106,20,32
149,37,38839404,1047692,105,17,9
150,116,121676009,1048337,105,17,32
151,165,173025176,1048648,105,17,32
152,78,81846058,1049627,104,18,31
153,516,540869020,1239141,104,18,19
154,18,18895671,1047724,104,16,10
155,277,290456928,1049059,104,16,32
156,195,204438665,1048128,103,19,32
157,404,423545478,1042307,103,17,32
158,519,544000072,1046560,103,17,32
159,392,410974471,1049607,102,20,32
160,105,110158158,1049924,102,18,32
161,149,156263394,1050649,102,18,32
162,297,311453368,1048121,102,18,32
163,196,205486793,1041362,101,19,32
164,401,420399589,1048979,100,22,32
165,55,57723048,1049196,99,17,10
166,75,78698950,1050159,99,17,22
167,237,248479027,1046582,99,15,32
168,50,52478164,1048664,98,22,5
169,91,95475522,1047783,98,18,32
170,204,213871707,1048295,97,19,32
171,366,383725790,1040959,97,19,32
172,64,67162195,1048801,96,22,14
173,47,49326598,1048518,96,16,5
174,276,289408531,1048397,96,16,32
