stream_class,profile_rank,donor_offset,donor_length,recipient_mentions,phrase_score,signature_hits
0,0,451355648,16384,27,12378,2120
0,1,451888640,65536,18,9395,1469
0,2,452870912,65536,11,6823,1061
0,3,447690496,65536,13,5954,922
0,4,485934080,65536,9,5910,972
0,5,448183552,65536,11,5214,830
0,6,471245824,65536,9,5163,841
1,0,528935936,4096,9,22724,4426
1,1,529445888,16384,9,18665,3439
1,2,528929792,16384,3,9316,1762
1,3,547143936,4096,6,9099,1989
1,4,550811648,4096,4,7740,1722
1,5,550289664,16384,3,6663,1297
1,6,549241088,16384,2,6507,1235
6,0,40937216,16384,71,3475,607
6,1,48260352,16384,54,2363,411
6,2,46669568,65536,47,2175,379
6,3,46694144,16384,34,1815,319
6,4,118538752,16384,35,1571,273
6,5,117424640,65536,34,1412,244
6,6,47719680,65536,30,1258,200
8,0,91284224,1024,1,27,5
9,0,13641728,16384,83,7194,1222
9,1,16797952,4096,92,5067,1151
9,2,1048320,65536,92,4869,843
9,3,1540096,65536,92,4779,829
9,4,3080960,65536,70,3850,616
9,5,4129792,65536,68,3570,616
9,6,2097920,16384,67,3515,605
10,0,42968832,65536,160,9292,1634
10,1,43017984,16384,153,8971,1579
10,2,42508288,4096,129,7432,1694
10,3,456082944,16384,15,6397,1131
10,4,56115712,65536,62,4513,739
10,5,62403072,65536,49,4012,660
10,6,143680512,4096,65,3827,881
