pack_id,recipient_offset,recipient_length,candidate_rank,donor_offset,donor_length,phrase_score,signature_hits,recipient_class,donor_class
2,2097908,1048760,0,1048320,65536,4869,843,9,9
2,2097908,1048760,1,1540096,65536,4779,829,9,9
3,3146668,1048846,0,1048320,65536,4869,843,9,9
3,3146668,1048846,1,1540096,65536,4779,829,9,9
3,3146668,1048846,2,3080960,65536,3850,616,9,9
3,3146668,1048846,3,2097920,16384,3515,605,9,9
6,6291800,1050555,0,1048320,65536,4869,843,9,9
6,6291800,1050555,1,1540096,65536,4779,829,9,9
6,6291800,1050555,2,3080960,65536,3850,616,9,9
6,6291800,1050555,3,4129792,65536,3570,616,9,9
6,6291800,1050555,4,2097920,16384,3515,605,9,9
7,7342355,1050180,0,1048320,65536,4869,843,9,9
7,7342355,1050180,1,1540096,65536,4779,829,9,9
7,7342355,1050180,2,3080960,65536,3850,616,9,9
7,7342355,1050180,3,4129792,65536,3570,616,9,9
7,7342355,1050180,4,2097920,16384,3515,605,9,9
8,8392535,1054725,0,1048320,65536,4869,843,9,9
8,8392535,1054725,1,1540096,65536,4779,829,9,9
8,8392535,1054725,2,3080960,65536,3850,616,9,9
8,8392535,1054725,3,4129792,65536,3570,616,9,9
8,8392535,1054725,4,2097920,16384,3515,605,9,9
10,10494038,1049016,0,1048320,65536,4869,843,9,9
10,10494038,1049016,1,1540096,65536,4779,829,9,9
10,10494038,1049016,2,3080960,65536,3850,616,9,9
10,10494038,1049016,3,4129792,65536,3570,616,9,9
10,10494038,1049016,4,2097920,16384,3515,605,9,9
11,11543054,1047966,0,1048320,65536,4869,843,9,9
11,11543054,1047966,1,1540096,65536,4779,829,9,9
11,11543054,1047966,2,3080960,65536,3850,616,9,9
11,11543054,1047966,3,4129792,65536,3570,616,9,9
11,11543054,1047966,4,2097920,16384,3515,605,9,9
12,12591020,1050582,0,1048320,65536,4869,843,9,9
12,12591020,1050582,1,1540096,65536,4779,829,9,9
12,12591020,1050582,2,3080960,65536,3850,616,9,9
12,12591020,1050582,3,4129792,65536,3570,616,9,9
12,12591020,1050582,4,2097920,16384,3515,605,9,9
13,13641602,1057613,0,1048320,65536,4869,843,9,9
13,13641602,1057613,1,1540096,65536,4779,829,9,9
13,13641602,1057613,2,3080960,65536,3850,616,9,9
13,13641602,1057613,3,4129792,65536,3570,616,9,9
13,13641602,1057613,4,2097920,16384,3515,605,9,9
14,14699215,1050275,0,13641728,16384,7194,1222,9,9
14,14699215,1050275,1,1048320,65536,4869,843,9,9
14,14699215,1050275,2,1540096,65536,4779,829,9,9
14,14699215,1050275,3,3080960,65536,3850,616,9,9
14,14699215,1050275,4,4129792,65536,3570,616,9,9
14,14699215,1050275,5,2097920,16384,3515,605,9,9
15,15749490,1048369,0,13641728,16384,7194,1222,9,9
15,15749490,1048369,1,1048320,65536,4869,843,9,9
15,15749490,1048369,2,1540096,65536,4779,829,9,9
15,15749490,1048369,3,3080960,65536,3850,616,9,9
15,15749490,1048369,4,4129792,65536,3570,616,9,9
15,15749490,1048369,5,2097920,16384,3515,605,9,9
16,16797859,1046789,0,13641728,16384,7194,1222,9,9
16,16797859,1046789,1,1048320,65536,4869,843,9,9
16,16797859,1046789,2,1540096,65536,4779,829,9,9
16,16797859,1046789,3,3080960,65536,3850,616,9,9
16,16797859,1046789,4,4129792,65536,3570,616,9,9
