rank,pack_id,recipient_offset,recipient_length,best_phrase_score,best_signature_hits,candidate_count
0,1,1048219,1049689,482,80,12
1,2,2097908,1048760,215,35,12
2,18,18895671,1047724,104,16,10
3,5,5243475,1048325,96,14,4
4,12,12591020,1050582,90,14,12
5,8,8392535,1054725,84,12,11
6,10,10494038,1049016,63,9,6
7,15,15749490,1048369,63,9,12
8,14,14699215,1050275,60,10,11
9,20,20990874,1048917,59,9,12
10,16,16797859,1046789,57,9,9
11,21,22039791,1054737,50,8,12
12,3,3146668,1048846,48,8,8
13,11,11543054,1047966,46,8,10
14,19,19943395,1047479,46,8,8
15,6,6291800,1050555,33,5,6
16,7,7342355,1050180,31,5,7
17,13,13641602,1057613,24,4,9
18,9,9447260,1046778,22,4,1
19,17,17844648,1051023,15,3,3
20,0,0,1048219,0,0,0
21,4,4195514,1047961,0,0,0
