pack_id,first_page,page_count,post_r1_start,post_r1_end,post_r1_length,decoded_length,stream_class,class_name,feature_mask
0,0,1337,0,1048219,1048219,1460272,9,list,1015
1,1337,554,1048219,2097908,1049689,1487737,9,list,887
2,1891,951,2097908,3146668,1048760,1452177,9,list,1015
3,2842,216,3146668,4195514,1048846,1248446,9,list,743
4,3058,379,4195514,5243475,1047961,1603266,10,mixed,1015
5,3437,520,5243475,6291800,1048325,1393309,10,mixed,1015
6,3957,279,6291800,7342355,1050555,1550960,9,list,1015
7,4236,295,7342355,8392535,1050180,1581489,9,list,1015
8,4531,292,8392535,9447260,1054725,1557640,9,list,1015
9,4823,257,9447260,10494038,1046778,1617508,10,mixed,1015
10,5080,352,10494038,11543054,1049016,1598073,9,list,1015
11,5432,234,11543054,12591020,1047966,1613448,9,list,1015
12,5666,211,12591020,13641602,1050582,1635910,9,list,1015
13,5877,206,13641602,14699215,1057613,1644491,9,list,1015
14,6083,197,14699215,15749490,1050275,1643775,9,list,1015
15,6280,286,15749490,16797859,1048369,1580000,9,list,1015
16,6566,165,16797859,17844648,1046789,1641271,9,list,1015
17,6731,105,17844648,18895671,1051023,1456563,9,list,1015
18,6836,214,18895671,19943395,1047724,1623430,9,list,1015
19,7050,199,19943395,20990874,1047479,1568838,9,list,1015
20,7249,187,20990874,22039791,1048917,1583118,9,list,1015
21,7436,167,22039791,23094528,1054737,1565207,9,list,1015
22,7603,217,23094528,24139211,1044683,1573542,9,list,1015
23,7820,211,24139211,25193445,1054234,1565463,9,list,1015
24,8031,284,25193445,26242226,1048781,1602638,9,list,1015
25,8315,336,26242226,27289725,1047499,1658517,10,mixed,1015
26,8651,370,27289725,28339390,1049665,1616692,9,list,1015
27,9021,269,28339390,29382763,1043373,1581662,9,list,1015
28,9290,202,29382763,30430735,1047972,1526031,9,list,1015
29,9492,216,30430735,31484883,1054148,1741260,10,mixed,1015
30,9708,287,31484883,32531029,1046146,1729290,6,url,1015
31,9995,254,32531029,33581405,1050376,1806192,6,url,1015
32,10249,252,33581405,34637194,1055789,1742096,9,list,1015
33,10501,268,34637194,35682590,1045396,1626208,9,list,1015
34,10769,296,35682590,36735523,1052933,1701264,10,mixed,1015
35,11065,325,36735523,37785676,1050153,1605191,9,list,1015
36,11390,296,37785676,38839404,1053728,1728232,6,url,1015
37,11686,268,38839404,39887096,1047692,1679031,10,mixed,1015
