recipient_region,recipient_offset,candidate_rank,donor_offset,baseline_payload_bytes,donor_payload_bytes,gain_bytes,status
2,2097152,0,1050368,140741,140762,-21,baseline
5,5242880,0,4277504,117321,117327,-6,baseline
7,7340032,0,6567936,218709,218752,-43,baseline
8,8388608,0,7842560,201480,201504,-24,baseline
9,9437184,0,7843072,232687,232710,-23,baseline
9,9437184,1,8709120,232687,232702,-15,baseline
10,10485760,0,8327424,238177,238205,-28,baseline
10,10485760,1,8804864,238177,238201,-24,baseline
10,10485760,2,9463808,238177,238193,-16,baseline
11,11534336,0,7843328,246345,246368,-23,baseline
11,11534336,1,9461760,246345,246359,-14,baseline
11,11534336,2,11369984,246345,246367,-22,baseline
12,12582912,0,7842560,223855,223868,-13,baseline
12,12582912,1,8709120,223855,223865,-10,baseline
12,12582912,2,9461760,223855,223865,-10,baseline
12,12582912,3,11369728,223855,223869,-14,baseline
12,12582912,4,12367104,223855,223868,-13,baseline
13,13631488,0,9992192,245237,245269,-32,baseline
13,13631488,1,10827264,245237,245273,-36,baseline
13,13631488,2,11850752,245237,245265,-28,baseline
13,13631488,3,12915712,245237,245266,-29,baseline
14,14680064,0,8327424,225195,225232,-37,baseline
14,14680064,1,9992448,225195,225226,-31,baseline
14,14680064,2,10849536,225195,225239,-44,baseline
14,14680064,3,11850752,225195,225225,-30,baseline
14,14680064,4,12915712,225195,225224,-29,baseline
14,14680064,5,14482432,225195,225233,-38,baseline
15,15728640,0,7842560,198533,198540,-7,baseline
15,15728640,1,8804352,198533,198545,-12,baseline
15,15728640,2,9461504,198533,198546,-13,baseline
15,15728640,3,11369984,198533,198547,-14,baseline
15,15728640,4,12367104,198533,198546,-13,baseline
15,15728640,5,13009920,198533,198541,-8,baseline
15,15728640,6,14481920,198533,198540,-7,baseline
15,15728640,7,15540992,198533,198546,-13,baseline
16,16777216,0,9992704,239226,239258,-32,baseline
16,16777216,1,11261184,239226,239251,-25,baseline
16,16777216,2,11850752,239226,239261,-35,baseline
16,16777216,3,12915712,239226,239258,-32,baseline
16,16777216,4,14196224,239226,239253,-27,baseline
16,16777216,5,15037184,239226,239252,-26,baseline
16,16777216,6,15930368,239226,239254,-28,baseline
17,17825792,0,7677952,198613,198628,-15,baseline
17,17825792,1,8665088,198613,198621,-8,baseline
17,17825792,2,9723392,198613,198635,-22,baseline
17,17825792,3,11283712,198613,198633,-20,baseline
17,17825792,4,12000000,198613,198631,-18,baseline
17,17825792,5,13707776,198613,198625,-12,baseline
17,17825792,6,14897664,198613,198631,-18,baseline
17,17825792,7,16174848,198613,198626,-13,baseline
17,17825792,8,17766912,198613,198630,-17,baseline
18,18874368,0,9992192,236063,236103,-40,baseline
18,18874368,1,11283712,236063,236074,-11,baseline
18,18874368,2,11692032,236063,236090,-27,baseline
18,18874368,3,12915456,236063,236099,-36,baseline
18,18874368,4,14195968,236063,236081,-18,baseline
18,18874368,5,15037184,236063,236081,-18,baseline
18,18874368,6,15928320,236063,236083,-20,baseline
18,18874368,7,16961024,236063,236080,-17,baseline
19,19922944,0,9992192,216587,216610,-23,baseline
19,19922944,1,11283712,216587,216604,-17,baseline
19,19922944,2,11850496,216587,216606,-19,baseline
19,19922944,3,12915456,216587,216609,-22,baseline
19,19922944,4,13717760,216587,216605,-18,baseline
19,19922944,5,15037184,216587,216599,-12,baseline
19,19922944,6,15930112,216587,216602,-15,baseline
19,19922944,7,17804288,216587,216602,-15,baseline
19,19922944,8,17955584,216587,216601,-14,baseline
19,19922944,9,19500800,216587,216600,-13,baseline
20,20971520,0,9461760,210073,210082,-9,baseline
20,20971520,1,11369984,210073,210082,-9,baseline
20,20971520,2,12367104,210073,210079,-6,baseline
20,20971520,3,13009920,210073,210083,-10,baseline
20,20971520,4,14196224,210073,210095,-22,baseline
20,20971520,5,15540736,210073,210082,-9,baseline
20,20971520,6,16308736,210073,210084,-11,baseline
20,20971520,7,17468672,210073,210090,-17,baseline
20,20971520,8,19521024,210073,210097,-24,baseline
