pack_id,recipient_offset,recipient_length,candidate_rank,donor_offset,donor_length,phrase_score,signature_hits
1,261973,261851,0,196608,4096,26,26
1,261973,261851,1,32768,4096,24,24
1,261973,261851,2,53248,4096,21,21
1,261973,261851,3,143360,4096,21,21
1,261973,261851,4,233472,4096,21,21
1,261973,261851,5,172032,4096,20,20
1,261973,261851,6,98304,4096,19,19
1,261973,261851,7,237568,4096,19,19
1,261973,261851,8,135168,4096,18,18
1,261973,261851,9,4096,4096,16,16
1,261973,261851,10,90112,4096,14,14
1,261973,261851,11,0,4096,12,12
2,523827,262023,0,438272,4096,23,23
2,523827,262023,1,385024,4096,20,20
2,523827,262023,2,356352,4096,19,19
2,523827,262023,3,425984,4096,18,18
2,523827,262023,4,90112,4096,16,16
2,523827,262023,5,323584,4096,15,15
2,523827,262023,6,507904,4096,15,15
2,523827,262023,7,98304,4096,14,14
2,523827,262023,8,233472,4096,14,14
2,523827,262023,9,503808,4096,14,14
2,523827,262023,10,53248,4096,13,13
2,523827,262023,11,143360,4096,13,13
3,785853,261386,0,749568,4096,20,20
3,785853,261386,1,741376,4096,18,18
3,785853,261386,2,24576,4096,17,17
3,785853,261386,3,540672,4096,17,17
3,785853,261386,4,778240,4096,17,17
3,785853,261386,5,593920,4096,16,16
3,785853,261386,6,745472,4096,16,16
3,785853,261386,7,622592,4096,15,15
3,785853,261386,8,65536,4096,13,13
3,785853,261386,9,671744,4096,12,12
3,785853,261386,10,565248,4096,11,11
3,785853,261386,11,761856,4096,11,11
4,1047242,261120,0,790528,4096,11,11
4,1047242,261120,1,4096,4096,9,9
4,1047242,261120,2,24576,4096,8,8
4,1047242,261120,3,90112,4096,8,8
4,1047242,261120,4,798720,4096,8,8
4,1047242,261120,5,880640,4096,8,8
4,1047242,261120,6,12288,4096,7,7
4,1047242,261120,7,929792,4096,7,7
4,1047242,261120,8,937984,4096,7,7
4,1047242,261120,9,1040384,4096,7,7
4,1047242,261120,10,65536,4096,6,6
4,1047242,261120,11,835584,4096,6,6
5,1308365,260288,0,24576,4096,11,11
5,1308365,260288,1,749568,4096,11,11
5,1308365,260288,2,1298432,4096,11,11
5,1308365,260288,3,53248,4096,10,10
5,1308365,260288,4,65536,4096,10,10
5,1308365,260288,5,143360,4096,10,10
5,1308365,260288,6,1273856,4096,9,9
5,1308365,260288,7,1286144,4096,9,9
5,1308365,260288,8,626688,4096,8,8
5,1308365,260288,9,978944,4096,8,8
5,1308365,260288,10,1114112,4096,8,8
5,1308365,260288,11,1261568,4096,8,8
6,1568656,261781,0,53248,4096,8,8
6,1568656,261781,1,143360,4096,8,8
6,1568656,261781,2,1540096,4096,8,8
6,1568656,261781,3,1273856,4096,6,6
6,1568656,261781,4,1306624,4096,6,6
6,1568656,261781,5,1318912,4096,6,6
6,1568656,261781,6,749568,4096,5,5
6,1568656,261781,7,1384448,4096,5,5
6,1568656,261781,8,1544192,4096,5,5
6,1568656,261781,9,4096,4096,4,4
6,1568656,261781,10,86016,4096,4,4
6,1568656,261781,11,1003520,4096,4,4
7,1830440,260383,0,4096,4096,7,7
7,1830440,260383,1,98304,4096,6,6
7,1830440,260383,2,1273856,4096,6,6
7,1830440,260383,3,1306624,4096,6,6
7,1830440,260383,4,20480,4096,5,5
7,1830440,260383,5,966656,4096,5,5
7,1830440,260383,6,1015808,4096,5,5
7,1830440,260383,7,1028096,4096,5,5
7,1830440,260383,8,1114112,4096,5,5
7,1830440,260383,9,1544192,4096,5,5
7,1830440,260383,10,1560576,4096,5,5
7,1830440,260383,11,1777664,4096,5,5
8,2090826,261729,0,1306624,4096,5,5
8,2090826,261729,1,4096,4096,4,4
8,2090826,261729,2,53248,4096,4,4
8,2090826,261729,3,143360,4096,4,4
8,2090826,261729,4,1318912,4096,4,4
8,2090826,261729,5,1384448,4096,4,4
8,2090826,261729,6,1544192,4096,4,4
8,2090826,261729,7,2056192,4096,4,4
8,2090826,261729,8,2064384,4096,4,4
8,2090826,261729,9,8192,4096,3,3
8,2090826,261729,10,12288,4096,3,3
8,2090826,261729,11,40960,4096,3,3
9,2352558,262031,0,98304,4096,10,10
9,2352558,262031,1,2293760,4096,8,8
9,2352558,262031,2,90112,4096,7,7
9,2352558,262031,3,1531904,4096,7,7
9,2352558,262031,4,1781760,4096,7,7
9,2352558,262031,5,1933312,4096,7,7
9,2352558,262031,6,1961984,4096,7,7
9,2352558,262031,7,2048000,4096,7,7
9,2352558,262031,8,2310144,4096,7,7
9,2352558,262031,9,53248,4096,6,6
9,2352558,262031,10,143360,4096,6,6
9,2352558,262031,11,1384448,4096,6,6
10,2614592,262047,0,98304,4096,15,15
10,2614592,262047,1,2490368,4096,10,10
10,2614592,262047,2,2551808,4096,10,10
10,2614592,262047,3,2560000,4096,10,10
10,2614592,262047,4,90112,4096,9,9
10,2614592,262047,5,1961984,4096,9,9
10,2614592,262047,6,2048000,4096,9,9
10,2614592,262047,7,2310144,4096,9,9
10,2614592,262047,8,2543616,4096,9,9
10,2614592,262047,9,2555904,4096,9,9
10,2614592,262047,10,2605056,4096,8,8
10,2614592,262047,11,2293760,4096,7,7
11,2876642,259631,0,2797568,4096,9,9
11,2876642,259631,1,98304,4096,7,7
11,2876642,259631,2,2748416,4096,7,7
11,2876642,259631,3,24576,4096,6,6
11,2876642,259631,4,40960,4096,6,6
11,2876642,259631,5,2293760,4096,6,6
11,2876642,259631,6,2306048,4096,6,6
11,2876642,259631,7,2539520,4096,6,6
11,2876642,259631,8,2560000,4096,6,6
11,2876642,259631,9,2576384,4096,6,6
11,2876642,259631,10,2658304,4096,6,6
11,2876642,259631,11,2662400,4096,6,6
12,3136276,259983,0,2945024,4096,5,5
12,3136276,259983,1,2662400,4096,4,4
12,3136276,259983,2,32768,4096,3,3
12,3136276,259983,3,196608,4096,3,3
12,3136276,259983,4,2281472,4096,3,3
12,3136276,259983,5,2797568,4096,3,3
12,3136276,259983,6,2932736,4096,3,3
12,3136276,259983,7,3112960,4096,3,3
12,3136276,259983,8,8192,4096,2,2
12,3136276,259983,9,24576,4096,2,2
12,3136276,259983,10,40960,4096,2,2
12,3136276,259983,11,135168,4096,2,2
13,3396262,258911,0,3178496,4096,5,5
13,3396262,258911,1,32768,4096,3,3
13,3396262,258911,2,196608,4096,3,3
13,3396262,258911,3,2281472,4096,3,3
13,3396262,258911,4,2662400,4096,3,3
13,3396262,258911,5,2797568,4096,3,3
13,3396262,258911,6,2932736,4096,3,3
13,3396262,258911,7,2945024,4096,3,3
13,3396262,258911,8,3112960,4096,3,3
13,3396262,258911,9,53248,4096,2,2
13,3396262,258911,10,143360,4096,2,2
13,3396262,258911,11,2666496,4096,2,2
14,3655176,244189,0,3563520,4096,2,2
14,3655176,244189,1,24576,4096,1,1
14,3655176,244189,2,32768,4096,1,1
14,3655176,244189,3,40960,4096,1,1
14,3655176,244189,4,90112,4096,1,1
14,3655176,244189,5,98304,4096,1,1
14,3655176,244189,6,196608,4096,1,1
14,3655176,244189,7,2281472,4096,1,1
14,3655176,244189,8,2658304,4096,1,1
14,3655176,244189,9,2662400,4096,1,1
14,3655176,244189,10,2797568,4096,1,1
14,3655176,244189,11,2871296,4096,1,1
15,3899368,251987,0,2428928,4096,2,2
15,3899368,251987,1,3108864,4096,2,2
16,4151358,261480,0,98304,4096,4,4
16,4151358,261480,1,3178496,4096,4,4
16,4151358,261480,2,90112,4096,3,3
16,4151358,261480,3,2936832,4096,3,3
16,4151358,261480,4,2940928,4096,3,3
16,4151358,261480,5,3125248,4096,3,3
16,4151358,261480,6,3194880,4096,3,3
16,4151358,261480,7,3297280,4096,3,3
16,4151358,261480,8,3837952,4096,3,3
16,4151358,261480,9,4063232,4096,3,3
16,4151358,261480,10,761856,4096,2,2
16,4151358,261480,11,2551808,4096,2,2
17,4412841,261179,0,3563520,4096,4,4
17,4412841,261179,1,2945024,4096,3,3
17,4412841,261179,2,3088384,4096,3,3
17,4412841,261179,3,3432448,4096,3,3
17,4412841,261179,4,3559424,4096,3,3
17,4412841,261179,5,32768,4096,2,2
17,4412841,261179,6,98304,4096,2,2
17,4412841,261179,7,196608,4096,2,2
17,4412841,261179,8,2662400,4096,2,2
17,4412841,261179,9,2797568,4096,2,2
17,4412841,261179,10,2932736,4096,2,2
17,4412841,261179,11,3112960,4096,2,2
18,4674023,261800,0,3125248,4096,5,5
18,4674023,261800,1,3129344,4096,5,5
18,4674023,261800,2,4395008,4096,5,5
18,4674023,261800,3,32768,4096,4,4
18,4674023,261800,4,196608,4096,4,4
18,4674023,261800,5,2662400,4096,4,4
18,4674023,261800,6,2797568,4096,4,4
18,4674023,261800,7,2932736,4096,4,4
18,4674023,261800,8,2945024,4096,4,4
18,4674023,261800,9,3112960,4096,4,4
18,4674023,261800,10,3215360,4096,4,4
18,4674023,261800,11,3297280,4096,4,4
19,4935826,258806,0,3108864,4096,4,4
19,4935826,258806,1,4403200,4096,3,3
19,4935826,258806,2,53248,4096,2,2
19,4935826,258806,3,143360,4096,2,2
19,4935826,258806,4,3178496,4096,2,2
19,4935826,258806,5,3563520,4096,2,2
19,4935826,258806,6,3674112,4096,2,2
19,4935826,258806,7,4218880,4096,2,2
19,4935826,258806,8,4239360,4096,2,2
19,4935826,258806,9,4317184,4096,2,2
19,4935826,258806,10,4415488,4096,2,2
19,4935826,258806,11,4583424,4096,2,2
20,5194635,259865,0,3125248,4096,8,8
20,5194635,259865,1,4395008,4096,6,6
20,5194635,259865,2,3108864,4096,5,5
20,5194635,259865,3,98304,4096,4,4
20,5194635,259865,4,3129344,4096,4,4
20,5194635,259865,5,3215360,4096,4,4
20,5194635,259865,6,3297280,4096,4,4
20,5194635,259865,7,3325952,4096,4,4
20,5194635,259865,8,3657728,4096,4,4
20,5194635,259865,9,4218880,4096,4,4
20,5194635,259865,10,4415488,4096,4,4
20,5194635,259865,11,5136384,4096,4,4
21,5454503,261197,0,5419008,4096,7,7
21,5454503,261197,1,3108864,4096,6,6
21,5454503,261197,2,4218880,4096,6,6
21,5454503,261197,3,5263360,4096,6,6
21,5454503,261197,4,5304320,4096,6,6
21,5454503,261197,5,3178496,4096,5,5
21,5454503,261197,6,4239360,4096,5,5
21,5454503,261197,7,5275648,4096,5,5
21,5454503,261197,8,5296128,4096,5,5
21,5454503,261197,9,24576,4096,4,4
21,5454503,261197,10,40960,4096,4,4
21,5454503,261197,11,3088384,4096,4,4
22,5715703,258943,0,3108864,4096,11,11
22,5715703,258943,1,5304320,4096,11,11
22,5715703,258943,2,98304,4096,10,10
22,5715703,258943,3,5517312,4096,8,8
22,5715703,258943,4,5296128,4096,7,7
22,5715703,258943,5,24576,4096,6,6
