stream_class,profile_rank,donor_offset,donor_length,recipient_mentions,phrase_score,signature_hits
0,0,443104000,1024,1488,6665,2219
0,1,442998272,1024,1133,6243,2405
0,2,444469248,1024,944,5319,1771
0,3,11549440,256,1322,5316,2642
0,4,445725952,256,1063,4892,2522
0,5,443768320,1024,805,4768,1584
0,6,4598016,256,1138,4615,2265
1,0,6017536,4096,23,776,172
1,1,348672,256,371,667,447
1,2,629760,256,368,664,444
1,3,10496,256,364,634,462
1,4,603392,256,359,629,457
1,5,58068736,1024,65,624,152
1,6,5952000,256,363,610,436
4,0,123946496,256,14,55,27
4,1,426215424,4096,4,49,11
4,2,426216704,4096,3,44,10
4,3,426217984,4096,3,44,10
4,4,426218240,1024,3,44,10
4,5,16195840,256,11,41,21
4,6,23108352,256,11,41,21
5,0,24226816,256,12,35,19
5,1,41694976,256,12,34,18
5,2,251531008,4096,1,27,5
5,3,260312576,256,5,26,10
5,4,25431040,256,18,21,19
5,5,43224576,256,18,21,19
5,6,105692672,256,12,20,14
6,0,4403200,256,1019,5032,2124
6,1,4344576,256,911,4074,1828
6,2,4844800,256,903,3514,1718
6,3,12407296,256,923,3300,1692
6,4,3218944,256,939,3192,1678
6,5,5548288,256,935,3149,1665
6,6,4609024,256,810,1751,1121
7,0,5652992,256,12,33,19
7,1,5782272,256,11,31,17
7,2,5451776,256,9,23,13
7,3,3586048,256,13,22,16
7,4,145340160,256,7,21,11
7,5,5711872,256,6,20,16
7,6,5252864,1024,5,16,8
8,0,65424896,256,43,199,89
8,1,74401792,256,25,170,62
8,2,77927936,256,38,167,77
8,3,73964800,256,29,113,57
8,4,74139904,256,29,113,57
8,5,65910272,256,30,105,55
8,6,87116288,256,18,105,41
9,0,67914752,256,1691,7923,3509
9,1,90285312,256,1683,7801,3469
9,2,190099968,256,1339,6221,2765
9,3,55040,256,1167,5673,2419
9,4,441856,256,1164,5648,2412
9,5,572160,256,1047,4520,2024
9,6,237824,256,1043,4507,2017
