rank,pack_id,recipient_offset,recipient_length,best_phrase_score,best_signature_hits,candidate_count
0,2154,553565675,262064,149,149,12
1,2143,550682749,262052,138,138,12
2,2155,553827742,262065,134,134,12
3,2127,546489375,262103,127,127,12
4,2137,549110331,262042,126,126,12
5,2134,548323968,262134,124,124,12
6,2131,547537775,262000,123,123,12
7,2136,548848224,262104,121,121,12
8,2156,554089810,262135,121,121,12
9,2147,551731088,262026,113,113,12
10,2144,550944804,262089,110,110,12
11,2142,550420732,262014,107,107,12
12,2150,552517328,262055,107,107,12
13,2125,545965248,262079,106,106,12
14,2132,547799778,262089,105,105,12
15,2138,549372376,262110,105,105,12
16,2153,553303603,262069,105,105,12
17,2148,551993117,262070,103,103,12
18,2157,554351948,262052,102,102,12
19,2158,554614003,253440,99,99,12
20,2141,550158675,262054,97,97,12
21,2146,551469030,262055,95,95,12
22,2128,546751481,262131,94,94,12
23,2129,547013615,262038,94,94,12
24,2133,548061870,262095,92,92,12
25,2139,549634489,262071,91,91,12
26,2130,547275656,262116,90,90,12
27,2151,552779386,262073,90,90,12
28,2145,551206896,262131,85,85,12
29,2152,553041462,262138,84,84,12
30,2135,548586105,262116,83,83,12
31,2057,529383539,262033,82,82,12
32,2126,546227330,262042,82,82,12
33,2149,552255190,262135,82,82,12
34,2140,549896563,262109,79,79,12
35,2051,527811492,261844,72,72,12
36,2054,528597429,262026,72,72,12
37,2055,528859458,261945,72,72,12
38,24,6234832,260877,67,67,12
39,2062,530692878,261864,63,63,12
40,2058,529645575,261730,62,62,12
41,2059,529907308,261734,60,60,12
42,2052,528073339,261976,56,56,12
43,2061,530431180,261695,56,56,12
44,2063,530954745,261785,55,55,12
45,2064,531216533,261917,55,55,12
46,2053,528335318,262108,53,53,12
47,2056,529121406,262130,48,48,12
48,2111,542665451,305890,43,43,12
49,2060,530169045,262132,41,41,12
50,1483,380737732,250294,33,33,12
51,2124,545703268,261977,31,31,12
52,1484,380988029,261721,30,30,12
53,1851,475668623,261832,28,28,12
54,1840,472800395,260498,27,27,12
55,2082,535926264,262031,27,27,12
56,1,261973,261851,26,26,12
57,2065,531478453,261967,26,26,12
58,1736,445748705,260968,25,25,12
59,2024,520766433,261002,24,24,12
60,2,523827,262023,23,23,12
61,1842,473321437,260544,23,23,12
62,1852,475930458,260676,23,23,12
63,1892,486337732,260922,23,23,12
64,2017,518937482,260625,23,23,12
65,2028,521812590,260765,23,23,12
66,2066,531740423,262098,23,23,12
67,1886,484770732,262116,22,22,12
68,2000,514499508,261091,22,22,12
69,2014,518153447,261608,22,22,12
70,89,22867143,248268,21,21,12
71,1123,288482276,260078,21,21,12
72,1801,462638342,260510,21,21,12
73,1804,463419307,261782,21,21,12
74,1841,473060896,260538,21,21,12
75,1855,476714468,261956,21,21,12
76,1903,489207032,261308,21,21,12
77,1919,493377185,260808,21,21,12
78,1945,500162043,262109,21,21,12
79,1948,500946965,260549,21,21,12
80,2001,514760602,260607,21,21,12
81,2072,533311068,262137,21,21,12
82,2078,534878995,261452,21,21,12
83,3,785853,261386,20,20,12
84,23,5974649,260180,20,20,12
85,1648,423264808,260615,20,20,12
86,1863,478802654,260057,20,20,12
87,1946,500424155,260958,20,20,12
88,1949,501207517,261899,20,20,12
89,1999,514239301,260204,20,20,12
90,2005,515803897,260934,20,20,12
91,2010,517109526,261385,20,20,12
92,2022,520243615,261144,20,20,12
93,2105,541108708,261419,20,20,12
94,1796,461335918,258038,19,19,12
95,1800,462377982,260357,19,19,12
96,1829,469935775,260906,19,19,12
97,1850,475407442,261178,19,19,12
98,1861,478280913,260545,19,19,12
99,1877,482435290,261765,19,19,12
100,1885,484509542,261187,19,19,12
101,1904,489468343,260425,19,19,12
102,1925,494943176,260994,19,19,12
103,1953,502252646,260642,19,19,12
104,2006,516064834,261668,19,19,12
105,2012,517632148,260807,19,19,12
106,2013,517892958,260486,19,19,12
107,2016,518675681,261798,19,19,12
108,2018,519198110,261927,19,19,12
109,2026,521289426,261589,19,19,12
110,2027,521551018,261569,19,19,12
111,2081,535664139,262122,19,19,12
112,1734,445229221,257352,18,18,12
113,1744,447830544,260715,18,18,12
114,1761,452234939,261430,18,18,12
115,1788,459247476,261752,18,18,12
116,1799,462116619,261360,18,18,12
117,1809,464722410,261732,18,18,12
118,1831,470458684,261364,18,18,12
119,1833,470981426,262081,18,18,12
120,1865,479319934,260227,18,18,12
121,1883,483988775,260605,18,18,12
122,1891,486075888,261841,18,18,12
123,1920,493637996,260822,18,18,12
124,1924,494682451,260722,18,18,12
125,1932,496767487,261014,18,18,12
126,1936,497813296,260435,18,18,12
127,2002,515021212,261136,18,18,12
128,2011,517370914,261231,18,18,12
