offset,length,bits,mask,stream_class,profile_id,baseline_bytes,mini_bytes,donor_bytes,mini_donor_bytes,url_bytes,url_mini_bytes,url_donor_bytes,url_mini_donor_bytes,selected_bytes,mini_gain_bytes,donor_gain_bytes,mini_donor_gain_bytes,url_gain_bytes,url_mini_gain_bytes,url_donor_gain_bytes,url_mini_donor_gain_bytes,structural_single_gain_bytes,ppmd_escape_order_single_gain_bytes,sparse_virtual_ppm_single_gain_bytes,word_xml_ppm_single_gain_bytes,residual_lstm_single_gain_bytes,micro_diffusion_single_gain_bytes,rare_residual_single_gain_bytes,cts_skipcts_single_gain_bytes,dmc_single_gain_bytes,token_match_single_gain_bytes,donor_profile_single_gain_bytes,mini_cmix_single_gain_bytes,url_structure_single_gain_bytes,shadow_lstm200_single_gain_bytes,topology_recurrence_single_gain_bytes,causal_cnn_single_gain_bytes,mini_g025_gain_bytes,mini_g050_gain_bytes,mini_g075_gain_bytes,mini_g100_gain_bytes,donor_g025_gain_bytes,donor_g050_gain_bytes,donor_g075_gain_bytes,donor_g100_gain_bytes,url_mini_g025_gain_bytes,url_mini_g050_gain_bytes,url_mini_g075_gain_bytes,url_mini_g100_gain_bytes,url_donor_g025_gain_bytes,url_donor_g050_gain_bytes,url_donor_g075_gain_bytes,url_donor_g100_gain_bytes,mini_donor_g025_gain_bytes,mini_donor_g050_gain_bytes,mini_donor_g075_gain_bytes,mini_donor_g100_gain_bytes,url_mini_donor_g025_gain_bytes,url_mini_donor_g050_gain_bytes,url_mini_donor_g075_gain_bytes,url_mini_donor_g100_gain_bytes,best_mode,best_gain_bytes
0,1048219,8315728,3496959,10,0,106542.930468,106772.840644,106542.930468,106542.930468,106446.64466,106772.207523,106542.930468,106542.930468,106772.207523,-229.910176642,0,0,96.2858076039,-229.277054979,0,0,-49.9569502251,-1.60200248158,-49.2558410503,-47.054144098,4.65861541239,-0.057624525245,-0.0076598522719,-0.191515978804,-45.6016840517,0.0830433999654,0,-112.829290148,0.542847770965,-758.485311205,-147.296970045,0.0970840707305,-112.829290148,-428.098017827,-972.758973937,-1778.33922308,0,0,0,0,-112.614581288,-428.257498044,-973.346200205,-1779.41657685,0,0,0,0,0,0,0,0,0,0,0,0,url_structure,96.2858076039
1048219,1049689,8307871,3496959,10,0,143534.169697,144013.527908,143534.169697,143534.169697,143477.038515,144013.345228,143534.169697,143534.169697,144013.345228,-479.358210811,0,0,57.1311818099,-479.175530975,0,0,-52.3539060636,-8.62993795174,-55.0082199016,-53.2055661673,-2.11985613219,-0.0559161272831,-0.000495761341881,-1.29951485572,-61.8188074831,-0.0387809594395,0,-141.821110806,-0.592682964809,-553.863294893,-197.288917227,-0.0353249989275,-141.821110806,-549.484727251,-1257.90094986,-2307.82186709,0,0,0,0,-142.578627493,-550.430719048,-1259.06309062,-2309.23257847,0,0,0,0,0,0,0,0,0,0,0,0,url_structure,57.1311818099
2097908,1048760,8247532,3496959,10,0,143095.466214,143554.713362,143095.466214,143095.466214,143059.982786,143548.18062,143095.466214,143095.466214,143548.18062,-459.24714743,0,0,35.483428775,-452.714405886,0,0,-60.0028612519,-10.7653887592,-73.3487148757,-67.4448072219,-5.04918085565,0.0663482417585,-0.00048539636191,-4.30578903982,-71.2717694532,0.031923244358,0,-134.291284821,5.23741236748,-676.008605346,-186.89553205,-0.0143404818373,-134.291284821,-527.293849208,-1212.37606397,-2228.47877564,0,0,0,0,-131.952020578,-528.255781866,-1217.11018073,-2237.53569622,0,0,0,0,0,0,0,0,0,0,0,0,url_structure,35.483428775
3146668,1048846,8226134,3496959,10,0,118568.646332,119002.157104,118568.646332,118568.646332,118570.893681,119000.03596,118568.646332,118568.646332,119000.03596,-433.510772266,0,0,-2.24734921129,-431.389628231,0,0,-86.1439207305,-5.15358955518,-97.5090678876,-92.5764857266,-11.0657269443,-0.00377900988678,-0.00181293638889,-0.120806360384,-99.0630160226,0.277437723911,0,-136.569887916,-2.10538363119,-1106.9104529,-160.427632099,-0.0046216409828,-136.569887916,-515.765623524,-1169.27735811,-2134.08506387,0,0,0,0,-140.601328086,-522.00579743,-1178.0589538,-2145.80001961,0,0,0,0,0,0,0,0,0,0,0,0,token_match,0.277437723911
4195514,1047961,8346926,3496959,10,0,223478.5369,226264.389281,223478.5369,223478.5369,224722.849785,226248.170135,223478.5369,223478.5369,226248.170135,-2785.8523813,0,0,-1244.3128853,-2769.63323549,0,0,-144.466142104,-36.5885476266,-160.279837991,-155.050007158,-17.6755879393,-0.136397685041,0.00254693155875,-12.4552745838,-180.582826742,-0.00424364104401,0,-177.664990389,-6.24308018177,-906.962112215,-255.938994082,-0.0781339824316,-177.664990389,-725.130474366,-1686.66746582,-3113.44945909,0,0,0,0,-201.098594326,-768.175960649,-1752.1627909,-3204.72341846,0,0,0,0,0,0,0,0,0,0,0,0,rare_residual,0.00254693155875
5243475,1048325,8247165,3496959,10,0,119845.924078,120420.926925,119845.924078,119845.924078,119934.272678,120417.125659,119845.924078,119845.924078,120417.125659,-575.002846986,0,0,-88.3485991121,-571.201580405,0,0,-50.3496067523,-6.6072694521,-51.3695324925,-49.3590640323,-12.0802366177,0.0279818258132,-0.000935622767429,0.231243222661,-58.9387458785,0.297076787218,0,-122.494931579,-6.81052218273,-597.900895846,-164.560034047,0.144667873436,-122.494931579,-487.005717083,-1125.78378057,-2076.51357383,0,0,0,0,-134.127590636,-504.200653693,-1149.41667565,-2107.62096128,0,0,0,0,0,0,0,0,0,0,0,0,token_match,0.297076787218
6291800,1050555,8338062,3496959,10,0,236528.389445,238605.449894,236528.389445,236528.389445,237112.467887,238587.205681,236528.389445,236528.389445,238587.205681,-2077.06044908,0,0,-584.078442556,-2058.81623678,0,0,-111.381936508,-39.9707832638,-143.524467342,-153.709019414,-19.6468789871,-0.102415167174,0.00201248843223,-5.7987953042,-163.918746074,0.0762941596331,0,-162.487594157,-17.8995934743,-809.493244528,-265.215986506,-0.286281528737,-162.487594157,-702.950755439,-1666.6139445,-3105.77006986,0,0,0,0,-196.926088125,-756.289431734,-1741.62505904,-3205.70927537,0,0,0,0,0,0,0,0,0,0,0,0,token_match,0.0762941596331
7342355,1050180,8382452,3496959,10,0,222520.749952,224606.201019,222520.749952,222520.749952,223534.896877,224592.959905,222520.749952,222520.749952,224592.959905,-2085.45106719,0,0,-1014.14692577,-2072.2099538,0,0,-129.684366723,-45.4919265352,-144.842462075,-126.988563847,-27.22611833,0.379055003054,0.00128150731325,-16.0748661557,-157.379356885,0.0660173581564,0,-195.16119383,-19.8244726986,-721.114200657,-275.180160324,-0.00665053218836,-195.16119383,-798.709019598,-1861.30541926,-3441.63100417,0,0,0,0,-233.118423727,-857.384570941,-1943.73748784,-3551.3907605,0,0,0,0,0,0,0,0,0,0,0,0,micro_diffusion,0.379055003054
8392535,1054725,8416910,3496959,10,0,206697.444767,208097.752176,206697.444767,206697.444767,207280.97292,208081.27083,206697.444767,206697.444767,208081.27083,-1400.30740933,0,0,-583.528152891,-1383.8260628,0,0,-130.669373169,-32.2126000563,-146.743107297,-131.037901713,-15.7192200395,0.181003175327,-0.0017905018758,-11.4440230492,-149.965157675,0.00879689061549,0,-187.660993962,-34.881261497,-678.607744942,-268.035698908,-0.00584258884192,-187.660993962,-774.178952856,-1809.97737618,-3353.56822797,0,0,0,0,-245.117991421,-857.56648598,-1923.25183933,-3501.39781936,0,0,0,0,0,0,0,0,0,0,0,0,micro_diffusion,0.181003175327
9447260,1046778,8357465,3496959,10,0,236509.083012,238931.127078,236509.083012,236509.083012,237716.399508,238912.121485,236509.083012,236509.083012,238912.121485,-2422.04406661,0,0,-1207.31649606,-2403.03847292,0,0,-146.723927959,-30.5608648641,-166.418005828,-151.945040999,-18.238368718,-0.102495194587,0.000195154454559,-14.6535558338,-197.634180063,0.0385656890576,0,-210.166890237,-23.421425383,-648.260097695,-296.718809218,0.000150606530951,-210.166890237,-865.316361431,-2020.05349192,-3737.47932401,0,0,0,0,-259.96388384,-945.228541775,-2134.45958871,-3891.50326601,0,0,0,0,0,0,0,0,0,0,0,0,token_match,0.0385656890576
