model,bits,loss_bits,equivalent_bytes,bpb
baseline,8324944,1.75213e+06,219016,0.210467
structural,8324944,7.22822e+06,903528,0.868261
ppmd_escape_order,8324944,2.84564e+06,355705,0.341821
sparse_virtual_ppm,8324944,8.07425e+06,1.00928e+06,0.969887
word_xml_ppm,8324944,8.24686e+06,1.03086e+06,0.99062
residual_lstm,8324944,2.15712e+06,269640,0.259115
micro_diffusion,8324944,2.02185e+06,252732,0.242867
rare_residual,8324944,1.78658e+06,223322,0.214605
cts_skipcts,8324944,2.79198e+06,348997,0.335375
dmc,8324944,7.9669e+06,995862,0.956991
token_match,8324944,7.84317e+06,980396,0.942128
donor_profile,8324944,8.32494e+06,1.04062e+06,1
mini_cmix,8324944,3.4276e+06,428449,0.411726
url_structure,8324944,8.27053e+06,1.03382e+06,0.993463
shadow_lstm200,8324944,2.00356e+06,250444,0.240669
topology_recurrence,8324944,7.57402e+06,946753,0.909799
causal_cnn,8324944,1.79695e+06,224619,0.215852
selected_mixer,8324944,1.775e+06,221875,0.213215
