offset,length,bits,mask,stream_class,profile_id,baseline_bytes,mini_bytes,donor_bytes,combined_bytes,selected_bytes,mini_gain_bytes,donor_gain_bytes,combined_gain_bytes,best_mode,best_gain_bytes
6405,11294,82994,114688,9,0,1496.85449452,1497.29086409,1496.9044112,1497.38794836,1497.38794836,-0.436369568289,-0.049916685849,-0.533453837823,baseline,0
17702,15288,112461,114688,9,0,1898.18436728,1899.86992561,1898.09954459,1899.83389691,1899.83389691,-1.6855583344,0.0848226895714,-1.64952963153,donor_profile,0.0848226895714
32993,4574,33823,114688,9,0,737.925683285,738.264789061,737.889509358,738.250243074,738.250243074,-0.339105775558,0.0361739274731,-0.324559788838,donor_profile,0.0361739274731
37570,2859,21304,114688,9,0,543.32614082,543.857954008,543.280687517,543.839811261,543.839811261,-0.531813187951,0.0454533030852,-0.513670441556,donor_profile,0.0454533030852
40432,658,4972,114688,9,0,89.8548869342,89.9249587564,89.8482888498,89.923330279,89.923330279,-0.0700718221794,0.00659808442742,-0.0684433448012,donor_profile,0.00659808442742
41093,1742,13397,114688,6,0,593.891684983,594.457434906,593.904562988,594.504024427,594.504024427,-0.565749923058,-0.0128780053328,-0.612339444285,baseline,0
42838,1573,12142,114688,6,0,392.118626615,392.230602719,392.046994853,392.180038133,392.180038133,-0.111976103299,0.0716317620809,-0.0614115173632,donor_profile,0.0716317620809
44414,1034,7950,114688,6,0,181.243108401,181.503988566,181.272501676,181.547243455,181.547243455,-0.260880164756,-0.0293932748273,-0.304135053824,baseline,0
45451,665,5045,114688,9,0,190.423874644,190.384438057,190.355280223,190.328321394,190.328321394,0.0394365871507,0.0685944208399,0.0955532493654,mini_donor,0.0955532493654
46119,2456,19085,114688,0,0,789.975519501,789.925750086,790.013291063,789.992465668,789.992465668,0.0497694150696,-0.0377715622208,-0.016946166413,mini_cmix,0.0497694150696
48578,1816,13986,114688,9,0,492.830709141,492.710273887,492.871441872,492.771297402,492.771297402,0.120435254319,-0.040732730502,0.0594117388753,mini_cmix,0.120435254319
50397,2347,18054,114688,6,0,681.435830117,681.793446623,681.476749115,681.863793606,681.863793606,-0.357616506391,-0.04091899788,-0.427963488595,baseline,0
52747,3022,23406,114688,6,0,883.653837192,884.053218952,883.587445929,884.027077491,884.027077491,-0.399381759946,0.0663912633217,-0.373240299188,donor_profile,0.0663912633217
55772,942,7229,114688,6,0,118.370711432,118.439748985,118.388016794,118.464280102,118.464280102,-0.0690375530726,-0.0173053627377,-0.0935686705293,baseline,0
56717,1632,12664,114688,6,0,438.757962915,438.887919497,438.797365673,438.94294602,438.94294602,-0.129956581567,-0.0394027576285,-0.184983105205,baseline,0
58352,3247,25201,114688,0,0,1239.39557138,1239.9078249,1239.51255201,1240.08503008,1240.08503008,-0.512253513018,-0.116980628951,-0.689458696635,baseline,0
61602,2801,21629,114688,9,0,905.871301647,906.131630837,905.892774576,906.1899362,906.1899362,-0.260329189819,-0.0214729290074,-0.318634552628,baseline,0
64406,2783,21458,114688,6,0,743.734052536,744.403418983,743.710031112,744.412912585,744.412912585,-0.669366447269,0.0240214244195,-0.678860048865,donor_profile,0.0240214244195
