offset,length,experts,stream_class,profile,residual_gain,pack_id,status
0,157,oracle+donor_profile,xml,0,0.25,182553,oracle_only
160,120,oracle+donor_profile,xml,0,0.25,182554,oracle_only
283,173,oracle+donor_profile,xml,0,0.25,182555,oracle_only
459,125,oracle+donor_profile,xml,0,0.25,182556,oracle_only
587,115,oracle+donor_profile,xml,0,0.25,182557,oracle_only
705,107,oracle+donor_profile,xml,0,0.25,182558,oracle_only
815,107,oracle+donor_profile,xml,0,0.25,182559,oracle_only
925,117,oracle+donor_profile,xml,0,0.25,182560,oracle_only
1045,112,oracle+donor_profile,xml,0,0.25,182561,oracle_only
1160,118,oracle+donor_profile,xml,0,0.25,182562,oracle_only
1281,143,oracle+donor_profile,xml,0,0.25,182563,oracle_only
1427,135,oracle+donor_profile,xml,0,0.25,182564,oracle_only
1565,131,oracle+donor_profile,xml,0,0.25,182565,oracle_only
1699,141,oracle+donor_profile,xml,0,0.25,182566,oracle_only
1843,100,oracle+donor_profile,xml,0,0.25,182567,oracle_only
1946,113,oracle+donor_profile,xml,0,0.25,182568,oracle_only
2062,149,oracle+donor_profile,xml,0,0.25,182569,oracle_only
2214,128,oracle+donor_profile,xml,0,0.25,182570,oracle_only
2345,101,oracle+donor_profile,xml,0,0.25,182571,oracle_only
2449,137,oracle+donor_profile,xml,0,0.25,182572,oracle_only
2589,130,oracle+donor_profile,xml,0,0.25,182573,oracle_only
2722,121,oracle+donor_profile,xml,0,0.25,182574,oracle_only
2846,116,oracle+donor_profile,xml,0,0.25,182575,oracle_only
2965,137,oracle+donor_profile,xml,0,0.25,182576,oracle_only
3105,104,oracle+donor_profile,xml,0,0.25,182577,oracle_only
3212,183,oracle+donor_profile,xml,0,0.25,182578,oracle_only
3398,101,oracle+donor_profile,xml,0,0.25,182579,oracle_only
3502,110,oracle+donor_profile,xml,0,0.25,182580,oracle_only
3615,123,oracle+donor_profile,xml,0,0.25,182581,oracle_only
3741,118,oracle+donor_profile,xml,0,0.25,182582,oracle_only
3862,116,oracle+donor_profile,xml,0,0.25,182583,oracle_only
3981,101,oracle+donor_profile,xml,0,0.25,182584,oracle_only
4085,129,oracle+donor_profile,xml,0,0.25,182585,oracle_only
4217,109,oracle+donor_profile,xml,0,0.25,182586,oracle_only
4329,186,oracle+donor_profile,xml,0,0.25,182587,oracle_only
4518,142,oracle+donor_profile,xml,0,0.25,182588,oracle_only
4663,98,oracle+donor_profile,xml,0,0.25,182589,oracle_only
4764,222,oracle+donor_profile,xml,0,0.25,182590,oracle_only
4989,130,oracle+donor_profile,xml,0,0.25,182591,oracle_only
5122,126,oracle+donor_profile,xml,0,0.25,182592,oracle_only
5251,127,oracle+donor_profile,xml,0,0.25,182593,oracle_only
5381,127,oracle+donor_profile,xml,0,0.25,182594,oracle_only
5511,121,oracle+donor_profile,xml,0,0.25,182595,oracle_only
5635,136,oracle+donor_profile,xml,0,0.25,182596,oracle_only
5774,117,oracle+donor_profile,xml,0,0.25,182597,oracle_only
5894,196,oracle+donor_profile,xml,0,0.25,182598,oracle_only
6093,107,oracle+donor_profile,xml,0,0.25,182599,oracle_only
6203,127,oracle+donor_profile,xml,0,0.25,182600,oracle_only
6333,128,oracle+donor_profile,xml,0,0.25,182601,oracle_only
6464,129,oracle+donor_profile,xml,0,0.25,182602,oracle_only
6596,132,oracle+donor_profile,xml,0,0.25,182603,oracle_only
6731,201,oracle+donor_profile,xml,0,0.25,182604,oracle_only
6935,164,oracle+donor_profile,xml,0,0.25,182605,oracle_only
7102,120,oracle+donor_profile,xml,0,0.25,182606,oracle_only
7225,105,oracle+donor_profile,xml,0,0.25,182607,oracle_only
7333,122,oracle+donor_profile,xml,0,0.25,182608,oracle_only
7458,105,oracle+donor_profile,xml,0,0.25,182609,oracle_only
7566,105,oracle+donor_profile,xml,0,0.25,182610,oracle_only
7674,147,oracle+donor_profile,xml,0,0.25,182611,oracle_only
7824,149,oracle+donor_profile,xml,0,0.25,182612,oracle_only
7976,121,oracle+donor_profile,xml,0,0.25,182613,oracle_only
8100,88,oracle+donor_profile,xml,0,0.25,182614,oracle_only
8191,124,oracle+donor_profile,xml,0,0.25,182615,oracle_only
8318,112,oracle+donor_profile,xml,0,0.25,182616,oracle_only
8433,121,oracle+donor_profile,xml,0,0.25,182617,oracle_only
8557,121,oracle+donor_profile,xml,0,0.25,182618,oracle_only
8681,105,oracle+donor_profile,xml,0,0.25,182619,oracle_only
8789,84,oracle+donor_profile,xml,0,0.25,182620,oracle_only
8876,122,oracle+donor_profile,xml,0,0.25,182621,oracle_only
9001,139,oracle+donor_profile,xml,0,0.25,182622,oracle_only
9143,116,oracle+donor_profile,xml,0,0.25,182623,oracle_only
9262,106,oracle+donor_profile,xml,0,0.25,182624,oracle_only
9371,136,oracle+donor_profile,xml,0,0.25,182625,oracle_only
