recipient_group,source_group,donor_windows,donor_window_count,donor_bytes,phrase_score,signature_hits,overlap_windows,screen_score,donor_estimate_low,donor_estimate_expected,donor_estimate_high,evidence,recipient_start,recipient_length,recipient_class,source_start,source_class,source_reuse_candidates,estimated_plan_bytes_amortized,donor_estimate_net,scr2_macro_hits,scr2_raw_saving_bytes,scr2_cross_boundary_hits,scr2_top_macros,scr2_raw_reduction_pct,scr2_entropy_estimate,mini11_oracle_high,mini11_expected_net,combined_expected_net,confidence,validation,rank
389,388,407573504:4096;407581696:2048;407775744:2048;407787520:4096;407793664:4096;407799808:4096;407810048:2048,7,22528,0,83,83,0.00257756,0.0,774.0,3096.0,validated_source_proxy,407838930,1041373,url,406790108,mixed,64,7.28125,766.71875,3470,32371,1,M1:4485;M2:3164;M11:2922;M3:2860;M10:2718,3.10849234616223,0.0,2.8082151114225975,0.0,766.71875,medium,exact_warm_prefix_required,1
390,388,407573504:4096;407581696:2048;407775744:2048;407787520:4096;407793664:4096;407799808:4096;407810048:2048,7,22528,0,48,48,0.001490637,0.0,546.3529411764706,2185.4117647058824,validated_source_proxy,408880303,1043290,mixed,406790108,mixed,64,7.28125,539.0716911764706,2932,25822,1,M1:3956;M2:2660;M11:2448;M10:2076;M5:1674,2.4750548744836047,0.0,0.0,0.0,539.0716911764706,medium,exact_warm_prefix_required,2
391,388,407573504:4096;407581696:2048;407775744:2048;407787520:4096;407793664:4096;407799808:4096;407810048:2048,7,22528,0,44,44,0.001366417,0.0,500.82352941176475,2003.294117647059,validated_source_proxy,409923593,1050878,mixed,406790108,mixed,64,7.28125,493.54227941176475,3304,31775,1,M1:4761;M2:3416;M3:3388;M11:2952;M7:2178,3.0236621187235815,0.0,0.0,0.0,493.54227941176475,medium,exact_warm_prefix_required,3
403,388,407573504:4096;407581696:2048;407775744:2048;407787520:4096;407793664:4096;407799808:4096;407810048:2048,7,22528,0,43,43,0.001405688,0.0,489.44117647058823,1957.764705882353,validated_source_proxy,422496780,1048698,url,406790108,mixed,64,7.28125,482.15992647058823,8265,89269,0,M1:23828;M7:9416;M9:7865;M24:6754;M6:6312,8.512364856231251,0.0,2.827968048834236,0.0,482.15992647058823,medium,exact_warm_prefix_required,4
524,388,407573504:4096;407581696:2048;407775744:2048;407787520:4096;407793664:4096;407799808:4096;407810048:2048,7,22528,0,40,40,0.001479345,0.0,455.29411764705884,1821.1764705882354,validated_source_proxy,549240968,1048632,xml,406790108,mixed,64,7.28125,448.01286764705884,37208,555593,0,M3:157586;M8:149270;M6:48186;M9:31097;M1:26174,52.982647868842456,0.0,41.172659134853646,0.0,448.01286764705884,medium,exact_warm_prefix_required,5
509,388,407573504:4096;407581696:2048;407775744:2048;407787520:4096;407793664:4096;407799808:4096;407810048:2048,7,22528,0,39,39,0.001216052,0.0,443.9117647058823,1775.6470588235293,validated_source_proxy,533656382,1047603,list,406790108,mixed,64,7.28125,436.6305147058823,6060,83406,0,M7:17622;M39:16406;M1:15801;M6:8370;M2:8288,7.961603775476015,0.0,8.926607934644503,0.0,436.6305147058823,medium,exact_warm_prefix_required,6
528,388,407573504:4096;407581696:2048;407775744:2048;407787520:4096;407793664:4096;407799808:4096;407810048:2048,7,22528,0,38,38,0.001448723,0.0,432.5294117647059,1730.1176470588236,validated_source_proxy,553435380,1048533,xml,406790108,mixed,64,7.28125,425.2481617647059,37171,565969,0,M3:156926;M8:148764;M6:49170;M9:34661;M1:29141,53.977223415953524,0.0,41.16877207699698,0.0,425.2481617647059,medium,exact_warm_prefix_required,7
522,388,407573504:4096;407581696:2048;407775744:2048;407787520:4096;407793664:4096;407799808:4096;407810048:2048,7,22528,0,36,36,0.001346751,0.0,409.7647058823529,1639.0588235294117,validated_source_proxy,547143784,1048619,xml,406790108,mixed,64,7.28125,402.4834558823529,37845,554298,1,M8:159104;M3:157740;M6:48924;M9:34507;M1:25967,52.85980894872208,0.0,41.172148713114886,0.0,402.4834558823529,medium,exact_warm_prefix_required,8
432,388,407573504:4096;407581696:2048;407775744:2048;407787520:4096;407793664:4096;407799808:4096;407810048:2048,7,22528,0,36,36,0.00136436,0.0,409.7647058823529,1639.0588235294117,validated_source_proxy,452936697,1048802,prose,406790108,mixed,64,7.28125,402.4834558823529,5617,79026,0,M13:15385;M7:11682;M3:10802;M43:7546;M14:5907,7.534882656592951,0.0,5.941408189282838,0.0,402.4834558823529,medium,exact_warm_prefix_required,9
525,388,407573504:4096;407581696:2048;407775744:2048;407787520:4096;407793664:4096;407799808:4096;407810048:2048,7,22528,0,35,35,0.001294953,0.0,398.3823529411764,1593.5294117647056,validated_source_proxy,550289600,1048564,xml,406790108,mixed,64,7.28125,391.1011029411764,37427,555498,0,M3:157036;M8:147158;M6:47610;M9:35530;M21:27060,52.97702381542758,0.0,41.169989236527854,0.0,391.1011029411764,medium,exact_warm_prefix_required,10
523,388,407573504:4096;407581696:2048;407775744:2048;407787520:4096;407793664:4096;407799808:4096;407810048:2048,7,22528,0,35,35,0.001316235,0.0,398.3823529411764,1593.5294117647056,validated_source_proxy,548192403,1048565,xml,406790108,mixed,64,7.28125,391.1011029411764,37255,554973,0,M3:153802;M8:142494;M6:49860;M1:34454;M21:32186,52.926904865220564,0.0,41.17002849973853,0.0,391.1011029411764,medium,exact_warm_prefix_required,11
508,388,407573504:4096;407581696:2048;407775744:2048;407787520:4096;407793664:4096;407799808:4096;407810048:2048,7,22528,0,35,35,0.001094263,0.0,398.3823529411764,1593.5294117647056,validated_source_proxy,532607853,1048529,list,406790108,mixed,64,7.28125,391.1011029411764,7469,102353,1,M7:21340;M39:20878;M1:18078;M2:10290;M6:9984,9.761580271027315,0.0,8.934498365415969,0.0,391.1011029411764,medium,exact_warm_prefix_required,12
526,388,407573504:4096;407581696:2048;407775744:2048;407787520:4096;407793664:4096;407799808:4096;407810048:2048,7,22528,0,34,34,0.001273074,0.0,387.0,1548.0,validated_source_proxy,551338164,1048610,xml,406790108,mixed,64,7.28125,379.71875,37065,551809,0,M3:153604;M8:149490;M6:47268;M9:32208;M1:28957,52.62290079247766,0.0,41.17179534421883,0.0,379.71875,medium,exact_warm_prefix_required,13
527,388,407573504:4096;407581696:2048;407775744:2048;407787520:4096;407793664:4096;407799808:4096;407810048:2048,7,22528,0,34,34,0.001300937,0.0,387.0,1548.0,validated_source_proxy,552386774,1048606,xml,406790108,mixed,64,7.28125,379.71875,36608,539562,0,M8:145486;M3:127820;M1:46920;M6:46128;M9:28391,51.45517000665646,0.0,41.171638291376134,0.0,379.71875,medium,exact_warm_prefix_required,14
421,388,407573504:4096;407581696:2048;407775744:2048;407787520:4096;407793664:4096;407799808:4096;407810048:2048,7,22528,0,34,34,0.001099647,0.0,387.0,1548.0,validated_source_proxy,441379615,1058817,list,406790108,mixed,64,7.28125,379.71875,4607,50313,1,M1:11477;M7:8140;M9:4169;M6:3546;M23:2877,4.751812636177923,0.0,9.022162244224662,0.0,379.71875,medium,exact_warm_prefix_required,15
400,388,407573504:4096;407581696:2048;407775744:2048;407787520:4096;407793664:4096;407799808:4096;407810048:2048,7,22528,0,34,34,0.001099683,0.0,387.0,1548.0,validated_source_proxy,419351577,1048012,url,406790108,mixed,64,7.28125,379.71875,4319,42547,0,M1:7199;M7:4114;M5:3690;M10:3054;M3:2860,4.059781758224142,0.0,2.8261181491667435,0.0,379.71875,medium,exact_warm_prefix_required,16
392,388,407573504:4096;407581696:2048;407775744:2048;407787520:4096;407793664:4096;407799808:4096;407810048:2048,7,22528,0,34,34,0.001055868,0.0,387.0,1548.0,validated_source_proxy,410974471,1049607,list,406790108,mixed,64,7.28125,379.71875,2859,29609,1,M1:4807;M3:3696;M2:3486;M6:2214;M10:2040,2.820960607160585,0.0,8.94368398568772,0.0,379.71875,medium,exact_warm_prefix_required,17
521,388,407573504:4096;407581696:2048;407775744:2048;407787520:4096;407793664:4096;407799808:4096;407810048:2048,7,22528,0,33,33,0.001305431,0.0,375.61764705882354,1502.4705882352941,validated_source_proxy,546095219,1048565,xml,406790108,mixed,64,7.28125,368.33639705882354,36365,571188,1,M3:162976;M8:162294;M51:49137;M6:48882;M9:28391,54.47330399164573,0.0,41.17002849973853,0.0,368.33639705882354,medium,exact_warm_prefix_required,18
507,388,407573504:4096;407581696:2048;407775744:2048;407787520:4096;407793664:4096;407799808:4096;407810048:2048,7,22528,0,33,33,0.00103803,0.0,375.61764705882354,1502.4705882352941,validated_source_proxy,531559207,1048646,list,406790108,mixed,64,7.28125,368.33639705882354,7975,109000,1,M1:21965;M7:18546;M39:17550;M2:13524;M6:10440,10.39435615069337,0.0,8.935495320491846,0.0,368.33639705882354,medium,exact_warm_prefix_required,19
510,388,407573504:4096;407581696:2048;407775744:2048;407787520:4096;407793664:4096;407799808:4096;407810048:2048,7,22528,0,33,33,0.001039599,0.0,375.61764705882354,1502.4705882352941,validated_source_proxy,534703985,1048494,list,406790108,mixed,64,7.28125,368.33639705882354,7808,108234,1,M7:28644;M39:20982;M1:19826;M6:10362;M9:8129,10.322805852966255,0.0,8.934200130991561,0.0,368.33639705882354,medium,exact_warm_prefix_required,20
426,388,407573504:4096;407581696:2048;407775744:2048;407787520:4096;407793664:4096;407799808:4096;407810048:2048,7,22528,0,33,33,0.001125742,0.0,375.61764705882354,1502.4705882352941,validated_source_proxy,446641702,1048624,url,406790108,mixed,64,7.28125,368.33639705882354,5082,55386,1,M7:7194;M1:5842;M14:4411;M3:3762;M17:3328,5.281778788202445,0.0,2.8277684969750605,0.0,368.33639705882354,medium,exact_warm_prefix_required,21
482,388,407573504:4096;407581696:2048;407775744:2048;407787520:4096;407793664:4096;407799808:4096;407810048:2048,7,22528,0,33,33,0.001145833,0.0,375.61764705882354,1502.4705882352941,validated_source_proxy,505362867,1048252,mixed,406790108,mixed,64,7.28125,368.33639705882354,4521,48395,1,M3:7282;M12:5522;M7:3608;M17:3592;M18:3576,4.616733380904591,0.0,0.0,0.0,368.33639705882354,medium,exact_warm_prefix_required,22
402,388,407573504:4096;407581696:2048;407775744:2048;407787520:4096;407793664:4096;407799808:4096;407810048:2048,7,22528,0,33,33,0.001039501,0.0,375.61764705882354,1502.4705882352941,validated_source_proxy,421448568,1048212,url,406790108,mixed,64,7.28125,368.33639705882354,4084,47186,1,M1:13478;M24:9790;M9:4301;M6:3564;M4:2280,4.501570293032326,0.0,2.8266574785158665,0.0,368.33639705882354,medium,exact_warm_prefix_required,23
428,388,407573504:4096;407581696:2048;407775744:2048;407787520:4096;407793664:4096;407799808:4096;407810048:2048,7,22528,0,33,33,0.001046821,0.0,375.61764705882354,1502.4705882352941,validated_source_proxy,448742521,1048964,url,406790108,mixed,64,7.28125,368.33639705882354,3315,31059,1,M1:4508;M7:2618;M11:2490;M14:2156;M20:1950,2.9609214424899233,0.0,2.82868535686857,0.0,368.33639705882354,medium,exact_warm_prefix_required,24
422,388,407573504:4096;407581696:2048;407775744:2048;407787520:4096;407793664:4096;407799808:4096;407810048:2048,7,22528,0,33,33,0.001024813,0.0,375.61764705882354,1502.4705882352941,validated_source_proxy,442438432,1051705,list,406790108,mixed,64,7.28125,368.33639705882354,2786,28694,1,M1:4278;M7:2860;M3:2376;M12:1672;M9:1650,2.7283316139031384,0.0,8.96156100918506,0.0,368.33639705882354,medium,exact_warm_prefix_required,25
504,388,407573504:4096;407581696:2048;407775744:2048;407787520:4096;407793664:4096;407799808:4096;407810048:2048,7,22528,0,32,32,0.001192117,0.0,364.2352941176471,1456.9411764705883,validated_source_proxy,528413765,1048611,xml,406790108,mixed,64,7.28125,356.9540441176471,24919,305462,0,M2:67858;M3:65912;M31:45510;M41:27300;M9:21670,29.130154080016325,0.0,41.1718346074295,0.0,356.9540441176471,medium,exact_warm_prefix_required,26
529,388,407573504:4096;407581696:2048;407775744:2048;407787520:4096;407793664:4096;407799808:4096;407810048:2048,7,22528,0,32,32,0.003145272,0.0,364.2352941176471,1456.9411764705883,validated_source_proxy,554483913,383400,xml,406790108,mixed,64,7.28125,356.9540441176471,13575,201091,0,M3:55132;M8:48246;M6:17340;M21:14938;M9:12650,52.44940010432968,0.0,15.053514972176023,0.0,356.9540441176471,medium,exact_warm_prefix_required,27
464,388,407573504:4096;407581696:2048;407775744:2048;407787520:4096;407793664:4096;407799808:4096;407810048:2048,7,22528,0,32,32,0.001196083,0.0,364.2352941176471,1456.9411764705883,validated_source_proxy,486490859,1049387,prose,406790108,mixed,64,7.28125,356.9540441176471,5530,65287,1,M7:11352;M1:11017;M14:4301;M17:4288;M18:4272,6.221441660702867,0.0,5.94472218352649,0.0,356.9540441176471,medium,exact_warm_prefix_required,28
479,388,407573504:4096;407581696:2048;407775744:2048;407787520:4096;407793664:4096;407799808:4096;407810048:2048,7,22528,0,32,32,0.001158203,0.0,364.2352941176471,1456.9411764705883,validated_source_proxy,502216453,1049001,prose,406790108,mixed,64,7.28125,356.9540441176471,4511,54231,0,M3:10406;M7:9614;M17:4088;M18:4080;M34:3960,5.169775815275677,0.0,5.942535513820422,0.0,356.9540441176471,medium,exact_warm_prefix_required,29
429,388,407573504:4096;407581696:2048;407775744:2048;407787520:4096;407793664:4096;407799808:4096;407810048:2048,7,22528,0,32,32,0.001019368,0.0,364.2352941176471,1456.9411764705883,validated_source_proxy,449791485,1047988,mixed,406790108,mixed,64,7.28125,356.9540441176471,3581,34849,1,M1:4646;M7:3300;M14:2431;M11:2160;M17:1992,3.325324335774837,0.0,0.0,0.0,356.9540441176471,medium,exact_warm_prefix_required,30
