source_group,source_start,source_length,source_class,candidate_recipients,positive_expected_recipients,estimated_expected_net_sum,estimated_high_gross_sum,best_recipient,best_expected_net,evidence,rank
40,41986401,1048172,mixed,205,205,25835.63987255314,272886.3987255314,41,278.8427008705458,proxy_only,1
388,406790108,1048822,mixed,64,64,22219.029411764706,90740.11764705883,389,766.71875,validated_profile,2
136,142635942,1048683,mixed,121,121,13650.820459013683,145158.20459013683,180,143.02929869191888,proxy_only,3
2,2097908,1048760,list,106,106,12234.637042152193,129946.37042152193,3,302.4301886792453,validated_profile,4
427,447690326,1052195,prose,37,37,11178.2,114552.0,495,302.1135135135135,proxy_only,5
430,450839473,1048996,prose,37,37,11178.2,114552.0,471,302.1135135135135,proxy_only,6
16,16797859,1046789,list,106,106,10988.4229220481,117484.229220481,22,170.9194590896047,proxy_only,7
115,120628164,1047845,list,88,88,10515.575088927648,111495.75088927647,507,230.2478150926004,proxy_only,8
431,451888469,1048228,prose,34,34,10270.400000000001,105264.0,495,302.07058823529417,proxy_only,9
246,257912791,1047837,mixed,73,73,9351.322630720835,98803.22630720834,360,196.67233587702168,proxy_only,10
13,13641602,1057613,list,83,83,9109.302170446814,97083.02170446813,15,228.74674886809348,proxy_only,11
1,1048219,1049689,list,81,81,7731.159438345684,83161.59438345685,2,302.3777777777778,proxy_only,12
440,461325735,1048384,prose,25,25,7547.0,77400.0,495,301.88,proxy_only,13
59,61910108,1051779,mixed,62,62,7525.917265955644,79779.17265955644,246,149.76965097760313,proxy_only,14
44,46176335,1051863,url,65,65,7411.914963382384,78849.14963382384,45,222.63533640226072,proxy_only,15
39,40937191,1049210,url,65,65,7402.901585092437,78759.01585092436,44,222.63533640226072,proxy_only,16
63,66113270,1048925,mixed,59,59,7139.503898919451,75705.03898919451,70,164.74549605227233,proxy_only,17
45,47228198,1048609,url,62,62,7082.329714310414,75343.29714310414,56,168.80906112405856,proxy_only,18
41,43034573,1047746,mixed,59,59,6947.117555965425,73781.17555965425,47,147.4949152542373,proxy_only,19
50,52478164,1048664,mixed,53,53,6684.70299318804,70737.0299318804,52,206.6970427166648,proxy_only,20
53,55623067,1050822,mixed,53,53,6185.8391642024435,65748.39164202443,54,259.46428419998034,proxy_only,21
5,5243475,1048325,mixed,47,47,5897.631542658241,62446.315426582405,37,297.6301010347094,proxy_only,22
3,3146668,1048846,list,65,65,5738.429266518258,62114.292665182584,38,285.9551111252646,proxy_only,23
15,15749490,1048369,list,45,45,5517.393225161534,58503.93225161534,23,278.5305057485946,proxy_only,24
424,444541495,1045024,mixed,18,18,5428.8,55728.0,447,301.6,proxy_only,25
95,99667131,1048501,mixed,41,41,5201.7670286785,55067.670286784996,97,298.72722802443207,proxy_only,26
199,208625786,1049940,mixed,42,42,4995.224189656285,53072.24189656284,246,151.85931445179082,proxy_only,27
100,104910507,1052545,url,44,44,4896.989991210329,52229.89991210329,107,138.0001894808808,proxy_only,28
116,121676009,1048337,mixed,40,40,4828.927048170744,51269.270481707434,202,142.7280590224974,proxy_only,29
464,486490859,1049387,prose,16,16,4823.6,49536.0,471,301.475,proxy_only,30
429,449791485,1047988,mixed,16,16,4823.6,49536.0,447,301.475,proxy_only,31
113,118538560,1041394,url,41,41,4621.712166470906,49267.12166470905,117,142.7390346322535,proxy_only,32
166,174073824,1037472,list,43,43,4563.712724084357,48827.127240843576,174,182.1719014402552,proxy_only,33
64,67162195,1048801,mixed,37,37,4526.79319141556,48037.9319141556,97,164.56409431154856,proxy_only,34
435,456082902,1048450,mixed,15,15,4521.000000000001,46440.0,447,301.40000000000003,proxy_only,35
163,170930787,1044859,list,37,37,4417.549619266749,46945.49619266749,174,160.4176878651534,proxy_only,36
169,177194672,1049078,list,40,40,4306.8435111505405,46048.43511150541,174,166.6367532210847,proxy_only,37
26,27289725,1049665,list,36,36,4253.4545435702885,45234.54543570288,27,168.5993837047037,proxy_only,38
78,81846058,1049627,mixed,36,36,4238.996328508755,45089.96328508756,80,153.985063960581,proxy_only,39
90,94428006,1047516,mixed,35,35,4232.8194308889515,44958.194308889506,91,174.48950222302457,proxy_only,40
476,499072095,1047966,prose,14,14,4218.400000000001,43344.0,495,301.31428571428575,proxy_only,41
466,488588139,1047723,prose,14,14,4218.400000000001,43344.0,471,301.31428571428575,proxy_only,42
432,452936697,1048802,prose,14,14,4218.400000000001,43344.0,444,301.31428571428575,proxy_only,43
99,103862041,1048466,url,34,34,4211.466047732147,44674.660477321464,108,151.75847411565636,proxy_only,44
224,234819972,1047842,mixed,40,40,4171.071268919029,44690.71268919029,225,135.5152528742973,proxy_only,45
102,107006226,1047887,url,36,36,4117.165354937651,43871.653549376504,107,140.31290240586938,proxy_only,46
248,260009461,1049560,mixed,37,37,4077.992020353316,43549.92020353316,319,172.57068090601632,proxy_only,47
69,72413180,1048830,url,35,35,3985.060800354835,42480.60800354835,211,144.99225416477114,proxy_only,48
111,116446163,1044254,url,35,35,3983.6905797568957,42466.90579756896,112,147.2857142857143,proxy_only,49
445,466568071,1042648,mixed,13,13,3915.8000000000006,40248.0,503,301.21538461538466,proxy_only,50
474,496975100,1048117,prose,13,13,3915.8000000000006,40248.0,495,301.21538461538466,proxy_only,51
458,480198852,1047896,prose,13,13,3915.8000000000006,40248.0,471,301.21538461538466,proxy_only,52
449,470755850,1045649,prose,13,13,3915.8000000000006,40248.0,451,301.21538461538466,proxy_only,53
434,455034466,1048436,mixed,13,13,3915.8000000000006,40248.0,447,301.21538461538466,proxy_only,54
83,87087641,1048959,mixed,33,33,3748.148674561144,39971.486745611444,92,144.9610853336023,proxy_only,55
141,147886989,1046933,mixed,35,35,3743.945989263586,40069.45989263586,205,135.45096716001157,proxy_only,56
245,256863920,1048871,mixed,30,30,3720.8376570737423,39488.37657073742,319,168.49938370470372,proxy_only,57
213,223297502,1048685,mixed,31,31,3687.898686886105,39228.98686886105,245,151.7072407190719,proxy_only,58
328,343975157,1042296,mixed,35,35,3667.5101908240276,39305.10190824028,387,132.96442525393934,proxy_only,59
93,97572014,1047722,mixed,30,30,3648.687526373134,38766.87526373134,116,149.4599735582483,proxy_only,60
67,70308921,1050169,mixed,33,33,3633.247071893438,38822.470718934375,93,132.9332564227705,proxy_only,61
159,166741011,1051639,list,33,33,3631.0223391826353,38800.22339182635,161,199.80090530003798,proxy_only,62
444,465519446,1048625,prose,12,12,3613.2000000000003,37152.0,471,301.1,proxy_only,63
247,258960628,1048833,mixed,31,31,3605.9281568202946,38409.28156820295,248,208.0961718862651,proxy_only,64
274,287299757,1055750,mixed,31,31,3566.6094509223535,38016.094509223534,275,302.0193548387097,proxy_only,65
