offset,length,experts,stream_class,profile,residual_gain,pack_id,status
6405,11294,oracle+mini_cmix+donor_profile,list,0,0.25,112058,oracle_only
17702,15288,oracle+mini_cmix+donor_profile,list,0,0.25,112059,oracle_only
32993,4574,oracle+mini_cmix+donor_profile,list,0,0.25,112060,oracle_only
37570,2859,oracle+mini_cmix+donor_profile,list,0,0.25,112061,oracle_only
40432,658,oracle+mini_cmix+donor_profile,list,0,0.25,112062,oracle_only
41093,1742,oracle+mini_cmix+donor_profile,url,0,0.25,112063,oracle_only
42838,1573,oracle+mini_cmix+donor_profile,url,0,0.25,112064,oracle_only
44414,1034,oracle+mini_cmix+donor_profile,url,0,0.25,112065,oracle_only
45451,665,oracle+mini_cmix+donor_profile,list,0,0.25,112066,oracle_only
46119,2456,oracle+mini_cmix+donor_profile,prose,0,0.25,112067,oracle_only
48578,1816,oracle+mini_cmix+donor_profile,list,0,0.25,112068,oracle_only
50397,2347,oracle+mini_cmix+donor_profile,url,0,0.25,112069,oracle_only
52747,3022,oracle+mini_cmix+donor_profile,url,0,0.25,112070,oracle_only
55772,942,oracle+mini_cmix+donor_profile,url,0,0.25,112071,oracle_only
56717,1632,oracle+mini_cmix+donor_profile,url,0,0.25,112072,oracle_only
58352,3247,oracle+mini_cmix+donor_profile,prose,0,0.25,112073,oracle_only
61602,2801,oracle+mini_cmix+donor_profile,list,0,0.25,112074,oracle_only
64406,2783,oracle+mini_cmix+donor_profile,url,0,0.25,112075,oracle_only
67192,2628,oracle+mini_cmix+donor_profile,prose,0,0.25,112076,oracle_only
69823,1726,oracle+mini_cmix+donor_profile,url,0,0.25,112077,oracle_only
71552,1463,oracle+mini_cmix+donor_profile,url,0,0.25,112078,oracle_only
73018,1788,oracle+mini_cmix+donor_profile,url,0,0.25,112079,oracle_only
74809,1316,oracle+mini_cmix+donor_profile,url,0,0.25,112080,oracle_only
76128,998,oracle+mini_cmix+donor_profile,url,0,0.25,112081,oracle_only
77129,1187,oracle+mini_cmix+donor_profile,list,0,0.25,112082,oracle_only
78319,516,oracle+mini_cmix+donor_profile,list,0,0.25,112083,oracle_only
78838,725,oracle+mini_cmix+donor_profile,url,0,0.25,112084,oracle_only
79566,450,oracle+mini_cmix+donor_profile,list,0,0.25,112085,oracle_only
