offset,length,bits,mask,stream_class,profile_id,baseline_bytes,mini_bytes,donor_bytes,combined_bytes,selected_bytes,mini_gain_bytes,donor_gain_bytes,combined_gain_bytes,best_mode,best_gain_bytes
6405,10374,82996,114688,9,0,1457.48346029,1457.46487295,1457.55235358,1457.53385118,1457.53385118,0.0185873327287,-0.0688932936991,-0.050390897974,mini_cmix,0.0185873327287
17702,14057,112460,114688,9,0,1841.84859133,1841.84143714,1841.73095742,1841.72318502,1841.72318502,0.00715418993423,0.117633903194,0.125406309361,mini_donor,0.125406309361
32993,4227,33823,114688,9,0,732.916491902,732.929326481,732.881481374,732.894534851,732.894534851,-0.0128345793437,0.0350105279258,0.0219570510571,donor_profile,0.0350105279258
37570,2663,21304,114688,9,0,540.030074989,539.997406781,540.001890783,539.969390744,539.969390744,0.0326682085953,0.028184206185,0.0606842452654,mini_donor,0.0606842452654
40432,621,4972,114688,9,0,90.1365047934,90.1383122308,90.1421172568,90.143955566,90.143955566,-0.00180743737224,-0.00561246343386,-0.00745077265333,baseline,0
41093,1674,13397,114688,6,0,586.940203586,586.940542532,586.954469897,586.954808411,586.954808411,-0.000338946088505,-0.0142663111728,-0.0146048248876,baseline,0
42838,1517,12142,114688,6,0,390.089590097,390.079862188,390.014834824,390.005185741,390.005185741,0.00972790906053,0.0747552733146,0.0844043567076,mini_donor,0.0844043567076
44414,993,7950,114688,6,0,180.896991842,180.894161299,180.926838312,180.92408948,180.92408948,0.00283054296415,-0.0298464693506,-0.0270976381844,mini_cmix,0.00283054296415
45451,630,5045,114688,9,0,190.61690971,190.632299731,190.544408234,190.559755767,190.559755767,-0.0153900214791,0.0725014755171,0.0571539430111,donor_profile,0.0725014755171
46119,2385,19085,114688,0,0,786.279717032,786.278949544,786.31532749,786.314573038,786.314573038,0.000767487945268,-0.0356104582788,-0.0348560063794,mini_cmix,0.000767487945268
48578,1748,13986,114688,9,0,488.260725805,488.275311671,488.299830889,488.314431087,488.314431087,-0.014585866555,-0.03910508436,-0.0537052819467,baseline,0
50397,2256,18054,114688,6,0,678.254927749,678.268495874,678.29384131,678.307479962,678.307479962,-0.0135681246416,-0.0389135607147,-0.052552212916,baseline,0
52747,2925,23406,114688,6,0,880.277874699,880.279756974,880.216975419,880.218867837,880.218867837,-0.00188227472245,0.0608992804437,0.0590068616248,donor_profile,0.0608992804437
55772,903,7229,114688,6,0,117.988097283,117.988694248,117.988467553,117.989072963,117.989072963,-0.000596965467139,-0.000370270075109,-0.000975680000465,baseline,0
56717,1583,12664,114688,6,0,434.391820218,434.394342746,434.434721975,434.437272559,434.437272559,-0.00252252762675,-0.0429017563938,-0.0454523410572,baseline,0
58352,3150,25201,114688,0,0,1236.03965585,1236.04111358,1236.1489586,1236.15049243,1236.15049243,-0.0014577316183,-0.109302747698,-0.110836580575,baseline,0
61602,2703,21629,114688,9,0,899.845440798,899.859567137,899.866053007,899.880240189,899.880240189,-0.0141263388159,-0.0206122092468,-0.0347993910564,baseline,0
64406,2682,21458,114688,6,0,742.86615397,742.870121782,742.830321674,742.834299542,742.834299542,-0.00396781227937,0.035832295478,0.031854428169,donor_profile,0.035832295478
67192,2528,20226,114688,0,0,731.701874788,731.693238459,731.823302588,731.814753497,731.814753497,0.00863632840549,-0.121427800485,-0.112878709658,mini_cmix,0.00863632840549
69823,1645,13160,114688,6,0,331.165210164,331.165667475,331.084528371,331.084983465,331.084983465,-0.000457311351511,0.0806817927914,0.0802266987935,donor_profile,0.0806817927914
71552,1403,11229,114688,6,0,310.724204269,310.724508415,310.726370624,310.726672914,310.726672914,-0.000304146446069,-0.00216635472134,-0.0024686452889,baseline,0
73018,1718,13747,114688,6,0,345.590509499,345.590713889,345.662372433,345.662577183,345.662577183,-0.000204389719329,-0.0718629334569,-0.0720676841602,baseline,0
74809,1261,10091,114688,6,0,279.687105042,279.687105076,279.698038343,279.698038343,279.698038343,-3.35276126862e-08,-0.010933300754,-0.010933300754,baseline,0
76128,957,7661,114688,6,0,148.010494504,148.010494683,148.002632003,148.002632003,148.002632003,-1.78813934326e-07,0.00786250087367,0.00786250087367,donor_profile,0.00786250087367
77129,1132,9057,114688,9,0,270.677490347,270.669153471,270.697009331,270.688657179,270.688657179,0.00833687594331,-0.0195189840542,-0.011166831895,mini_cmix,0.00833687594331
78319,492,3938,114688,9,0,56.9920566015,56.9777945872,56.9753956998,56.9611968487,56.9611968487,0.0142620142666,0.0166609016569,0.0308597527934,mini_donor,0.0308597527934
78838,693,5546,114688,6,0,82.7093321628,82.7093322411,82.6899563109,82.6899563109,82.6899563109,-7.82310962677e-08,0.0193758519526,0.0193758519526,donor_profile,0.0193758519526
79566,428,3431,114688,9,0,37.1329206934,37.1423935415,37.1688678115,37.1783565371,37.1783565371,-0.0094728480899,-0.0359471180618,-0.0454358437082,baseline,0
80019,536,4289,114688,9,0,49.1985357583,49.206446077,49.2235186236,49.2314569517,49.2314569517,-0.00791031862479,-0.0249828652313,-0.0329211933998,baseline,0
80583,442,3537,114688,9,0,12.9319354333,12.9303818056,12.9547628647,12.9532209598,12.9532209598,0.00155362768373,-0.0228274313804,-0.0212855264758,mini_cmix,0.00155362768373
81050,439,3518,114688,9,0,11.5667660846,11.5689151343,11.5741221696,11.576271653,11.576271653,-0.0021490496797,-0.00735608494506,-0.00950556833459,baseline,0
81514,491,3931,114688,9,0,57.1740789469,57.1785405146,57.1568615325,57.1613867558,57.1613867558,-0.00446156772159,0.0172174143654,0.0126921911406,donor_profile,0.0172174143654
82032,225,1807,114688,1,0,4.66799594237,4.66799594237,4.70830125804,4.70830125804,4.70830125804,0,-0.040305315667,-0.040305315667,baseline,0
82271,437,3496,114688,9,0,23.0299437835,23.0396798337,23.0201177921,23.0298478217,23.0298478217,-0.00973605015452,0.00982599142571,9.59617859735e-05,donor_profile,0.00982599142571
82733,460,3685,114688,9,0,29.0789523978,29.0875171856,29.1286482397,29.1372145916,29.1372145916,-0.00856478781952,-0.0496958419462,-0.058262193822,baseline,0
83219,1152,9216,114688,6,0,259.73407761,259.731148634,259.649764622,259.646831122,259.646831122,0.00292897559666,0.0843129878658,0.0872464874637,mini_donor,0.0872464874637
84424,632,5063,114688,6,0,29.2390696888,29.2386684232,29.2099805761,29.2095723314,29.2095723314,0.000401265570417,0.0290891127061,0.0294973573577,mini_donor,0.0294973573577
85090,837,6700,114688,6,0,72.0278791281,72.0288356731,71.9919514715,71.992896796,71.992896796,-0.000956544973974,0.0359276565823,0.0349823320863,donor_profile,0.0359276565823
85968,734,5878,114688,6,0,41.6903834853,41.6912421608,41.6856142818,41.6864756634,41.6864756634,-0.000858675540371,0.00476920351684,0.00390782187503,donor_profile,0.00476920351684
86743,660,5286,114688,6,0,26.6402208978,26.6418287098,26.6392079668,26.6408225344,26.6408225344,-0.00160781203977,0.00101293099397,-0.000601636640567,donor_profile,0.00101293099397
87438,668,5344,114688,6,0,35.873270827,35.8736197552,35.8880392141,35.8883916059,35.8883916059,-0.000348928221229,-0.0147683870673,-0.0151207789481,baseline,0
88140,598,4786,114688,1,0,24.0333036962,24.033317546,24.0425708981,24.0425846104,24.0425846104,-1.38497562148e-05,-0.00926720188181,-0.00928091422793,baseline,0
88769,1206,9654,114688,6,0,139.035554839,139.035725156,139.081056196,139.081228187,139.081228187,-0.000170317322045,-0.0455013571263,-0.045673348257,baseline,0
90044,859,6876,114688,6,0,92.3548530901,92.3548531012,92.3965909287,92.3965913057,92.3965913057,-1.11076587928e-08,-0.0417378386182,-0.0417382156538,baseline,0
90945,759,6074,114688,6,0,28.5460635866,28.5464889164,28.5488766885,28.5493019269,28.5493019269,-0.000425329774316,-0.00281310183709,-0.00323834025903,baseline,0
91744,1853,14830,114688,6,0,463.484475029,463.485012924,463.430898708,463.431439046,463.431439046,-0.000537895183243,0.0535763208818,0.0530359824402,donor_profile,0.0535763208818
93685,2559,20472,114688,6,0,792.042794864,792.032654076,792.084163748,792.074506224,792.074506224,0.0101407881502,-0.0413688837843,-0.0317113598248,mini_cmix,0.0101407881502
96329,476,3815,114688,9,0,55.596539256,55.5983656331,55.5953797405,55.5972326277,55.5972326277,-0.00182637712874,0.00115951549742,-0.000693371723855,donor_profile,0.00115951549742
96843,454,3639,114688,9,0,32.513205696,32.5144404917,32.5197536771,32.5210071689,32.5210071689,-0.00123479568992,-0.00654798107462,-0.00780147283604,baseline,0
97323,767,6138,114688,6,0,52.7611473159,52.7629190796,52.7860406504,52.7878094652,52.7878094652,-0.0017717637611,-0.024893334501,-0.0266621493492,baseline,0
98128,448,3591,114688,9,0,16.9569094016,16.9614413372,16.985246202,16.9898350537,16.9898350537,-0.00453193568819,-0.028336800402,-0.0329256521795,baseline,0
98602,490,3925,114688,9,0,37.4299615955,37.4307181386,37.3830169864,37.3837892263,37.3837892263,-0.000756543073749,0.0469446091774,0.0461723692201,donor_profile,0.0469446091774
99120,657,5258,114688,6,0,28.3642380891,28.3640476141,28.3373767421,28.3371862183,28.3371862183,0.000190475022009,0.0268613470098,0.0270518707771,mini_donor,0.0270518707771
99811,443,3551,114688,9,0,14.4916260046,14.4917579786,14.4321446733,14.4322766964,14.4322766964,-0.000131973910811,0.0594813313164,0.0593493082201,donor_profile,0.0594813313164
100280,658,5265,114688,6,0,19.3958354946,19.3958731798,19.3917639963,19.3918017769,19.3918017769,-3.7685172174e-05,0.00407149831517,0.00403371779885,donor_profile,0.00407149831517
100972,459,3673,114688,9,0,11.7089809766,11.7079465767,11.6755826084,11.6745482201,11.6745482201,0.00103439992472,0.033398368183,0.0344327565099,mini_donor,0.0344327565099
101456,790,6321,114688,9,0,149.16448388,149.178887392,149.112228397,149.126541303,149.126541303,-0.0144035122271,0.0522554829195,0.037942576932,donor_profile,0.0522554829195
102282,661,5292,114688,6,0,19.3762813533,19.3761922146,19.408727709,19.4086395532,19.4086395532,8.91387703632e-05,-0.0324463556844,-0.0323581998741,mini_cmix,8.91387703632e-05
102978,449,3593,114688,9,0,13.1287745439,13.1266513364,13.1584877472,13.1563643107,13.1563643107,0.0021232075128,-0.0297132032601,-0.0275897667175,mini_cmix,0.0021232075128
103452,456,3653,114688,9,0,10.3599583893,10.3560261061,10.3765724508,10.3726385534,10.3726385534,0.00393228320047,-0.0166140614892,-0.0126801641248,mini_cmix,0.00393228320047
103934,587,4702,114688,1,0,16.1777271906,16.1787968455,16.1621728046,16.1632425575,16.1632425575,-0.00106965490249,0.0155543859846,0.0144846330386,donor_profile,0.0155543859846
104551,607,4862,114688,1,0,16.1345716828,16.1347926598,16.1626357441,16.1628571709,16.1628571709,-0.000220976975697,-0.0280640612627,-0.0282854880563,baseline,0
105191,471,3771,114688,9,0,13.2550908172,13.2570399079,13.2819306465,13.2838826436,13.2838826436,-0.00194909066101,-0.0268398293001,-0.0287918263278,baseline,0
105688,449,3599,114688,9,0,12.2426014502,12.242380672,12.2667790863,12.2665593694,12.2665593694,0.000220778195285,-0.0241776360836,-0.0239579191885,mini_cmix,0.000220778195285
106163,455,3646,114688,9,0,11.0595896967,11.061589461,11.0643140107,11.06631347,11.06631347,-0.00199976434124,-0.00472431403159,-0.00672377332103,baseline,0
106645,446,3573,114688,9,0,10.0026304804,10.0009102324,10.0098875011,10.0081667892,10.0081667892,0.00172024803942,-0.00725702067211,-0.00553630880404,mini_cmix,0.00172024803942
107117,465,3725,114688,9,0,11.6360828643,11.6404387171,11.6232567857,11.6276121649,11.6276121649,-0.00435585280809,0.0128260786032,0.00847069936447,donor_profile,0.0128260786032
107610,701,5613,114688,6,0,38.5821777662,38.5821443682,38.5662415992,38.5662096089,38.5662096089,3.33980324285e-05,0.0159361670139,0.0159681573041,mini_donor,0.0159681573041
108350,451,3615,114688,9,0,10.9286210961,10.9288453003,10.9593729706,10.9595943619,10.9595943619,-0.000224204196456,-0.030751874463,-0.0309732657506,baseline,0
