region,baseline_payload,candidate_payload,assignment_cost,span_cost,copy_cost,candidate_total,saving_bytes,improvement_percent,status
0,104950,104950,0,0,0,104950,0,0.0000,REJECTED_SAVED
1,141368,141368,0,0,0,141368,0,0.0000,REJECTED_SAVED
2,141326,141326,0,0,0,141326,0,0.0000,REJECTED_SAVED
3,117778,117778,0,0,0,117778,0,0.0000,REJECTED_SAVED
4,220464,220464,0,0,0,220464,0,0.0000,REJECTED_SAVED
5,118039,118039,0,0,0,118039,0,0.0000,REJECTED_SAVED
6,234328,234328,0,0,0,234328,0,0.0000,REJECTED_SAVED
7,219880,219880,0,0,0,219880,0,0.0000,REJECTED_SAVED
8,204242,204242,0,0,0,204242,0,0.0000,REJECTED_SAVED
9,233598,233598,0,0,0,233598,0,0.0000,REJECTED_SAVED
10,239783,239783,0,0,0,239783,0,0.0000,REJECTED_SAVED
11,247227,247227,0,0,0,247227,0,0.0000,REJECTED_SAVED
12,225788,225788,0,0,0,225788,0,0.0000,REJECTED_SAVED
13,249750,249750,0,0,0,249750,0,0.0000,REJECTED_SAVED
14,224772,224772,0,0,0,224772,0,0.0000,REJECTED_SAVED
15,200639,200639,0,0,0,200639,0,0.0000,REJECTED_SAVED
16,238689,238689,0,0,0,238689,0,0.0000,REJECTED_SAVED
17,200526,200526,0,0,0,200526,0,0.0000,REJECTED_SAVED
18,237242,237242,0,0,0,237242,0,0.0000,REJECTED_SAVED
19,216181,216181,0,0,0,216181,0,0.0000,REJECTED_SAVED
20,212815,212815,0,0,0,212815,0,0.0000,REJECTED_SAVED
21,161711,161711,0,0,0,161711,0,0.0000,REJECTED_SAVED
22,205229,205229,0,0,0,205229,0,0.0000,REJECTED_SAVED
23,212237,212237,0,0,0,212237,0,0.0000,REJECTED_SAVED
24,235734,235734,0,0,0,235734,0,0.0000,REJECTED_SAVED
25,238714,238714,0,0,0,238714,0,0.0000,REJECTED_SAVED
26,236524,236524,0,0,0,236524,0,0.0000,REJECTED_SAVED
27,219152,219152,0,0,0,219152,0,0.0000,REJECTED_SAVED
28,208873,208873,0,0,0,208873,0,0.0000,REJECTED_SAVED
29,271886,271886,0,0,0,271886,0,0.0000,REJECTED_SAVED
30,272763,272763,0,0,0,272763,0,0.0000,REJECTED_SAVED
31,279974,279974,0,0,0,279974,0,0.0000,REJECTED_SAVED
32,256917,256917,0,0,0,256917,0,0.0000,REJECTED_SAVED
33,242102,242102,0,0,0,242102,0,0.0000,REJECTED_SAVED
34,232385,232385,0,0,0,232385,0,0.0000,REJECTED_SAVED
35,235899,235899,0,0,0,235899,0,0.0000,REJECTED_SAVED
36,264565,264565,0,0,0,264565,0,0.0000,REJECTED_SAVED
37,252289,252289,0,0,0,252289,0,0.0000,REJECTED_SAVED
38,211572,211572,0,0,0,211572,0,0.0000,REJECTED_SAVED
39,237977,237977,0,0,0,237977,0,0.0000,REJECTED_SAVED
40,245177,245177,0,0,0,245177,0,0.0000,REJECTED_SAVED
41,218896,218896,0,0,0,218896,0,0.0000,REJECTED_SAVED
42,178889,178889,0,0,0,178889,0,0.0000,REJECTED_SAVED
43,219179,219179,0,0,0,219179,0,0.0000,REJECTED_SAVED
44,250012,250012,0,0,0,250012,0,0.0000,REJECTED_SAVED
45,271667,271667,0,0,0,271667,0,0.0000,REJECTED_SAVED
46,277392,277392,0,0,0,277392,0,0.0000,REJECTED_SAVED
47,265659,265659,0,0,0,265659,0,0.0000,REJECTED_SAVED
48,282886,282886,0,0,0,282886,0,0.0000,REJECTED_SAVED
49,263426,263426,0,0,0,263426,0,0.0000,REJECTED_SAVED
50,246769,246769,0,0,0,246769,0,0.0000,REJECTED_SAVED
51,283095,283095,0,0,0,283095,0,0.0000,REJECTED_SAVED
52,267663,267663,0,0,0,267663,0,0.0000,REJECTED_SAVED
53,233735,233735,0,0,0,233735,0,0.0000,REJECTED_SAVED
