recipient_region,recipient_offset,recipient_length,mode,expert_mask,mini_model_mask,profile_id,stream_class,donor_count,donors,vr_min_length,vr_event_count,baseline_payload_bytes,candidate_payload_bytes,gross_gain_bytes,standalone_plan_bytes,net_gain_bytes,candidate_count,exact_trials,status
0,0,1048219,baseline,0,0,0,10,0,-,0,0,104950,104950,0,0,0,57,57,baseline
1,1048219,1049689,baseline,0,0,0,10,0,-,0,0,141368,141368,0,0,0,105,105,baseline
2,2097908,1048760,baseline,0,0,0,10,0,-,0,0,141326,141326,0,0,0,106,106,baseline
3,3146668,1048846,baseline,0,0,0,10,0,-,0,0,117778,117778,0,0,0,90,90,baseline
4,4195514,1047961,baseline,0,0,0,10,0,-,0,0,220464,220464,0,0,0,85,85,baseline
5,5243475,1048325,baseline,0,0,0,10,0,-,0,0,118039,118039,0,0,0,85,85,baseline
6,6291800,1050555,baseline,0,0,0,10,0,-,0,0,234328,234328,0,0,0,85,85,baseline
7,7342355,1050180,baseline,0,0,0,10,0,-,0,0,219880,219880,0,0,0,85,85,baseline
8,8392535,1054725,baseline,0,0,0,10,0,-,0,0,204242,204242,0,0,0,101,101,baseline
9,9447260,1046778,baseline,0,0,0,10,0,-,0,0,233598,233598,0,0,0,85,85,baseline
10,10494038,1049016,baseline,0,0,0,10,0,-,0,0,239783,239783,0,0,0,85,85,baseline
11,11543054,1047966,baseline,0,0,0,10,0,-,0,0,247227,247227,0,0,0,97,97,baseline
12,12591020,1050582,baseline,0,0,0,10,0,-,0,0,225788,225788,0,0,0,105,105,baseline
13,13641602,1057613,baseline,0,0,0,10,0,-,0,0,249750,249750,0,0,0,94,94,baseline
14,14699215,1050275,baseline,0,0,0,10,0,-,0,0,224772,224772,0,0,0,101,101,baseline
15,15749490,1048369,baseline,0,0,0,10,0,-,0,0,200639,200639,0,0,0,105,105,baseline
16,16797859,1046789,baseline,0,0,0,10,0,-,0,0,238689,238689,0,0,0,93,93,baseline
17,17844648,1051023,baseline,0,0,0,10,0,-,0,0,200526,200526,0,0,0,85,85,baseline
18,18895671,1047724,baseline,0,0,0,10,0,-,0,0,237242,237242,0,0,0,97,97,baseline
19,19943395,1047479,baseline,0,0,0,10,0,-,0,0,216181,216181,0,0,0,89,89,baseline
20,20990874,1048917,baseline,0,0,0,10,0,-,0,0,212815,212815,0,0,0,105,105,baseline
21,22039791,1054737,baseline,0,0,0,10,0,-,0,0,161711,161711,0,0,0,105,105,baseline
22,23094528,1044683,baseline,0,0,0,10,0,-,0,0,205229,205229,0,0,0,106,106,baseline
23,24139211,1054234,baseline,0,0,0,10,0,-,0,0,212237,212237,0,0,0,106,106,baseline
24,25193445,1048781,baseline,0,0,0,10,0,-,0,0,235734,235734,0,0,0,105,105,baseline
25,26242226,1047499,baseline,0,0,0,10,0,-,0,0,238714,238714,0,0,0,85,85,baseline
26,27289725,1049665,baseline,0,0,0,10,0,-,0,0,236524,236524,0,0,0,106,106,baseline
27,28339390,1043373,baseline,0,0,0,10,0,-,0,0,219152,219152,0,0,0,105,105,baseline
28,29382763,1047972,baseline,0,0,0,10,0,-,0,0,208873,208873,0,0,0,105,105,baseline
29,30430735,1054148,baseline,0,0,0,10,0,-,0,0,271886,271886,0,0,0,85,85,baseline
30,31484883,1046146,baseline,0,0,0,10,0,-,0,0,272763,272763,0,0,0,85,85,baseline
31,32531029,1050376,baseline,0,0,0,10,0,-,0,0,279974,279974,0,0,0,85,85,baseline
32,33581405,1055789,baseline,0,0,0,10,0,-,0,0,256917,256917,0,0,0,106,106,baseline
33,34637194,1045396,baseline,0,0,0,10,0,-,0,0,242102,242102,0,0,0,105,105,baseline
34,35682590,1052933,baseline,0,0,0,10,0,-,0,0,232385,232385,0,0,0,85,85,baseline
35,36735523,1050153,baseline,0,0,0,10,0,-,0,0,235899,235899,0,0,0,105,105,baseline
36,37785676,1053728,baseline,0,0,0,10,0,-,0,0,264565,264565,0,0,0,85,85,baseline
37,38839404,1047692,baseline,0,0,0,10,0,-,0,0,252289,252289,0,0,0,93,93,baseline
38,39887096,1050095,baseline,0,0,0,10,0,-,0,0,211572,211572,0,0,0,105,105,baseline
39,40937191,1049210,baseline,0,0,0,10,0,-,0,0,237977,237977,0,0,0,85,85,baseline
40,41986401,1048172,baseline,0,0,0,10,0,-,0,0,245177,245177,0,0,0,97,97,baseline
41,43034573,1047746,baseline,0,0,0,10,0,-,0,0,218896,218896,0,0,0,101,101,baseline
42,44082319,1047797,baseline,0,0,0,10,0,-,0,0,178889,178889,0,0,0,105,105,baseline
43,45130116,1046219,baseline,0,0,0,10,0,-,0,0,219179,219179,0,0,0,105,105,baseline
44,46176335,1051863,baseline,0,0,0,10,0,-,0,0,250012,250012,0,0,0,85,85,baseline
45,47228198,1048609,baseline,0,0,0,10,0,-,0,0,271667,271667,0,0,0,85,85,baseline
46,48276807,1049791,baseline,0,0,0,10,0,-,0,0,277392,277392,0,0,0,85,85,baseline
47,49326598,1048518,baseline,0,0,0,10,0,-,0,0,265659,265659,0,0,0,85,85,baseline
48,50375116,1054429,baseline,0,0,0,10,0,-,0,0,282886,282886,0,0,0,86,86,baseline
49,51429545,1048619,baseline,0,0,0,10,0,-,0,0,263426,263426,0,0,0,86,86,baseline
50,52478164,1048664,baseline,0,0,0,10,0,-,0,0,246769,246769,0,0,0,85,85,baseline
51,53526828,1047831,baseline,0,0,0,10,0,-,0,0,283095,283095,0,0,0,85,85,baseline
52,54574659,1048408,baseline,0,0,0,10,0,-,0,0,267663,267663,0,0,0,85,85,baseline
