recipient_region,recipient_offset,candidate_rank,donor_offset,donor_length,phrase_score,source
1,1048219,0,982528,65536,482,phrase_token
1,1048219,1,491264,65536,457,phrase_token
1,1048219,2,0,65536,290,phrase_token
1,1048219,3,1031680,16384,208,phrase_token
1,1048219,4,0,16384,159,phrase_token
1,1048219,5,0,4096,120,phrase_token
1,1048219,6,515840,16384,66,phrase_token
1,1048219,7,521984,4096,51,phrase_token
1,1048219,8,523520,1024,42,phrase_token
1,1048219,9,523776,256,31,phrase_token
1,1048219,10,1043968,4096,22,phrase_token
1,1048219,11,0,1024,21,phrase_token
2,2097908,0,1048320,65536,215,phrase_token
2,2097908,1,982528,65536,126,phrase_token
2,2097908,2,1540096,65536,125,phrase_token
2,2097908,3,491264,65536,114,phrase_token
2,2097908,4,0,65536,90,phrase_token
2,2097908,5,0,16384,74,phrase_token
2,2097908,6,0,4096,67,phrase_token
2,2097908,7,0,1024,43,phrase_token
2,2097908,8,1031680,16384,36,phrase_token
2,2097908,9,523520,1024,29,phrase_token
2,2097908,10,1048320,4096,22,phrase_token
2,2097908,11,1048320,16384,22,phrase_token
3,3146668,0,1048320,65536,48,phrase_token
3,3146668,1,1540096,65536,48,phrase_token
3,3146668,2,2097920,16384,48,phrase_token
3,3146668,3,3080960,65536,42,phrase_token
3,3146668,4,3130112,16384,42,phrase_token
3,3146668,5,0,1024,12,phrase_token
3,3146668,6,0,4096,12,phrase_token
3,3146668,7,0,16384,12,phrase_token
4,4195514,0,4137984,4096,0,recent_fallback
4,4195514,1,4146176,4096,0,recent_fallback
4,4195514,2,4154368,4096,0,recent_fallback
4,4195514,3,4162560,4096,0,recent_fallback
4,4195514,4,4170752,4096,0,recent_fallback
4,4195514,5,4178944,4096,0,recent_fallback
4,4195514,6,4187136,4096,0,recent_fallback
5,5243475,0,5177856,65536,96,phrase_token
5,5243475,1,4195584,256,29,phrase_token
5,5243475,2,4195584,1024,29,phrase_token
5,5243475,3,5239296,4096,8,phrase_token
5,5243475,4,5218816,4096,0,recent_fallback
5,5243475,5,5227008,4096,0,recent_fallback
5,5243475,6,5235200,4096,0,recent_fallback
6,6291800,0,1048320,65536,33,phrase_token
6,6291800,1,1540096,65536,33,phrase_token
6,6291800,2,2097920,16384,33,phrase_token
6,6291800,3,4129792,65536,33,phrase_token
6,6291800,4,523520,1024,3,phrase_token
6,6291800,5,523776,256,3,phrase_token
6,6291800,6,6283520,4096,0,recent_fallback
7,7342355,0,1048320,65536,31,phrase_token
7,7342355,1,1540096,65536,31,phrase_token
7,7342355,2,2097920,16384,31,phrase_token
7,7342355,3,4129792,65536,31,phrase_token
7,7342355,4,3080960,65536,15,phrase_token
