recipient_region,recipient_offset,baseline_payload_bytes,selected_payload_bytes,gain_bytes,net_gain_bytes,donor_count,donors,candidate_count,exact_trials
0,0,104950,104950,0,0,0,-,57,57
1,1048219,141368,141368,0,0,0,-,105,105
2,2097908,141326,141326,0,0,0,-,106,106
3,3146668,117778,117778,0,0,0,-,90,90
4,4195514,220464,220464,0,0,0,-,85,85
5,5243475,118039,118039,0,0,0,-,85,85
6,6291800,234328,234328,0,0,0,-,85,85
7,7342355,219880,219880,0,0,0,-,85,85
8,8392535,204242,204242,0,0,0,-,101,101
9,9447260,233598,233598,0,0,0,-,85,85
10,10494038,239783,239783,0,0,0,-,85,85
11,11543054,247227,247227,0,0,0,-,97,97
12,12591020,225788,225788,0,0,0,-,105,105
13,13641602,249750,249750,0,0,0,-,94,94
14,14699215,224772,224772,0,0,0,-,101,101
15,15749490,200639,200639,0,0,0,-,105,105
16,16797859,238689,238689,0,0,0,-,93,93
17,17844648,200526,200526,0,0,0,-,85,85
18,18895671,237242,237242,0,0,0,-,97,97
19,19943395,216181,216181,0,0,0,-,89,89
20,20990874,212815,212815,0,0,0,-,105,105
21,22039791,161711,161711,0,0,0,-,105,105
22,23094528,205229,205229,0,0,0,-,106,106
23,24139211,212237,212237,0,0,0,-,106,106
24,25193445,235734,235734,0,0,0,-,105,105
25,26242226,238714,238714,0,0,0,-,85,85
26,27289725,236524,236524,0,0,0,-,106,106
27,28339390,219152,219152,0,0,0,-,105,105
28,29382763,208873,208873,0,0,0,-,105,105
29,30430735,271886,271886,0,0,0,-,85,85
30,31484883,272763,272763,0,0,0,-,85,85
31,32531029,279974,279974,0,0,0,-,85,85
32,33581405,256917,256917,0,0,0,-,106,106
33,34637194,242102,242102,0,0,0,-,105,105
34,35682590,232385,232385,0,0,0,-,85,85
35,36735523,235899,235899,0,0,0,-,105,105
36,37785676,264565,264565,0,0,0,-,85,85
37,38839404,252289,252289,0,0,0,-,93,93
38,39887096,211572,211572,0,0,0,-,105,105
39,40937191,237977,237977,0,0,0,-,85,85
40,41986401,245177,245177,0,0,0,-,97,97
41,43034573,218896,218896,0,0,0,-,101,101
42,44082319,178889,178889,0,0,0,-,105,105
43,45130116,219179,219179,0,0,0,-,105,105
44,46176335,250012,250012,0,0,0,-,85,85
45,47228198,271667,271667,0,0,0,-,85,85
46,48276807,277392,277392,0,0,0,-,85,85
47,49326598,265659,265659,0,0,0,-,85,85
48,50375116,282886,282886,0,0,0,-,86,86
49,51429545,263426,263426,0,0,0,-,86,86
50,52478164,246769,246769,0,0,0,-,85,85
51,53526828,283095,283095,0,0,0,-,85,85
52,54574659,267663,267663,0,0,0,-,85,85
53,55623067,233735,233735,0,0,0,-,97,97
54,56673889,267396,267396,0,0,0,-,97,97
55,57723048,265633,265633,0,0,0,-,97,97
56,58772244,252710,252710,0,0,0,-,85,85
57,59816997,262436,262436,0,0,0,-,105,105
58,60864583,278646,278646,0,0,0,-,85,85
59,61910108,261519,261519,0,0,0,-,93,93
60,62961887,243390,243390,0,0,0,-,85,85
61,64013943,280501,280501,0,0,0,-,93,93
62,65063939,205050,205050,0,0,0,-,98,98
