recipient_region,recipient_offset,span_rank,span_offset,emitted_bytes
0,0,0,860160,986
0,0,1,0,943
0,0,2,380928,779
0,0,3,937984,766
0,0,4,913408,758
0,0,5,917504,758
0,0,6,16384,732
0,0,7,909312,684
1,1048219,0,1060507,979
1,1048219,1,1175195,943
1,1048219,2,1658523,844
1,1048219,3,1085083,822
1,1048219,4,1150619,822
1,1048219,5,1957531,819
1,1048219,6,1662619,818
1,1048219,7,1080987,816
2,2097908,0,2384628,1636
2,2097908,1,2401012,1592
2,2097908,2,2396916,1558
2,2097908,3,3072756,1548
2,2097908,4,2388724,1533
2,2097908,5,2392820,1511
2,2097908,6,2405108,1381
2,2097908,7,2417396,1329
3,3146668,0,3625900,1392
3,3146668,1,3629996,1167
3,3146668,2,3167148,1113
3,3146668,3,3576748,1106
3,3146668,4,3380140,1090
3,3146668,5,4174764,1074
3,3146668,6,3220396,1052
3,3146668,7,3613612,947
4,4195514,0,4678842,1488
4,4195514,1,4793530,1469
4,4195514,2,4785338,1455
4,4195514,3,4789434,1455
4,4195514,4,4891834,1445
4,4195514,5,4203706,1407
4,4195514,6,4199610,1395
4,4195514,7,4990138,1393
5,5243475,0,5993043,1173
5,5243475,1,5825107,1111
5,5243475,2,5313107,1100
5,5243475,3,5960275,1094
5,5243475,4,5821011,1047
5,5243475,5,5526099,1040
5,5243475,6,5571155,1034
5,5243475,7,6034003,1032
6,6291800,0,6607192,1523
6,6291800,1,6455640,1436
6,6291800,2,6656344,1422
6,6291800,3,7266648,1419
6,6291800,4,7045464,1415
6,6291800,5,7053656,1410
6,6291800,6,7057752,1410
6,6291800,7,7258456,1386
7,7342355,0,7620883,1405
7,7342355,1,7608595,1347
7,7342355,2,7489811,1336
7,7342355,3,7391507,1335
7,7342355,4,7436563,1289
7,7342355,5,7530771,1288
7,7342355,6,7457043,1287
7,7342355,7,8358163,1286
8,8392535,0,8736599,1330
8,8392535,1,8732503,1269
8,8392535,2,8822615,1215
8,8392535,3,8650583,1214
8,8392535,4,9244503,1214
8,8392535,5,8908631,1208
8,8392535,6,9437015,1204
8,8392535,7,8482647,1200
9,9447260,0,9865052,1324
9,9447260,1,9520988,1306
9,9447260,2,10434396,1306
9,9447260,3,10274652,1302
9,9447260,4,9512796,1267
9,9447260,5,10409820,1267
9,9447260,6,10401628,1262
9,9447260,7,9914204,1237
10,10494038,0,11071574,1392
10,10494038,1,11378774,1362
10,10494038,2,10924118,1303
10,10494038,3,11206742,1295
10,10494038,4,10932310,1278
10,10494038,5,10944598,1271
10,10494038,6,11051094,1271
10,10494038,7,11472982,1256
11,11543054,0,11584014,1535
11,11543054,1,11829774,1440
11,11543054,2,11575822,1406
11,11543054,3,11825678,1387
11,11543054,4,11743758,1380
11,11543054,5,11596302,1346
11,11543054,6,11735566,1301
11,11543054,7,12562958,1264
12,12591020,0,12828588,1436
12,12591020,1,13320108,1284
12,12591020,2,13090732,1270
12,12591020,3,12935084,1258
12,12591020,4,12976044,1253
12,12591020,5,13328300,1253
12,12591020,6,13324204,1232
12,12591020,7,13332396,1213
13,13641602,0,13952898,1357
13,13641602,1,13956994,1338
13,13641602,2,14002050,1297
13,13641602,3,14083970,1294
13,13641602,4,14681986,1273
13,13641602,5,14325634,1264
13,13641602,6,14636930,1252
13,13641602,7,14034818,1250
14,14699215,0,15424207,1391
