rank,pack_id,recipient_offset,recipient_length,known_source_group,overlap_windows,overlap_fraction,class_name,status
0,529,554483913,383400,388,32,0.003145272,xml,accepted_bundle_probe_exact_test_required
1,389,407838930,1041373,388,83,0.002577560,url,accepted_bundle_probe_exact_test_required
2,506,530510855,1048352,388,12,0.002543451,list,accepted_bundle_probe_exact_test_required
3,390,408880303,1043290,388,48,0.001490637,mixed,accepted_bundle_probe_exact_test_required
4,524,549240968,1048632,388,40,0.001479345,xml,accepted_bundle_probe_exact_test_required
5,528,553435380,1048533,388,38,0.001448723,xml,accepted_bundle_probe_exact_test_required
6,403,422496780,1048698,388,43,0.001405688,url,accepted_bundle_probe_exact_test_required
7,391,409923593,1050878,388,44,0.001366417,mixed,accepted_bundle_probe_exact_test_required
8,432,452936697,1048802,388,36,0.001364360,prose,accepted_bundle_probe_exact_test_required
9,522,547143784,1048619,388,36,0.001346751,xml,accepted_bundle_probe_exact_test_required
10,523,548192403,1048565,388,35,0.001316235,xml,accepted_bundle_probe_exact_test_required
11,521,546095219,1048565,388,33,0.001305431,xml,accepted_bundle_probe_exact_test_required
12,527,552386774,1048606,388,34,0.001300937,xml,accepted_bundle_probe_exact_test_required
13,525,550289600,1048564,388,35,0.001294953,xml,accepted_bundle_probe_exact_test_required
14,526,551338164,1048610,388,34,0.001273074,xml,accepted_bundle_probe_exact_test_required
15,505,529462376,1048479,388,23,0.001259860,mixed,accepted_bundle_probe_exact_test_required
16,509,533656382,1047603,388,39,0.001216052,list,accepted_bundle_probe_exact_test_required
17,464,486490859,1049387,388,32,0.001196083,prose,accepted_bundle_probe_exact_test_required
18,504,528413765,1048611,388,32,0.001192117,xml,accepted_bundle_probe_exact_test_required
19,472,494878210,1048247,388,31,0.001191208,prose,accepted_bundle_probe_exact_test_required
20,470,492781013,1047740,388,29,0.001158887,prose,accepted_bundle_probe_exact_test_required
21,479,502216453,1049001,388,32,0.001158203,prose,accepted_bundle_probe_exact_test_required
22,482,505362867,1048252,388,33,0.001145833,mixed,accepted_bundle_probe_exact_test_required
23,426,446641702,1048624,388,33,0.001125742,url,accepted_bundle_probe_exact_test_required
24,400,419351577,1048012,388,34,0.001099683,url,accepted_bundle_probe_exact_test_required
25,421,441379615,1058817,388,34,0.001099647,list,accepted_bundle_probe_exact_test_required
26,508,532607853,1048529,388,35,0.001094263,list,accepted_bundle_probe_exact_test_required
27,485,508507664,1048084,388,31,0.001093822,mixed,accepted_bundle_probe_exact_test_required
28,430,450839473,1048996,388,30,0.001063377,prose,accepted_bundle_probe_exact_test_required
29,392,410974471,1049607,388,34,0.001055868,list,accepted_bundle_probe_exact_test_required
30,428,448742521,1048964,388,33,0.001046821,url,accepted_bundle_probe_exact_test_required
31,510,534703985,1048494,388,33,0.001039599,list,accepted_bundle_probe_exact_test_required
32,402,421448568,1048212,388,33,0.001039501,url,accepted_bundle_probe_exact_test_required
33,507,531559207,1048646,388,33,0.001038030,list,accepted_bundle_probe_exact_test_required
34,503,527365185,1048580,388,28,0.001029450,mixed,accepted_bundle_probe_exact_test_required
35,450,471801499,1048049,388,30,0.001028595,mixed,accepted_bundle_probe_exact_test_required
36,422,442438432,1051705,388,33,0.001024813,list,accepted_bundle_probe_exact_test_required
37,429,449791485,1047988,388,32,0.001019368,mixed,accepted_bundle_probe_exact_test_required
38,467,489635862,1048909,388,29,0.001004816,list,accepted_bundle_probe_exact_test_required
39,441,462374119,1047493,388,27,0.001003307,prose,accepted_bundle_probe_exact_test_required
40,439,460276478,1049257,388,29,0.001002073,prose,accepted_bundle_probe_exact_test_required
41,424,444541495,1045024,388,30,0.000991539,mixed,accepted_bundle_probe_exact_test_required
42,511,535752479,1045767,388,30,0.000983123,list,accepted_bundle_probe_exact_test_required
43,478,501168480,1047973,388,26,0.000975939,prose,accepted_bundle_probe_exact_test_required
44,436,457131352,1047848,388,28,0.000972492,prose,accepted_bundle_probe_exact_test_required
45,471,493828753,1049457,388,24,0.000965484,prose,accepted_bundle_probe_exact_test_required
46,488,511651677,1048310,388,28,0.000951831,mixed,accepted_bundle_probe_exact_test_required
47,459,481246748,1048413,388,27,0.000947501,prose,accepted_bundle_probe_exact_test_required
48,453,474956992,1048122,388,26,0.000941245,prose,accepted_bundle_probe_exact_test_required
49,466,488588139,1047723,388,25,0.000937664,prose,accepted_bundle_probe_exact_test_required
50,438,459227595,1048883,388,26,0.000933003,prose,accepted_bundle_probe_exact_test_required
51,469,491732832,1048181,388,27,0.000926021,mixed,accepted_bundle_probe_exact_test_required
52,433,453985499,1048967,388,28,0.000924611,url,accepted_bundle_probe_exact_test_required
53,454,476005114,1048830,388,25,0.000909620,prose,accepted_bundle_probe_exact_test_required
54,414,434027024,1049104,388,29,0.000906052,list,accepted_bundle_probe_exact_test_required
55,480,503265454,1048905,388,26,0.000905986,mixed,accepted_bundle_probe_exact_test_required
56,495,518991519,1048192,388,23,0.000905940,prose,accepted_bundle_probe_exact_test_required
57,449,470755850,1045649,388,26,0.000905261,prose,accepted_bundle_probe_exact_test_required
58,434,455034466,1048436,388,27,0.000904008,mixed,accepted_bundle_probe_exact_test_required
59,447,468659769,1048306,388,25,0.000897473,mixed,accepted_bundle_probe_exact_test_required
60,451,472849548,1048439,388,24,0.000894055,prose,accepted_bundle_probe_exact_test_required
61,437,458179200,1048395,388,25,0.000890440,mixed,accepted_bundle_probe_exact_test_required
62,499,523185708,1047713,388,24,0.000890076,prose,accepted_bundle_probe_exact_test_required
63,462,484392529,1050368,388,24,0.000883848,prose,accepted_bundle_probe_exact_test_required
