rank,pack_id,recipient_offset,recipient_length,best_phrase_score,best_signature_hits,candidate_count
0,421,441379615,1058817,1000000,0,19
1,422,442438432,1051705,1000000,0,19
2,450,471801499,1048049,6538,30,19
3,456,478103262,1048852,6536,23,19
4,453,474956992,1048122,6248,26,19
5,441,462374119,1047493,6189,27,19
6,454,476005114,1048830,6121,25,19
7,467,489635862,1048909,6083,29,19
8,457,479152114,1046738,5783,18,19
9,437,458179200,1048395,5763,25,19
10,446,467610719,1049050,5712,23,19
11,449,470755850,1045649,5613,26,19
12,455,477053944,1049318,5552,19,19
13,452,473897987,1059005,5398,23,19
14,432,452936697,1048802,4987,36,19
15,529,554483913,383400,4395,32,19
16,506,530510855,1048352,3621,12,19
17,389,407838930,1041373,2743,83,19
18,422,442438432,1051705,2458,33,19
19,524,549240968,1048632,2245,40,19
20,528,553435380,1048533,2175,38,19
21,522,547143784,1048619,2098,36,19
22,523,548192403,1048565,2069,35,19
23,521,546095219,1048565,2045,33,19
24,390,408880303,1043290,1586,48,19
25,403,422496780,1048698,1491,43,19
26,391,409923593,1050878,1454,44,19
27,421,441379615,1058817,1175,34,19
