recipient_region,recipient_offset,recipient_length,trial_id,mode,expert_mask,mini_model_mask,profile_id,stream_class,donor_count,donors,vr_min_length,vr_event_count,baseline_payload_bytes,candidate_payload_bytes,gross_gain_bytes,standalone_plan_bytes,net_gain_bytes,status
0,0,1048219,1,mini_m0_g25,65536,1,0,9,0,-,0,0,104950,105136,-186,16,-202,loss_after_side
0,0,1048219,2,mini_m0_g50,65536,1,64,9,0,-,0,0,104950,105714,-764,16,-780,loss_after_side
0,0,1048219,3,mini_m0_g75,65536,1,128,9,0,-,0,0,104950,106733,-1783,16,-1799,loss_after_side
0,0,1048219,4,mini_m0_g100,65536,1,192,9,0,-,0,0,104950,108254,-3304,16,-3320,loss_after_side
0,0,1048219,5,mini_m1_g25,65536,2,0,9,0,-,0,0,104950,105164,-214,16,-230,loss_after_side
0,0,1048219,6,mini_m1_g50,65536,2,64,9,0,-,0,0,104950,105735,-785,16,-801,loss_after_side
0,0,1048219,7,mini_m1_g75,65536,2,128,9,0,-,0,0,104950,106685,-1735,16,-1751,loss_after_side
0,0,1048219,8,mini_m1_g100,65536,2,192,9,0,-,0,0,104950,108042,-3092,16,-3108,loss_after_side
0,0,1048219,9,mini_m2_g25,65536,4,0,9,0,-,0,0,104950,105177,-227,16,-243,loss_after_side
0,0,1048219,10,mini_m2_g50,65536,4,64,9,0,-,0,0,104950,105785,-835,16,-851,loss_after_side
0,0,1048219,11,mini_m2_g75,65536,4,128,9,0,-,0,0,104950,106777,-1827,16,-1843,loss_after_side
0,0,1048219,12,mini_m2_g100,65536,4,192,9,0,-,0,0,104950,108155,-3205,16,-3221,loss_after_side
0,0,1048219,13,mini_m3_g25,65536,8,0,9,0,-,0,0,104950,105213,-263,16,-279,loss_after_side
0,0,1048219,14,mini_m3_g50,65536,8,64,9,0,-,0,0,104950,105947,-997,16,-1013,loss_after_side
0,0,1048219,15,mini_m3_g75,65536,8,128,9,0,-,0,0,104950,107135,-2185,16,-2201,loss_after_side
0,0,1048219,16,mini_m3_g100,65536,8,192,9,0,-,0,0,104950,108764,-3814,16,-3830,loss_after_side
0,0,1048219,17,mini_m4_g25,65536,16,0,9,0,-,0,0,104950,105131,-181,16,-197,loss_after_side
0,0,1048219,18,mini_m4_g50,65536,16,64,9,0,-,0,0,104950,105683,-733,16,-749,loss_after_side
0,0,1048219,19,mini_m4_g75,65536,16,128,9,0,-,0,0,104950,106638,-1688,16,-1704,loss_after_side
0,0,1048219,20,mini_m4_g100,65536,16,192,9,0,-,0,0,104950,108045,-3095,16,-3111,loss_after_side
0,0,1048219,21,mini_m5_g25,65536,32,0,9,0,-,0,0,104950,105133,-183,16,-199,loss_after_side
0,0,1048219,22,mini_m5_g50,65536,32,64,9,0,-,0,0,104950,105700,-750,16,-766,loss_after_side
0,0,1048219,23,mini_m5_g75,65536,32,128,9,0,-,0,0,104950,106689,-1739,16,-1755,loss_after_side
0,0,1048219,24,mini_m5_g100,65536,32,192,9,0,-,0,0,104950,108151,-3201,16,-3217,loss_after_side
0,0,1048219,25,mini_m6_g25,65536,64,0,9,0,-,0,0,104950,105146,-196,16,-212,loss_after_side
0,0,1048219,26,mini_m6_g50,65536,64,64,9,0,-,0,0,104950,105724,-774,16,-790,loss_after_side
0,0,1048219,27,mini_m6_g75,65536,64,128,9,0,-,0,0,104950,106719,-1769,16,-1785,loss_after_side
0,0,1048219,28,mini_m6_g100,65536,64,192,9,0,-,0,0,104950,108182,-3232,16,-3248,loss_after_side
0,0,1048219,29,mini_m7_g25,65536,128,0,9,0,-,0,0,104950,105134,-184,17,-201,loss_after_side
0,0,1048219,30,mini_m7_g50,65536,128,64,9,0,-,0,0,104950,105686,-736,17,-753,loss_after_side
0,0,1048219,31,mini_m7_g75,65536,128,128,9,0,-,0,0,104950,106637,-1687,17,-1704,loss_after_side
0,0,1048219,32,mini_m7_g100,65536,128,192,9,0,-,0,0,104950,108032,-3082,17,-3099,loss_after_side
0,0,1048219,33,mini_m8_g25,65536,256,0,9,0,-,0,0,104950,105169,-219,17,-236,loss_after_side
0,0,1048219,34,mini_m8_g50,65536,256,64,9,0,-,0,0,104950,105869,-919,17,-936,loss_after_side
0,0,1048219,35,mini_m8_g75,65536,256,128,9,0,-,0,0,104950,107083,-2133,17,-2150,loss_after_side
0,0,1048219,36,mini_m8_g100,65536,256,192,9,0,-,0,0,104950,108850,-3900,17,-3917,loss_after_side
0,0,1048219,37,mini_m9_g25,65536,512,0,9,0,-,0,0,104950,105153,-203,17,-220,loss_after_side
0,0,1048219,38,mini_m9_g50,65536,512,64,9,0,-,0,0,104950,105789,-839,17,-856,loss_after_side
0,0,1048219,39,mini_m9_g75,65536,512,128,9,0,-,0,0,104950,106892,-1942,17,-1959,loss_after_side
0,0,1048219,40,mini_m9_g100,65536,512,192,9,0,-,0,0,104950,108510,-3560,17,-3577,loss_after_side
0,0,1048219,41,mini_m10_g25,65536,1024,0,9,0,-,0,0,104950,105192,-242,17,-259,loss_after_side
0,0,1048219,42,mini_m10_g50,65536,1024,64,9,0,-,0,0,104950,105873,-923,17,-940,loss_after_side
0,0,1048219,43,mini_m10_g75,65536,1024,128,9,0,-,0,0,104950,107013,-2063,17,-2080,loss_after_side
